number,sundanese,english
33,a,a
422,bisa,able
158,kira-kira,about
307,di luhur,above
77,kalakuan,act
68,nambah,add
917,sieun,afraid
111,saatos,after
91,deui,again
483,ngalawan,against
675,umur,age
381,tukang,ago
796,satuju,agree
55,hawa,air
151,sadaya,all
841,ngidinkeun,allow
57,oge,also
287,salawasna,always
541,am,am
400,di antara,among
48,hiji,an
32,jeung,and
998,anger,anger
92,hewan,animal
208,jawaban,answer
101,mana wae,any
491,katingali,appear
927,apel,apple
9,nu,are
335,wewengkon,area
547,panangan,arm
968,ngatur,arrange
850,sumping,arrive
518,seni,art
1,siga,as
79,nanya,ask
13,di,at
786,atom,atom
701,orok,baby
112,balik deui,back
624,awon,bad
536,bal,ball
934,pita,band
646,bank,bank
872,bar,bar
264,dasar,base
944,dasar,basic
808,lalay,bat
12,aya,be
592,biruang,bear
746,neunggeul,beat
425,kageulisan,beauty
504,ranjang,bed
198,geus,been
143,saencan,before
258,mimiti,began
280,mimiti,begin
445,tinggaleun,behind
509,percaya,believe
815,bel,bell
452,pangalusna,best
454,leuwih alus,better
219,di antara,between
73,gede,big
314,manuk,bird
731,saeutik,bit
326,hideung,black
951,blok,block
627,getih,blood
625,niup,blow
359,biru,blue
569,papan,board
371,kapal,boat
316,awak,body
792,tulang,bone
251,buku,book
972,lahir,born
290,boh,both
689,dasar,bottom
928,meuli,bought
417,kotak,box
146,budak lalaki,boy
912,cabang,branch
869,roti,bread
620,peunggas,break
587,caang,bright
393,ngabawa,bring
993,lega,broad
654,potong,broke
505,adi,brother
389,dibawa,brought
636,coklat,brown
97,ngawangun,build
723,pameuleuman,burn
368,sibuk,busy
21,tapi,but
706,meuli,buy
18,ku,by
192,nelpon,call
118,datang,came
969,tempat kemah,camp
36,bisa,can
751,ibu kota,capital
800,kapten,captain
297,mobil,car
933,kartu,card
299,perawatan,care
252,ngabawa,carry
655,perkara,case
726,ucing,cat
565,nyekel,catch
781,nyanggap,caught
140,sabab,cause
508,sel,cell
630,cent,cent
486,pusat,center
727,abad,century
405,katangtu,certain
753,korsi,chair
979,kasempetan,chance
81,ngarobah,change
779,perbawa,character
870,ngeusian,charge
952,grapik,chart
383,cek,check
881,chick,chick
829,kapala,chief
665,anak,child
279,barudak,children
641,milih,choose
862,chord,chord
529,bunderan,circle
227,kota,city
999,klaim,claim
329,kelas,class
619,beresih,clean
446,atra,clear
683,naek,climb
831,jam,clock
245,deukeut,close
597,clothe,clothe
678,awan,cloud
732,basisir,coast
931,mantel,coat
498,tiis,cold
647,ngumpulkeun,collect
830,jajahan,colony
270,warna,color
986,tihang,column
180,datang,come
372,umum,common
956,pausahaan,company
812,ngabandingkeun,compare
333,kumplit,complete
940,kaayaan,condition
859,nyambungan,connect
728,nimbangkeun,consider
667,konsonan,consonant
428,eusian,contain
1000,banua,continent
950,neruskeun,continue
649,pangawasan,control
719,juru masak,cook
684,tiis,cool
733,salinan,copy
811,jagong,corn
773,juru,corner
421,bener,correct
634,cost,cost
971,kapas,cotton
178,bisa,could
513,ngitung,count
206,nagara,country
354,kursus,course
215,tutup,cover
579,sapi,cow
698,crease,crease
805,nyiptakeun,create
768,panen,crop
229,salib,cross
810,riungan,crowd
409,ceurik,cry
847,kiwari,current
267,motong,cut
868,bapa,dad
544,tari,dance
754,bahaya,danger
410,poek,dark
177,poe,day
843,paeh,dead
960,deal,deal
882,dear,dear
903,tilar dunya,death
361,mutuskeun,decide
650,decimal,decimal
363,jero,deep
879,darajat,degree
816,ngagantung,depend
718,ngagambarkeun,describe
845,gurun,desert
685,rarancang,design
973,nangtukeun,determine
437,ngawangun,develop
669,kamus,dictionary
181,teu,did
609,paeh,die
138,béda,differ
763,hese,difficult
319,langsung,direct
921,bahas,discuss
395,tebih,distant
532,ngabagi,divide
855,pamerean,division
41,teu,do
764,dokter,doctor
51,teu,does
317,anjing,dog
921,dollar,dollar
424,puguh,done
242,entong,don’t
324,panto,door
948,ganda,double
196,turun,down
238,ngagambar,draw
938,ngimpi,dream
677,pakéan,dress
885,inuman,drink
426,nyetir,drive
539,ngaragragkeun,drop
377,garing,dry
876,ngelok,duck
456,salila,during
49,unggal,each
651,ceuli,ear
461,awal,early
99,bumi,earth
284,betah,ease
397,wetan,east
255,dahar,eat
581,sisi,edge
789,epek,effect
506,endog,egg
702,dalapan,eight
721,boh,either
790,listrik,electric
770,unsur,element
652,lamun henteu,else
60,tungtung,end
883,musuh,enemy
501,tanaga,energy
545,mesin,engine
301,cekap,enough
834,asup,enter
639,sarua,equal
386,equate,equate
915,utamana,especially
69,oge,even
939,burit,evening
958,kajadian,event
308,kungsi,ever
120,unggal,every
607,pasti,exact
283,conto,example
613,kajabi,except
747,ngagumbirakeun,excite
563,latihan,exercise
791,ngaharepkeun,expect
925,pangalaman,experience
688,percobaan,experiment
222,soca,eye
271,beungeut,face
449,pakta,fact
645,adil,fair
407,labuh,fall
318,kulawarga,family
820,kondang,famous
236,tebih,far
230,tegalan,farm
467,gancang,fast
863,gajih,fat
100,bapa,father
858,migawe kahadean,favor
823,sieun,fear
941,kadaharan,feed
312,ngarasa,feel
298,suku,feet
642,murag,fell
534,dirasakeun,felt
249,saeutik,few
419,widang,field
916,buah ara,fig
744,gelut,fight
415,angka,figure
396,ngeusian,fill
432,ahir,final
200,manggih,find
404,dengda,fine
741,ramo,finger
593,finish,finish
339,seuneu,fire
193,kahiji,first
260,lauk,fish
643,ngepas,fit
458,lima,five
694,datar,flat
