number,somali,english
33,a,a
422,awood,able
158,ku saabsan,about
307,kor ku xusan,above
77,fal,act
68,ku dar,add
917,ka cabsi,afraid
111,ka dib,after
91,mar kale,again
483,ka hor,against
675,da,age
381,ka hor,ago
796,heshiin,agree
55,hawada,air
151,dhan,all
841,u oggolaadaan,allow
57,sidoo kale,also
287,had iyo jeer,always
541,ahay,am
400,ka mid ah,among
48,ah,an
32,iyo,and
998,cadho,anger
92,xoolaha,animal
208,jawaabta,answer
101,wax,any
491,muuqdaan,appear
927,tufaax,apple
9,waa,are
335,deegaanka,area
547,gacanta,arm
968,diyaarin,arrange
850,yimaadaan,arrive
518,farshaxan,art
1,sida,as
79,weydii,ask
13,at,at
786,attam,atom
701,ilmaha,baby
112,back,back
624,xun,bad
536,kubada,ball
934,urur,band
646,bangi,bank
872,ood,bar
264,saldhig,base
944,aasaasiga ah,basic
808,fiidmeerta,bat
12,noqon,be
592,dhali,bear
746,garaacday,beat
425,qurux,beauty
504,sariirta,bed
198,ahaa,been
143,ka hor inta,before
258,bilaabeen,began
280,bilaabaan,begin
445,ka danbeeya,behind
509,aaminsanahay,believe
815,dawan,bell
452,ugu fiican,best
454,fiican,better
219,ka dhexeeya,between
73,weyn,big
314,shimbir,bird
731,qayb,bit
326,madow,black
951,joojin,block
627,dhiig,blood
625,dhabarjab,blow
359,buluug,blue
569,guddiga,board
371,doon,boat
316,jirka,body
792,lafta,bone
251,buugga,book
972,dhashay,born
290,labada,both
689,ugu hooseysa,bottom
928,iibsaday,bought
417,sanduuq,box
146,wiil,boy
912,laan,branch
869,kibis,bread
620,fasax,break
587,dhalaalaya,bright
393,keeno,bring
993,ballaaran oo,broad
654,jebisay,broke
505,walaalkiis,brother
389,keenay,brought
636,brown,brown
97,dhiso,build
723,gubi,burn
368,mashquul,busy
21,laakiin,but
706,iibsadaan,buy
18,by,by
192,wac,call
118,yimid,came
969,xerada,camp
36,awood,can
751,magaalada,capital
800,kabtanka,captain
297,baabuur,car
933,kaarka,card
299,daryeelka,care
252,qaado,carry
655,case,case
726,cat,cat
565,qabsado,catch
781,qabto,caught
140,sababta,cause
508,unug,cell
630,boqolkiiba,cent
486,xarunta,center
727,qarnigii,century
405,qaarkood,certain
753,kursi,chair
979,fursad,chance
81,isbedelka,change
779,qof,character
870,ka qaadaan,charge
952,shaxda,chart
383,hubiso,check
881,ubad,chick
829,taliyaha,chief
665,ilmahaaga,child
279,carruurta,children
641,dooran,choose
862,shaqoxannibista,chord
529,goobaabin,circle
227,magaalada,city
999,sheegashadaada,claim
329,fasalka,class
