number,catalan,english
33,ella,a
422,capaç,able
158,sobre,about
307,per sobre de,above
77,acte,act
68,afegir,add
917,por,afraid
111,després,after
91,nou,again
483,contra,against
675,edat,age
381,fa,ago
796,acord,agree
55,aire,air
151,tot,all
841,permetre,allow
57,també,also
287,sempre,always
541,am,am
400,entre,among
48,ocupat,an
32,i,and
998,còlera,anger
92,animals,animal
208,resposta,answer
101,qualsevol,any
491,apareixerà,appear
927,poma,apple
9,són,are
335,zona,area
547,braç,arm
968,organitzar,arrange
850,arribar,arrive
518,art,art
1,com,as
79,preguntar,ask
13,en,at
786,àtom,atom
701,nadó,baby
112,esquena,back
624,dolent,bad
536,bola,ball
934,banda,band
646,banc,bank
872,bar,bar
264,base,base
944,bàsica,basic
808,bat,bat
12,ser,be
592,suportar,bear
746,batre,beat
425,bellesa,beauty
504,llit,bed
198,estat,been
143,abans,before
258,començar,began
280,començar,begin
445,darrere,behind
509,creure,believe
815,campana,bell
452,millor,best
454,millor,better
219,entre,between
73,gran,big
314,ocell,bird
731,bit,bit
326,negre,black
951,bloc,block
627,sang,blood
625,cop,blow
359,blau,blue
569,bord,board
371,vaixell,boat
316,cos,body
792,os,bone
251,llibre,book
972,born,born
290,tant,both
689,inferior,bottom
928,comprat,bought
417,quadre,box
146,nen,boy
912,branca,branch
869,pa,bread
620,ruptura,break
587,brillant,bright
393,portar,bring
993,ampli,broad
654,trencar,broke
505,germà,brother
389,portat,brought
636,brown,brown
97,construir,build
723,cremar,burn
368,ocupat,busy
21,però,but
706,comprar,buy
18,per,by
192,anomenada,call
118,vi,came
969,campament,camp
36,pot,can
751,de capital,capital
800,capità,captain
297,cotxe,car
933,targeta,card
299,cura,care
252,portar,carry
655,cas,case
726,cat,cat
565,captures,catch
781,capturat,caught
140,causa,cause
508,cel · lular,cell
630,cent,cent
486,centre,center
727,segle,century
405,certa,certain
753,cadira,chair
979,oportunitat,chance
81,canvi,change
779,caràcter,character
870,cobrar,charge
952,taula,chart
383,comprovar,check
881,chick,chick
829,cap,chief
665,nen,child
279,nens,children
641,triar,choose
862,acord,chord
529,cercle,circle
227,ciutat,city
999,reclamació,claim
329,classe,class
619,neta,clean
446,clar,clear
683,ascens,climb
831,rellotge,clock
245,prop,close
597,vestir,clothe
678,núvol,cloud
732,costa,coast
931,abric,coat
498,fred,cold
647,recollir,collect
830,colònia,colony
270,de color,color
986,columna,column
180,venir,come
372,comú,common
956,empresa,company
812,comparar,compare
333,completa,complete
940,condició,condition
859,connectar,connect
728,considerar,consider
667,consonant,consonant
428,contenir,contain
1000,continent,continent
950,continuar,continue
649,el control,control
719,cuiner,cook
684,fresc,cool
733,còpia,copy
811,blat de moro,corn
773,cantonada,corner
421,correcta,correct
634,cost,cost
971,cotó,cotton
178,podia,could
513,comptar,count
206,país,country
354,curs,course
215,coberta,cover
579,vaca,cow
698,plec,crease
805,crear,create
768,de cultius,crop
229,creuar,cross
810,multitud,crowd
409,crit,cry
847,actual,current
267,tall,cut
868,pare,dad
544,dansa,dance
754,perill,danger
410,fosc,dark
177,dia,day
843,morts,dead
960,acord,deal
882,estimada,dear
903,mort,death
361,decidir,decide
650,decimal,decimal
363,profunda,deep
879,grau,degree
816,dependrà,depend
718,descriure,describe
845,desert,desert
685,disseny,design
973,determinar,determine
437,desenvolupar,develop
669,diccionari,dictionary
181,va fer,did
609,morir,die
138,diferir,differ
763,difícil,difficult
319,directa,direct
921,discutir,discuss
395,distant,distant
532,bretxa,divide
855,divisió,division
41,fer,do
764,metge,doctor
51,fa,does
317,gos,dog
921,dòlar,dollar
424,done,done
242,no,don’t
324,porta,door
948,doble,double
196,baix,down
238,dibuixar,draw
938,somiar,dream
677,vestit,dress
885,beguda,drink
426,unitat,drive
539,caure,drop
377,seca,dry
876,ànec,duck
456,durant,during
49,cada,each
651,sentit,ear
461,primerenca,early
99,terra,earth
284,alleujar,ease
397,a l’est,east
255,menjar,eat
581,vora,edge
789,efecte,effect
506,ou,egg
702,tipus,eight
721,ja sigui,either
790,elèctrica,electric
770,element,element
652,altres,else
60,fi,end
883,enemic,enemy
501,energia,energy
545,motor,engine
301,suficient,enough
834,entrar,enter
639,igual,equal
386,equiparar,equate
915,especialment,especially
69,fins i tot,even
939,nit,evening
958,esdeveniment,event
308,mai,ever
120,cada,every
607,exacta,exact
283,exemple,example
613,excepte,except
747,excitar,excite
563,exercici,exercise
791,esperar,expect
925,experiència,experience
688,experiment,experiment
222,ull,eye
271,cara,face
449,fet,fact
645,just,fair
407,caure,fall
318,família,family
820,famosa,famous
236,ara,far
230,granja,farm
467,ràpid,fast
863,greix,fat
100,pare,father
858,afavorir,favor
823,por,fear
941,feed,feed
312,sentir,feel
298,peus,feet
642,caure,fell
534,sentit,felt
249,pocs,few
419,terreny,field
916,figa,fig
744,lluita,fight
415,figura,figure
396,omplir,fill
432,definitiva,final
200,trobar,find
404,fina,fine
741,dit,finger
593,acabat,finish
339,foc,fire
193,primer,first
260,peixos,fish
643,encaixar,fit
458,llit,five
694,plana,flat
720,pis,floor
644,fluir,flow
596,flor,flower
406,volar,fly
76,segueixi,follow
216,aliments,food
366,peu,foot
