number,swahili,english
33,a,a
422,uwezo,able
158,kuhusu,about
307,juu,above
77,tendo,act
68,kuongeza,add
917,hofu,afraid
111,baada ya,after
91,tena,again
483,dhidi ya,against
675,umri,age
381,iliyopita,ago
796,kukubaliana,agree
55,hewa,air
151,kila,all
841,kuruhusu,allow
57,pia,also
287,daima,always
541,ni,am
400,kati ya,among
48,an,an
32,na,and
998,hasira,anger
92,mnyama,animal
208,jibu,answer
101,yoyote,any
491,itaonekana,appear
927,mboni,apple
9,wako,are
335,eneo,area
547,mkono,arm
968,kupanga,arrange
850,kuwasili,arrive
518,sanaa,art
1,kama,as
79,kuuliza,ask
13,katika,at
786,chembe,atom
701,mtoto,baby
112,nyuma,back
624,mbaya,bad
536,mpira,ball
934,bendi,band
646,benki,bank
872,bar ya,bar
264,msingi,base
944,msingi,basic
808,bat kwa,bat
12,kuwa,be
592,kubeba,bear
746,kuwapiga,beat
425,uzuri,beauty
504,kitanda,bed
198,imekuwa,been
143,kabla ya,before
258,alianza,began
280,kuanza,begin
445,nyuma ya,behind
509,amini,believe
815,kengele,bell
452,bora,best
454,bora,better
219,kati ya,between
73,kubwa,big
314,ndege,bird
731,kidogo,bit
326,nyeusi,black
951,kuzuia,block
627,damu,blood
625,pigo,blow
359,bluu,blue
569,bodi,board
371,mashua,boat
316,mwili,body
792,mfupa,bone
251,kitabu,book
972,aliyezaliwa,born
290,wote wawili,both
689,chini,bottom
928,kununuliwa,bought
417,sanduku,box
146,mvulana,boy
912,tawi,branch
869,mkate,bread
620,mapumziko,break
587,mkali,bright
393,kuleta,bring
993,pana,broad
654,kuvunja,broke
505,ndugu,brother
389,kuletwa,brought
636,kahawia,brown
97,kujenga,build
723,kuchoma,burn
368,busy,busy
21,lakini,but
706,kununua,buy
18,na,by
192,simu,call
118,alikuja,came
969,kambi,camp
36,unaweza,can
751,mji mkuu wa,capital
800,nahodha,captain
297,gari,car
933,kadi,card
299,huduma,care
252,kubeba,carry
655,kesi,case
726,paka,cat
565,kukamata,catch
781,hawakupata,caught
140,sababu,cause
508,kiini,cell
630,cent,cent
486,kituo cha,center
727,karne ya,century
405,baadhi ya,certain
753,kiti,chair
979,nafasi,chance
81,mabadiliko ya,change
779,tabia ya,character
870,malipo,charge
952,chati,chart
383,kuangalia,check
881,kifaranga,chick
829,wakuu,chief
665,mtoto,child
279,watoto,children
641,kuchagua,choose
862,gumzo,chord
529,mzunguko,circle
227,mji,city
999,madai,claim
329,darasa,class
619,safi,clean
446,wazi,clear
683,kupanda,climb
