number,german,english
33,ein,a
422,fähig,able
158,über,about
307,oben,above
77,akt,act
68,hinzufügen,add
917,ängstlich,afraid
111,nach,after
91,wieder,again
483,gegen,against
675,alter,age
381,vor,ago
796,zustimmen,agree
55,luft,air
151,alle,all
841,erlauben,allow
57,auch,also
287,immer,always
541,uhr,am
400,unter,among
48,ein,an
32,und,and
998,zorn,anger
92,tier,animal
208,antwort,answer
101,jeder,any
491,erscheinen,appear
927,apfel,apple
9,sind,are
335,bereich,area
547,arm,arm
968,arrangieren,arrange
850,ankommen,arrive
518,kunst,art
1,wie,as
79,fragen,ask
13,bei,at
786,atom,atom
701,kind,baby
112,zurück,back
624,schlecht,bad
536,kugel,ball
934,band,band
646,bank,bank
872,leiste,bar
264,basis,base
944,basis,basic
808,fledermaus,bat
12,sein,be
592,tragen,bear
746,schlagen,beat
425,schönheit,beauty
504,bett,bed
198,gewesen,been
143,vor,before
258,begann,began
280,start,begin
445,hinter,behind
509,glauben,believe
815,glocke,bell
452,beste,best
454,besser,better
219,zwischen,between
73,groß,big
314,vogel,bird
731,bit,bit
326,schwarz,black
951,block,block
627,blut,blood
625,schlag,blow
359,blau,blue
569,board,board
371,boot,boat
316,körper,body
792,knochen,bone
251,buch,book
972,geboren,born
290,beide,both
689,boden,bottom
928,gekauft,bought
417,kasten,box
146,junge,boy
912,zweig,branch
869,brot,bread
620,pause,break
587,hell,bright
393,bringen,bring
993,breit,broad
654,pleite,broke
505,bruder,brother
389,gebracht,brought
636,braun,brown
97,bauen,build
723,brennen,burn
368,beschäftigt,busy
21,aber,but
706,kaufen,buy
18,durch,by
192,anruf,call
118,kam,came
969,lager,camp
36,können,can
751,hauptstadt,capital
800,kapitän,captain
297,auto,car
933,karte,card
299,pflege,care
252,tragen,carry
655,fall,case
726,katze,cat
565,fang,catch
781,gefangen,caught
140,ursache,cause
508,zelle,cell
630,cent,cent
486,zentrum,center
727,jahrhundert,century
405,sicher,certain
753,stuhl,chair
979,chance,chance
81,veränderung,change
779,charakter,character
870,aufladen,charge
952,tabelle,chart
383,überprüfen,check
881,küken,chick
829,chef,chief
665,kind,child
279,kinder,children
641,wählen,choose
862,akkord,chord
529,kreis,circle
227,stadt,city
999,anspruch,claim
329,klasse,class
619,sauber,clean
446,klar,clear
683,aufstieg,climb
831,uhr,clock
245,schließen,close
597,kleiden,clothe
678,wolke,cloud
732,küste,coast
931,mantel,coat
498,kälte,cold
647,sammeln,collect
830,kolonie,colony
270,farbe,color
986,spalte,column
180,kommen,come
372,gemeinsam,common
956,firma,company
812,vergleichen,compare
333,vollständig,complete
940,zustand,condition
859,verbinden,connect
728,betrachten,consider
667,konsonant,consonant
428,enthalten,contain
1000,kontinent,continent
950,fortsetzen,continue
649,kontrolle,control
719,koch,cook
684,kühlen,cool
733,kopie,copy
811,mais,corn
773,ecke,corner
421,richtig,correct
634,kosten,cost
971,baumwolle,cotton
178,könnte,could
513,zählen,count
206,land,country
354,kurs,course
215,abdeckung,cover
579,kuh,cow
698,falte,crease
805,schaffen,create
768,ernte,crop
229,überqueren,cross
810,menge,crowd
409,schrei,cry
847,strom,current
267,schnitt,cut
868,papa,dad
544,tanz,dance
754,achtung,danger
410,dunkel,dark
