number,basque,english
33,a,a
422,gai,able
158,buruz,about
307,goiko,above
77,ekintza,act
68,gehitu,add
917,beldur,afraid
111,ondoren,after
91,berriro,again
483,aurka,against
675,adina,age
381,ago,ago
796,ados,agree
55,aire,air
151,guztiak,all
841,baimendu,allow
57,halaber,also
287,beti,always
541,ni,am
400,artean,among
48,baten,an
32,eta,and
998,haserrea,anger
92,animalia,animal
208,erantzuna,answer
101,edozein,any
491,agertzen,appear
927,sagar,apple
9,daude,are
335,zonalde,area
547,arm,arm
968,antolatu,arrange
850,iristen,arrive
518,art,art
1,bezala,as
79,eskatu,ask
13,at,at
786,atomo,atom
701,haurra,baby
112,atzera,back
624,txarra,bad
536,pilota,ball
934,band,band
646,bankua,bank
872,bar,bar
264,base,base
944,oinarrizko,basic
808,bat,bat
12,izan,be
592,bear,bear
746,beat,beat
425,edertasuna,beauty
504,ohean,bed
198,izan,been
143,aurretik,before
258,hasi,began
280,hasiko,begin
445,atzean,behind
509,sinesten,believe
815,kanpai,bell
452,onena,best
454,hobeto,better
219,arteko,between
73,big,big
314,txori,bird
731,bit,bit
326,beltza,black
951,bloke,block
627,odol,blood
625,kolpe,blow
359,blue,blue
569,taula,board
371,txalupa,boat
316,gorputza,body
792,hezur,bone
251,liburua,book
972,born,born
290,bai,both
689,behean,bottom
928,erosi,bought
417,kutxa,box
146,mutiko,boy
912,adarra,branch
869,ogia,bread
620,break,break
587,distiratsua,bright
393,ekarri,bring
993,zabal,broad
654,hautsi,broke
505,anaia,brother
389,ekarri,brought
636,marroi,brown
97,eraikitzeko,build
723,erre,burn
368,lanpetuta,busy
21,baina,but
706,erosi,buy
18,arabera,by
192,deia,call
118,dugunik,came
969,camp,camp
36,ahal,can
751,capital,capital
800,kapitainak,captain
297,autoa,car
933,txartel,card
299,zainketa,care
252,egiteko,carry
655,kasu,case
726,katu,cat
565,catch,catch
781,harrapatu,caught
140,kausa,cause
508,zelula,cell
630,cent,cent
486,zentroa,center
727,mendean,century
405,zenbait,certain
753,aulkia,chair
979,aukera,chance
81,aldaketa,change
779,pertsonaia,character
870,kobratzen,charge
952,taula,chart
383,egiaztatu,check
881,chick,chick
829,buruzagi,chief
665,umearen,child
279,haurrak,children
641,aukeratu,choose
862,akordeak,chord
529,zirkulua,circle
227,hiria,city
999,erreklamazioa,claim
329,class,class
619,garbi,clean
446,argi,clear
683,igoera,climb
831,erlojuaren,clock
245,itxi,close
597,clothe,clothe
678,hodei,cloud
732,kostaldean,coast
931,berokia,coat
