number,esperanto,english
33,a,a
422,povis,able
158,proksimume,about
307,supre,above
77,akto,act
68,aldoni,add
917,timis,afraid
111,post,after
91,denove,again
483,kontraŭ,against
675,aĝo,age
381,monato,ago
796,interkonsenti,agree
55,aero,air
151,ĉiuj,all
841,permesi,allow
57,ankaŭ,also
287,ĉiam,always
541,estas,am
400,inter,among
48,kiel,an
32,kaj,and
998,kolero,anger
92,besto,animal
208,respondo,answer
101,ajna,any
491,aperi,appear
927,pomon,apple
9,estas,are
335,spaco,area
547,brako,arm
968,aranĝi,arrange
850,alveni,arrive
518,arto,art
1,kiel,as
79,demandu,ask
13,ĉe,at
786,atomo,atom
701,bebo,baby
112,reen,back
624,malbona,bad
536,pilko,ball
934,bando,band
646,bordo,bank
872,trinkejo,bar
264,bazo,base
944,baza,basic
808,vesperto,bat
12,esti,be
592,elporti,bear
746,venki,beat
425,beleco,beauty
504,lito,bed
198,estintaj,been
143,antaŭ,before
258,komencis,began
280,komenci,begin
445,malantaŭ,behind
509,kredas,believe
815,sonorilo,bell
452,bona,best
454,pli,better
219,inter,between
73,granda,big
314,birdo,bird
731,iom,bit
326,nigra,black
951,bloko,block
627,sango,blood
625,baton,blow
359,blua,blue
569,surŝipe,board
371,kruĉo,boat
316,korpo,body
792,osto,bone
251,libro,book
972,born,born
290,ambaŭ,both
689,malsupro,bottom
928,aĉetinta,bought
417,skatolo,box
146,knabo,boy
912,branĉo,branch
869,pano,bread
620,paŭzo,break
587,brila,bright
393,alporti,bring
993,larĝa,broad
654,rompis,broke
505,fraton,brother
389,alportis,brought
636,bruna,brown
97,konstrui,build
723,bruligi,burn
368,okupata,busy
21,sed,but
706,aĉeti,buy
18,per,by
192,alvoko,call
118,venis,came
969,tendaro,camp
36,povas,can
751,ĉefurbo,capital
800,kapitano,captain
297,aŭto,car
933,karton,card
299,prizorgi,care
252,porti,carry
655,okazo,case
726,kato,cat
565,catch,catch
781,kaptita,caught
140,kaŭzo,cause
508,ĉelo,cell
630,cendo,cent
486,centro,center
727,jarcento,century
405,certaj,certain
753,seĝo,chair
979,ŝanco,chance
81,ŝanĝo,change
779,gravulo,character
870,ŝarĝi,charge
952,grafikaĵo,chart
383,kontroli,check
881,ĉik,chick
829,estro,chief
665,infano,child
279,infanoj,children
641,elekti,choose
862,chord,chord
529,rondo,circle
227,urbo,city
999,pretendo,claim
329,klaso,class
619,purigi,clean
446,evidenta,clear
683,grimpo,climb
831,horloĝo,clock
245,fermi,close
597,vestu,clothe
678,nubo,cloud
732,marbordo,coast
931,ŝildo,coat
498,malvarma,cold
647,kolekti,collect
830,kolonio,colony
270,koloro,color
986,kolono,column
180,venu,come
372,komunaj,common
956,kompanio,company
812,kompari,compare
333,kompleta,complete
940,kondiĉo,condition
859,konekti,connect
728,konsideri,consider
667,konsonanto,consonant
428,enhavi,contain
1000,kontinento,continent
950,daŭrigi,continue
649,kontrolo,control
719,kuiristino,cook
684,malvarmeta,cool
733,kopio,copy
811,grajnoj,corn
773,angulo,corner
421,ĝusta,correct
634,kosto,cost
971,kotono,cotton
178,povis,could
513,kalkuli,count
206,lando,country
354,kompreneble,course
215,kovrilo,cover
579,bovino,cow
698,crease,crease
805,krei,create
768,kropo,crop
229,transiri,cross
810,amaso,crowd
409,krio,cry
847,aktuala,current
267,tranĉo,cut
868,dad,dad
544,danco,dance
754,danĝero,danger
410,mallumo,dark
177,tagon,day
843,mortinto,dead
960,interkonsento,deal
882,kara,dear
903,morto,death
361,decidi,decide
650,dekuma,decimal
363,profunda,deep
879,grado,degree
816,dependi,depend
718,priskribi,describe
845,dezerto,desert
685,dezajno,design
973,determini,determine
437,evoluigi,develop
669,vortaro,dictionary
181,faris,did
609,morti,die
138,diferenciĝas,differ
763,malfacila,difficult
319,rekta,direct
921,diskuti,discuss
395,malproksima,distant
532,dividi,divide
855,divido,division
41,fari,do
764,kuracisto,doctor
51,faras,does
317,hundo,dog
921,dolaro,dollar
424,farita,done
242,ne,don’t
324,pordo,door
948,duobla,double
196,malsupren,down
238,desegni,draw
938,sonĝi,dream
677,robo,dress
885,trinkaĵon,drink
426,disko,drive
539,faligi,drop
377,seka,dry
876,anaso,duck
456,dum,during
49,ĉiu,each
651,orelo,ear
461,frua,early
99,tero,earth
284,faciligi,ease
397,oriente,east
255,manĝi,eat
581,eĝo,edge
789,efekto,effect
506,ovo,egg
702,ok,eight
721,ĉu,either
790,elektra,electric
770,elemento,element
652,alia,else
60,fino,end
883,malamiko,enemy
501,energion,energy
545,motoro,engine
301,sufiĉa,enough
834,eniri,enter
639,egalaj,equal
386,egaligas,equate
915,ĉefe,especially
69,eĉ,even
939,vespero,evening
958,okazaĵo,event
308,iam,ever
120,ĉiu,every
607,ĝusta,exact
283,ekzemplo,example
613,krom,except
747,eksciti,excite
563,ekzerco,exercise
791,atendi,expect
925,sperto,experience
688,eksperimento,experiment
222,okulo,eye
271,vizaĝo,face
449,fakto,fact
645,bela,fair
407,fali,fall
318,familio,family
820,famaj,famous
236,malproksime,far
230,farm,farm
467,rapida,fast
863,graso,fat
100,patro,father
858,favorus,favor
823,timo,fear
941,feed,feed
312,sentas,feel
298,piedojn,feet
642,falis,fell
534,sentis,felt
249,malmultaj,few
419,kampo,field
916,figo,fig
744,lukto,fight
415,cifero,figure
396,plenigi,fill
432,lasta,final
200,trovi,find
404,fajna,fine
741,fingro,finger
593,fini,finish
339,fajro,fire
193,unua,first
260,fiŝo,fish
643,persvadis,fit
458,kvin,five
694,plata,flat
720,planko,floor
644,fluas,flow
596,floro,flower
406,muŝo,fly
76,sekvi,follow
216,nutraĵo,food
366,piedo,foot
7,por,for
358,forto,force
552,arbaro,forest
130,formo,form
922,antaŭen,forward
207,trovita,found
218,kvar,four
551,frakcio,fraction
440,senpaga,free
836,freŝa,fresh
257,amiko,friend
17,el,from
429,antaŭa,front
755,fruktoj,fruit
357,plena,full
586,amuza,fun
384,ludo,game
638,ĝardeno,garden
588,gaso,gas
980,kolekti,gather
433,donis,gave
526,ĝenerale,general
798,afabla,gentle
106,akiri,get
303,knabino,girl
123,doni,give
864,ĝojas,glad
577,vitro,glass
179,iri,go
373,oro,gold
599,iritaj,gone
121,bonaj,good
281,akiris,got
496,regi,govern
535,grandioza,grand
578,herbo,grass
990,grizaj,gray
132,granda,great
434,verda,green
629,kreskis,grew
464,tero,ground
286,grupo,group
210,kreski,grow
801,divenu,guess
924,gvidi,guide
840,pafilo,gun
28,havis,had
717,haroj,hair
336,duono,half
64,manoj,hand
332,okazi,happen
594,feliĉa,happy
231,malfacila,hard
174,havas,has
953,ĉapelo,hat
15,havos,have
5,li,he
201,kapo,head
265,aŭdi,hear
451,aŭdis,heard
540,koro,heart
390,varmo,heat
543,peza,heavy
716,tenis,held
135,helpi,help
167,ŝia,her
71,tien,here
74,alta,high
724,monto,hill
172,li,him
3,sian,his
788,historio,history
771,batita,hit
462,teni,hold
699,truo,hole
62,hejmo,home
595,atendi,hope
266,ĉevalo,horse
19,varmega,hot
387,varmega,hot
453,horo,hour
87,domo,house
46,kiom,how
918,grandega,huge
787,homa,human
457,cent,hundred
502,ĉasi,hunt
828,rapidi,hurry
2,mi,i
527,glacio,ice
259,ideon,idea
44,se,if
794,imagu,imagine
34,en,in
351,colo,inch
531,inkluzivi,include
783,indiki,indicate
742,industrio,industry
780,insekto,insect
877,momenteto,instant
575,instrumento,instrument
465,intereson,interest
970,elpensi,invent
691,fero,iron
24,estas,is
365,insulo,island
25,ĝi,it
580,laboro,job
617,aliĝi,join
570,ĝojo,joy
700,salti,jump
129,simple,just
221,konservi,keep
576,konservis,kept
690,ŝlosilo,key
657,mortigi,kill
84,afabla,kind
349,reĝo,king
344,sciis,knew
189,scias,know
621,lady,lady
659,lago,lake
70,lando,land
399,lingvo,language
66,granda,large
224,lasta,last
240,malfrue,late
379,ridon,laugh
730,leĝo,law
482,kuŝis,lay
408,konduki,lead
213,lerni,learn
610,almenaŭ,least
321,forlasi,leave
929,kondukis,led
239,maldekstra,left
562,kruro,leg
516,longo,length
474,malpli,less
225,lasu,let
293,letero,letter
978,nivelo,level
745,mensogo,lie
248,vivo,life
848,telfero,lift
83,malpeza,light
164,kiel,like
137,linio,line
894,likva,liquid
310,lerta,list
470,aŭskulti,listen
113,iom,little
109,vivi,live
777,lokalizi,locate
895,ensaluti,log
561,lone,lone
168,longajn,long
175,rigardi,look
635,perdita,lost
687,multa,lot
662,laŭta,loud
487,love,love
136,malalta,low
411,maŝino,machine
108,faris,made
909,magneto,magnet
273,ĉefa,main
835,granda,major
169,fari,make
116,viro,man
159,multaj,many
493,mapo,map
291,markon,mark
878,merkato,market
932,maso,mass
851,majstro,master
913,match,match
550,materialon,material
528,afero,matter
195,may,may
122,min,me
142,signifus,mean
896,signifis,meant
323,mezuri,measure
817,viando,meat
704,kunvenas,meet
601,melodio,melody
80,viroj,men
709,metalo,metal
672,metodo,method
656,mezo,middle
233,potenco,might
295,mejlo,mile
670,lakto,milk
591,miliono,million
444,menso,mind
832,miaj,mine
441,minuto,minute
388,miss,miss
631,miksi,mix
769,modernaj,modern
987,molekulo,molecule
660,momenton,moment
489,monon,money
590,monato,month
364,luno,moon
176,pli,more
475,mateno,morning
185,plej,most
94,patrino,mother
892,movado,motion
566,monto,mount
261,monto,mountain
606,buŝo,mouth
144,movado,move
141,multa,much
352,multipliki,multiply
288,muziko,music
72,devas,must
187,mian,my
126,nomo,name
668,nacio,nation
748,natura,natural
889,naturo,nature
96,proksime,near
802,necesajn,necessary
900,kolo,neck
86,bezonas,need
806,proksimulo,neighbor
223,neniam,never
102,nova,new
277,sekva,next
246,nokto,night
975,naŭ,nine
184,neniu,no
977,bruo,noise
767,tagmezo,noon
947,nek,nor
250,norde,north
996,nazon,nose
412,noto,note
353,nenio,nothing
499,anonco,notice
418,substantivo,noun
199,nun,now
182,nombro,number
328,numeralo,numeral
360,objekto,object
664,observi,observe
886,okazi,occur
438,oceano,ocean
30,de,of
85,ekstere,off
873,oferto,offer
603,oficejo,office
292,ofte,often
435,¡oh,oh
626,petrolo,oil
147,malnova,old
8,sur,on
263,unufoje,once
14,unu,one
114,nur,only
274,malfermita,open
760,funkcii,operate
963,kontraŭa,opposite
27,aŭ,or
338,ordon,order
673,organo,organ
865,originala,original
38,aliaj,other
124,nian,our
37,el,out
188,super,over
203,propra,own
901,oksigeno,oxygen
204,paĝo,page
398,pentri,paint
530,paro,pair
285,papero,paper
713,paragrafo,paragraph
853,gepatro,parent
104,parto,part
959,aparta,particular
774,festo,party
345,pasi,pass
584,estinteco,past
893,vojo,path
484,ŝablono,pattern
674,pagi,pay
186,homoj,people
510,eble,perhaps
782,periodo,period
488,persono,person
734,frazon,phrase
511,pick,pick
88,foton,picture
342,peco,piece
930,tonalto,pitch
107,loko,place
302,ebenaĵo,plain
414,plano,plan
375,ebeno,plane
827,planedo,planet
214,planto,plant
58,ludos,play
765,bonvolu,please
997,pluralo,plural
813,poemo,poem
93,punkto,point
686,malriĉa,poor
880,popoli,populate
65,port,port
320,supozi,pose
546,pozicion,position
374,ebla,possible
860,posteno,post
423,funto,pound
402,potenco,power
761,praktiko,practice
994,pretigi,prepare
542,ĉeestanta,present
244,gazetaro,press
904,bela,pretty
842,print,print
503,probabla,probable
341,problemo,problem
759,procezo,process
448,produkti,produce
325,produkto,product
871,taŭga,proper
985,propraĵo,property
766,protekti,protect
560,elprovi,prove
795,provizi,provide
497,tiri,pull
711,puŝo,push
61,metita,put
974,kvarto,quart
331,demando,question
436,rapida,quick
680,trankvila,quiet
653,tute,quite
897,kvociento,quotient
554,raso,race
784,radio,radio
793,fervoja,rail
494,pluvo,rain
707,enspezi,raise
382,kuris,ran
890,ventumilo,range
809,anstataŭ,rather
466,alveni,reach
63,legi,read
306,preta,ready
247,reala,real
515,kialo,reason
604,ricevos,receive
370,rekordo,record
309,ruĝa,red
520,regiono,region
459,memori,remember
991,ripeto,repeat
884,respondi,reply
517,reprezentas,represent
992,postuli,require
420,resto,rest
722,rezulto,result
756,riĉa,rich
507,ride,ride
145,dekstra,right
778,ringon,ring
623,supreniri,rise
296,rivero,river
492,vojo,road
337,roko,rock
739,rulo,roll
256,ĉambro,room
705,radiko,root
935,ŝnuro,rope
840,leviĝis,rose
115,ronda,round
605,vico,row
818,rub,rub
495,regulo,rule
241,run,run
725,sekura,safe
47,diris,said
549,velo,sail
995,sala,salt
149,sama,same
737,sablon,sand
572,sat,sat
648,ŝpari,save
235,segilo,saw
134,diras,say
661,skalo,scale
209,lernejo,school
254,scienco,science
926,interpunkcio,score
237,maro,sea
837,serĉo,search
907,sezono,season
949,seĝo,seat
300,dua,second
676,sekcio,section
171,vidi,see
615,semoj,seed
275,ŝajnas,seem
874,segmento,segment
988,elekti,select
98,aŭto,self
954,vendi,sell
838,sendu,send
750,sento,sense
640,sendis,sent
131,kondamno,sentence
762,apartaj,separate
490,servas,serve
52,aro,set
523,starigi,settle
712,sep,seven
478,pluraj,several
715,mortigu,shall
385,formo,shape
866,samkondiĉe,share
803,akra,sharp
150,ŝi,she
856,sheet,sheet
899,konko,shell
984,briligi,shine
334,ŝipo,ship
965,ŝuo,shoe
981,butiko,shop
854,bordo,shore
327,mallonga,short
205,devus,should
966,ŝultro,shoulder
612,krio,shout
119,spektaklo,show
197,flanko,side
284,vido,sight
582,signo,sign
735,malbrua,silent
910,arĝento,silver
923,simila,similar
477,simpla,simple
346,ekde,since
469,kanti,sing
692,sola,single
919,fratino,sister
553,sidiĝi,sit
471,ses,six
521,grandeco,size
905,lerto,skill
696,haŭto,skin
568,ĉielo,sky
875,sklavo,slave
559,dormo,sleep
936,slip,slip
485,malrapida,slow
59,malgranda,small
945,bonodoro,smell
697,rideto,smile
391,neĝo,snow
165,tiel,so
585,mola,soft
738,planko,soil
758,soldato,soldier
908,solvo,solution
708,solvi,solve
23,iuj,some
658,filo,son
