number,albanian,english
33,një,a
422,gjendje,able
158,për,about
307,sipër,above
77,akt,act
68,të shtoni,add
917,i frikësuar,afraid
111,pas,after
91,përsëri,again
483,kundër,against
675,mosha,age
381,më parë,ago
796,pajtohem,agree
55,ajrit,air
151,të gjithë,all
841,lejojnë,allow
57,edhe,also
287,gjithmonë,always
541,jam,am
400,në mesin e,among
48,një,an
32,dhe,and
998,zemërimi,anger
92,kafshëve,animal
208,përgjigje,answer
101,ndonjë,any
491,duket,appear
927,mollë,apple
9,janë,are
335,zonë,area
547,krah,arm
968,organizoni,arrange
850,arrijnë,arrive
518,art,art
1,si,as
79,kërkoj,ask
13,në,at
786,atom,atom
701,fëmijë,baby
112,mbrapa,back
624,keq,bad
536,top,ball
934,band,band
646,banka,bank
872,bar,bar
264,bazë,base
944,themelore,basic
808,lakuriq nate,bat
12,jetë,be
592,mbajnë,bear
746,rrah,beat
425,bukuri,beauty
504,krevat,bed
198,qenë,been
143,para,before
258,filloi,began
280,të fillojë,begin
445,prapa,behind
509,besoj,believe
815,zile,bell
452,mirë,best
454,më mirë,better
219,në mes të,between
73,i madh,big
314,zog,bird
731,bit,bit
326,e zezë,black
951,bllok,block
627,gjak,blood
625,goditje,blow
359,blu,blue
569,bordi,board
371,varkë,boat
316,trupi,body
792,kockave,bone
251,libri,book
972,born,born
290,të dy,both
689,fund,bottom
928,blerë,bought
417,kuti,box
146,djalë,boy
912,degë,branch
869,bukë,bread
620,pushim,break
587,ndritshme,bright
393,sjellë,bring
993,gjerë,broad
654,thyen,broke
505,vëlla,brother
389,solli,brought
636,kafe,brown
97,ndërtuar,build
723,djeg,burn
368,i zënë,busy
21,por,but
706,blej,buy
18,nga,by
192,thirrje,call
118,erdhi,came
969,kampi,camp
36,mund,can
751,kapitalit,capital
800,kapiten,captain
297,makinë,car
933,kartë,card
299,kujdes,care
252,kryer,carry
655,rasti,case
726,mace,cat
565,kapur,catch
781,kapur,caught
140,shkaku,cause
508,qelizë,cell
630,cent,cent
486,qendër,center
727,shekulli,century
405,sigurt,certain
753,karrige,chair
979,shans,chance
81,ndryshim,change
779,karakter,character
870,ngarkuar,charge
952,tabelë,chart
383,kontrolloj,check
881,zogth,chick
829,shefi,chief
665,fëmijë,child
279,fëmijë,children
641,zgjidhni,choose
862,akord,chord
529,rrethi,circle
227,qytet,city
999,pretendim,claim
329,klasë,class
619,i pastër,clean
446,qartë,clear
683,ngjit,climb
831,ora,clock
245,afër,close
597,vesh,clothe
678,cloud,cloud
732,bregdeti,coast
931,pallto,coat
498,ftohtë,cold
647,mbledhë,collect
830,koloni,colony
270,ngjyra,color
986,kolona,column
180,eja,come
372,përbashkët,common
956,kompania,company
812,të krahasuar,compare
333,i plotë,complete
940,kusht,condition
859,lidhur,connect
728,konsiderojnë,consider
667,bashkëtingëllore,consonant
428,përmbaj,contain
1000,kontinenti,continent
950,vazhdojnë,continue
649,kontrollit,control
719,kuzhinier,cook
684,i ftohtë,cool
733,kopje,copy
811,misri,corn
773,qoshe,corner
421,saktë,correct
634,kosto,cost
971,pambuku,cotton
178,mund,could
513,të llogarisë,count
206,vendi,country
