number,lao,english
33,ເປັນ,a
422,ສາມາດ,able
158,ກ່ຽວກັບ,about
307,ຂ້າງເທິງ,above
77,ກົດຫມາຍວ່າດ້ວຍ,act
68,ເພີ່ມ,add
917,ຄວາມຢ້ານກົວ,afraid
111,ຫຼັງຈາກ,after
91,ອີກເທື່ອຫນຶ່ງ,again
483,ຕໍ່,against
675,ອາຍຸສູງສຸດ,age
381,ກ່ອນຫນ້ານີ້,ago
796,ຕົກລົງເຫັນດີ,agree
55,ອາກາດ,air
151,ທັງຫມົດ,all
841,ອະນຸຍາດໃຫ້,allow
57,ຍັງ,also
287,ສະເຫມີໄປ,always
541,ເຈົ້າ,am
400,ໃນບັນດາ,among
48,ເປັນ,an
32,ແລະ,and
998,ຄວາມໃຈຮ້າຍ,anger
92,ສັດ,animal
208,ຄໍາຕອບ,answer
101,ໃດ,any
491,ປະກົດວ່າ,appear
927,ຈາກຫນາກແອບເປີ,apple
9,ແມ່ນ,are
335,ເຂດພື້ນທີ່,area
547,ແຂນ,arm
968,ຈັດ,arrange
850,ມາຮອດ,arrive
518,ສິນລະປະ,art
1,ເປັນ,as
79,ຖາມ,ask
13,ຢູ່,at
786,ປະລໍາມະນູ,atom
701,ເດັກນ້ອຍ,baby
112,ກັບຄືນໄປບ່ອນ,back
624,ບໍ່ດີ,bad
536,ບານ,ball
934,ແຖບ,band
646,ທະນາຄານ,bank
872,ພາທະນາຍຄວາມ,bar
264,ຖານ,base
944,ຂັ້ນພື້ນຖານ,basic
808,ເຈຍ,bat
12,ຈະ,be
592,ຮັບຜິດຊອບ,bear
746,ຫຼິ້ນໃຫ້ເກີນແມ່ນ,beat
425,ຄວາມງາມ,beauty
504,ນອນ,bed
198,ໄດ້,been
143,ກ່ອນທີ່ຈະ,before
258,ເລີ່ມຕົ້ນ,began
280,ເລີ່ມຕົ້ນ,begin
445,ຫລັງ,behind
509,ເຊື່ອ,believe
815,ລະຄັງ,bell
452,ທີ່ດີທີ່ສຸດ,best
454,ດີກວ່າ,better
219,ລະຫວ່າງ,between
73,ໃຫຍ່,big
314,ນົກຊະນິດ,bird
731,ນ້ອຍ,bit
326,ສີດໍາ,black
951,ຕັນ,block
627,ເລືອດ,blood
625,ສ້າງຄວາມເສຍຫາຍ,blow
359,ສີຟ້າ,blue
569,ຄະນະ,board
371,ເຮືອ,boat
316,ຮ່າງກາຍ,body
792,ກະດູກ,bone
251,ປື້ມບັນ,book
972,ເກີດ,born
290,ທັງສອງ,both
689,ທາງລຸ່ມ,bottom
928,ຊື້,bought
417,ຫມາຍໃສ່ໃນປ່ອງ,box
146,ເດັກຜູ້ຊາຍ,boy
912,ສາຂາ,branch
869,ເຂົ້າຈີ່,bread
620,ການພັກຜ່ອນ,break
587,ສົດໃສ,bright
393,ເອົາມາໃຫ້,bring
993,ຢ່າງກວ້າງຂວາງ,broad
654,ຫັກ,broke
505,ອ້າຍ,brother
389,ໄດ້ນໍາເອົາ,brought
636,ສີນ້ໍາ,brown
97,ການກໍ່ສ້າງ,build
723,ໄຫມ້,burn
368,ທຸລະກິດ,busy
21,ແຕ່ວ່າ,but
706,ຊື້,buy
18,ໂດຍ,by
192,ໂທ,call
118,ມາ,came
969,ຄ້າຍ,camp
36,ສາມາດເຮັດໄດ້,can
751,ນະຄອນຫຼວງ,capital
800,ນາຍເຮືອ,captain
297,ລົດ,car
933,ບັດ,card
299,ການດູແລ,care
252,ປະຕິບັດການ,carry
655,ກໍລະນີ,case
726,ແລ້ງ,cat
565,ຈັບ,catch
781,ຈັບໄດ້,caught
140,ສາເຫດ,cause
508,ຫ້ອງ,cell
630,ເປີເຊັນ,cent
486,ສູນກາງ,center
727,ສະຕະວັດທີ,century
405,ສະເພາະໃດຫນຶ່ງ,certain
753,ປະທານ,chair
979,ໂອກາດ,chance
81,ການປ່ຽນແປງ,change
779,ລັກສະນະ,character
870,ໄລ່ເອົາ,charge
952,ຕາຕະລາງ,chart
383,ໃຫ້ກວດເບິ່ງ,check
881,ທັງຫລາຍ chick,chick
829,ຫົວຫນ້າ,chief
665,ເດັກ,child
279,ເດັກນ້ອຍ,children
641,ເລືອກ,choose
862,ການ,chord
529,ແຜ່ນປ້າຍວົງກົມ,circle
227,ນະຄອນ,city
999,ການຮ້ອງຂໍ,claim
329,ຫ້ອງຮຽນ,class
619,ສະອາດ,clean
446,ຈະແຈ້ງ,clear
683,ຮູ້ສຶກເມື່ອຍ,climb
831,ໂມງ,clock
245,ໃກ້ຊິດ,close
597,ເຄື່ອງນຸ່ງຫົ່ມ,clothe
678,ຟັງ,cloud
732,ແຄມຝັ່ງທະເລ,coast
931,ເປືອກຫຸ້ມນອກ,coat
498,ເຢັນ,cold
647,ເກັບກໍາຂໍ້,collect
830,ກວ້າງ,colony
270,ສີ,color
986,ຖັນ,column
180,ມາ,come
372,ທົ່ວໄປ,common
956,ບໍລິສັດ,company
812,ສົມທຽບ,compare
333,ສໍາເລັດສົມບູນ,complete
940,ສະພາບການ,condition
859,ເຊື່ອມຕໍ່,connect
728,ພິຈາລະນາ,consider
667,ພະຍັນຊະນະ,consonant
428,ບັນຈຸ,contain
1000,ທະວີບ,continent
950,ສືບຕໍ່,continue
649,ການຄວບຄຸມ,control
719,ການຄົວກິນ,cook
684,ເຢັນ,cool
733,ສໍາເນົາ,copy
811,ສາລີ,corn
773,ແຈ,corner
421,ໄປ,correct
634,ຄ່າໃຊ້ຈ່າຍ,cost
971,ຝ້າຍ,cotton
178,ສາມາດເຮັດໄດ້,could
513,ນັບ,count
206,ປະເທດ,country
354,ແນ່ນອນ,course
215,ການປົກຫຸ້ມຂອງ,cover
579,ງົວ,cow
698,ເພີ່ມທະວີຂຶ້ນ,crease
805,ສ້າງ,create
768,ການປູກພືດ,crop
229,ກາ,cross
810,ທີ່ແອອັດ,crowd
409,ໄຫ້,cry
847,ໃນປະຈຸບັນ,current
267,ການຕັດ,cut
868,ພໍ່,dad
544,ການເຕັ້ນ,dance
754,ອັນຕະລາຍ,danger
410,ຊ້ໍາ,dark
177,ມື້,day
843,ການຕາຍ,dead
960,deal,deal
