number,kurdish,english
33,yek,a
422,kêrhat,able
158,ji dor,about
307,ser,above
77,ewlekarî,act
68,lêzêdekirin,add
917,tirsane,afraid
111,piştî,after
91,dîsa,again
483,dijî,against
675,kalbûn,age
381,pêşî,ago
796,qebûlkirin,agree
55,hewa,air
151,gişt,all
841,destûrdan,allow
57,jî,also
287,herdem,always
541,im,am
400,bin,among
48,an,an
32,û,and
998,hêrs,anger
92,teba,animal
208,bersiv,answer
101,herçiyek,any
491,xûyabûn,appear
927,sêv,apple
9,in,are
335,dewer,area
547,pîl,arm
968,lihevhatin,arrange
850,gihîştin,arrive
518,fen,art
1,dema,as
79,pirsîn,ask
13,ba,at
786,atom,atom
701,bebek,baby
112,paş,back
624,xerab,bad
536,gog,ball
934,koma,band
646,banke,bank
872,bar,bar
264,bingeh,base
944,bingehîn,basic
808,paçmêlk,bat
12,be,be
592,hirç,bear
746,lêdan,beat
425,çelengî,beauty
504,nivîn,bed
198,bûye,been
143,berî,before
258,dest pê kir,began
280,destpêkirin,begin
445,paş,behind
509,bawerîn,believe
815,zengil,bell
452,baştirîn,best
454,baştir,better
219,navber,between
73,mezin,big
314,teyr,bird
731,gem,bit
326,reş,black
951,deste,block
627,xwîn,blood
625,nepixandin,blow
359,şîn,blue
569,pêşewarî,board
371,qeyik,boat
316,beden,body
792,hestî,bone
251,pirtûk,book
972,zayî,born
290,herdû,both
689,erd,bottom
928,kirîn,bought
417,qûtîk,box
146,xort,boy
912,liq,branch
869,nan,bread
620,şikesta,break
587,ronî,bright
393,anîn,bring
993,fireh,broad
654,îflasî,broke
505,brak,brother
389,anîn,brought
636,qehweyî,brown
97,avakirin,build
723,birîna şewatê,burn
368,bikar,busy
21,lebê,but
706,kirrîn,buy
18,ji,by
192,bang,call
118,hatin,came
969,cîkon,camp
36,qûtîk,can
751,paytext,capital
800,kaptan,captain
297,trimbêl,car
933,qert,card
299,bibalî,care
252,hilgirtin,carry
655,doz,case
726,pisîk,cat
565,girtin,catch
781,girtin,caught
140,semed,cause
508,koşik,cell
630,ji sedî,cent
486,navîne,center
727,sedsal,century
405,qetî,certain
753,kûrsî,chair
979,tesadûf,chance
81,gûherrandinî,change
779,şexsîyet,character
870,biha,charge
952,qebale,chart
383,berçavkirinî,check
881,chick,chick
829,serok,chief
665,zarok,child
279,zarok,children
641,helbijartin,choose
862,denglihevanînî,chord
529,çember,circle
227,bajar,city
999,maf,claim
329,sinif,class
619,pak,clean
446,zelal,clear
683,rapelikandin,climb
831,seet,clock
245,nêzîkî,close
597,lebaslêkirin,clothe
678,ewr,cloud
732,derav,coast
931,post,coat
498,sarma,cold
647,berhevkirin,collect
830,mistemleke,colony
270,reng,color
986,ling,column
180,hatin,come
372,hevre,common
956,şîrket,company
812,mûqayesekirin,compare
333,tevî,complete
940,rewş,condition
859,bihevgirêdan,connect
728,dîtin,consider
667,dengdêr,consonant
428,bêdengman,contain
1000,qite,continent
950,berdewamkirin,continue
649,kontrol,control
719,aşbaz,cook
684,xwînsar,cool
733,kopî,copy
811,garis,corn
773,qozî,corner
421,serrast,correct
634,nirx,cost
971,pembo,cotton
178,nikaribû,could
513,jimartin,count
206,welat,country
354,kûrs,course
215,lihêv,cover
579,çêlek,cow
698,crease,crease
805,xûliqandin,create
768,zadçinî,crop
229,xaç,cross
810,çende,crowd
409,girîn,cry
847,vêga,current
267,birrîn,cut
868,bav,dad
544,dans,dance
754,talûke,danger
410,tarî,dark
177,roj,day
843,mirî,dead
960,bazirganî,deal
882,hêja,dear
903,mirin,death
361,biryardan,decide
650,dehek de,decimal
363,kûr,deep
879,derece,degree
816,pêvgirêdan,depend
718,terîfkirin,describe
845,çol,desert
685,mînakkirin,design
973,binavkirin,determine
437,pêşvebirin,develop
669,ferheng,dictionary
181,kir,did
609,mirin,die
138,cuda,differ
763,asteng,difficult
319,seranser,direct
921,hevaxaftin,discuss
395,dûr,distant
532,parkirin,divide
855,parî,division
41,çi,do
764,pizişk,doctor
51,nayê,does
317,seh,dog
921,dolaran,dollar
424,"kirin,",done
242,çi ne,don’t
324,derî,door
948,dûcar,double
196,jêr,down
238,xetkirin,draw
938,xewn,dream
677,lebas,dress
885,vexwarin,drink
426,ajotin,drive
539,dilopkirin,drop
377,zûha,dry
876,werdek,duck
456,dema,during
49,herkes,each
651,gûh,ear
461,zû,early
99,erd,earth
284,sivikî,ease
397,rohilat,east
255,xwarin,eat
581,qerax,edge
789,tesîr,effect
506,hêk,egg
702,heşt,eight
721,yan jî,either
790,elatrîkî,electric
770,pêve,element
652,wekîdi,else
60,dawî,end
883,dijmin,enemy
501,înercî,energy
545,makîne,engine
301,bes,enough
834,derbasbûn,enter
639,wekhev,equal
386,têbîniyên,equate
915,taybeten,especially
69,hetta,even
939,êvar,evening
958,bûyer,event
308,herdem,ever
120,herkes,every
607,tam,exact
283,mînak,example
613,bê,except
747,acizbûn,excite
563,fêre,exercise
791,bendeman,expect
925,tecribe,experience
688,ceribandinî,experiment
222,çav,eye
271,rû,face
449,berçavî,fact
645,adîl,fair
407,ketin,fall
318,malbat,family
820,nashatî,famous
236,dûr,far
230,malgûndî,farm
467,zû,fast
863,rûn,fat
100,bav,father
858,qedir,favor
823,tirs,fear
941,êm,feed
312,hiskirin,feel
298,lingên,feet
642,ket,fell
534,hest,felt
249,kêmane,few
419,erd,field
916,keman,fig
744,şer,fight
415,jimar,figure
396,tijîkirin,fill
432,dawî,final
200,dîtin,find
404,baş,fine
741,tilî,finger
593,qedandin,finish
339,agir,fire
193,yekem,first
260,masî,fish
643,bihorîn,fit
458,pênc,five
694,mal,flat
720,erd,floor
644,herrikîn,flow
596,kûlîlk,flower
406,mêş,fly
76,pêketin,follow
216,xûrek,food
366,ling,foot
7,bo,for
358,cebir,force
552,daristan,forest
130,şikil,form
922,pêşve,forward
207,hate dîtin,found
218,çar,four
551,fraction,fraction
440,belaş,free
836,teze,fresh
257,heval,friend
17,ji,from
429,pêşde,front
755,mêwe,fruit
357,tije,full
586,henek,fun
384,lîstik,game
638,baxçe,garden
588,xaz,gas
980,civandin,gather
433,da,gave
526,giştî,general
798,nerm,gentle
106,stendin,get
303,keç,girl
123,dayin,give
864,dilfireh,glad
577,cam,glass
179,çûyin,go
373,zêr,gold
599,gone,gone
121,baş,good
281,rabû,got
496,birêvebirin,govern
535,grand,grand
578,gîha,grass
990,gewr,gray
132,ecêb,great
434,kesk,green
