number,javanese,english
33,sing,a
422,bisa,able
158,babagan,about
307,ndhuwur,above
77,tumindak,act
68,nambah,add
917,wedi,afraid
111,sawise,after
91,maneh,again
483,marang,against
675,umur,age
381,ago,ago
796,setuju,agree
55,udhara,air
151,kabeh,all
841,ngidini,allow
57,uga,also
287,tansah,always
541,aku,am
400,antarane,among
48,lan,an
32,lan,and
998,nesu,anger
92,kewan,animal
208,jawaban,answer
101,sembarang,any
491,katon,appear
927,apel,apple
9,sing,are
335,area,area
547,lengen,arm
968,ngatur,arrange
850,teka,arrive
518,gambar,art
1,minangka,as
79,takon,ask
13,ing,at
786,atom,atom
701,baby,baby
112,bali,back
624,ala,bad
536,werni,ball
934,band,band
646,bank,bank
872,bar,bar
264,dasar,base
944,dhasar,basic
808,bat,bat
12,dadi,be
592,metokake,bear
746,ngalahake,beat
425,kaendahan,beauty
504,amben,bed
198,wis,been
143,sadurunge,before
258,wiwit,began
280,miwiti,begin
445,konco,behind
509,pracaya,believe
815,lonceng,bell
452,paling,best
454,luwih apik,better
219,antarane,between
73,amba,big
314,manuk,bird
731,dicokot,bit
326,ireng,black
951,pemblokiran,block
627,getih,blood
625,jotosan,blow
359,biru,blue
569,papan,board
371,baita,boat
316,awak,body
792,balung,bone
251,buku,book
972,mijil,born
290,loro,both
689,ngisor,bottom
928,tuku,bought
417,kothak,box
146,cah lanang,boy
912,cabang,branch
869,roti,bread
620,break,break
587,padhang,bright
393,nggawa,bring
993,godhongé amba,broad
654,nyuwil,broke
505,adik,brother
389,nggawa,brought
636,coklat,brown
97,mbangun,build
723,diobong,burn
368,sibuk,busy
21,nanging,but
706,tuku,buy
18,dening,by
192,telpon,call
118,teka,came
969,camp,camp
36,bisa,can
751,ibukutha,capital
800,kapten,captain
297,montor,car
933,kertu,card
299,care,care
252,nindakake,carry
655,cilik,case
726,cat,cat
565,nyekel,catch
781,kejiret,caught
140,sabab,cause
508,sel,cell
630,sen,cent
486,tengah,center
727,abad,century
405,tartamtu,certain
753,dhingklik,chair
979,kasempatan,chance
81,pangowahan,change
779,karakter,character
870,ngisi daya,charge
952,grafik,chart
383,mriksa,check
881,cah ayu,chick
829,pangareping,chief
665,anak,child
279,anak,children
641,milih,choose
862,penghubung,chord
529,bunder,circle
227,kutha,city
