number,mongolian,english
33,нь,a
422,боломжтой,able
158,тухай,about
307,дээр дурдсан,above
77,акт,act
68,нэмэх,add
917,айдаг,afraid
111,дараа,after
91,дахин,again
483,эсрэг,against
675,нас,age
381,өмнө,ago
796,санал нэгтэй,agree
55,агаар,air
151,бүх,all
841,боломж олгох,allow
57,мөн,also
287,үргэлж,always
541,байна,am
400,дунд,among
48,нь,an
32,болон,and
998,уур хилэн,anger
92,"мал, амьтны",animal
208,хариулт нь,answer
101,ямар ч,any
491,гарч ирэх,appear
927,алим,apple
9,байна,are
335,газар,area
547,гар,arm
968,зохион байгуулах,arrange
850,ирэх,arrive
518,урлаг,art
1,гэж,as
79,асуух,ask
13,үед,at
786,атомын,atom
701,хүүхэд,baby
112,буцааж,back
624,муу,bad
536,бөмбөг,ball
934,хамтлаг,band
646,банк,bank
872,бар,bar
264,үндсэн,base
944,үндсэн,basic
808,бат,bat
12,байх,be
592,үүрэх,bear
746,зодож,beat
425,гоо сайхан,beauty
504,ор,bed
198,байсан,been
143,өмнө нь,before
258,эхэлсэн,began
280,эхлэх,begin
445,ард нь,behind
509,гэдэгт итгэдэг,believe
815,хонх,bell
452,хамгийн сайн,best
454,сайн,better
219,хооронд,between
73,том,big
314,шувуу,bird
731,хэсэг,bit
326,хар,black
951,блок,block
627,цусны,blood
625,цохилт,blow
359,хөх,blue
569,туз-ийн,board
371,завь,boat
316,байгууллага,body
792,ясны,bone
251,ном,book
972,төрөлхийн,born
290,аль аль нь,both
689,доод,bottom
928,худалдан авсан,bought
417,хайрцаг,box
146,хүү,boy
912,салбар,branch
869,талх,bread
620,завсарлага,break
587,гэрэл гэгээтэй,bright
393,авчрах,bring
993,өргөн,broad
654,эвдсэн,broke
505,ах дүү,brother
389,авчирсан,brought
636,бор,brown
97,барих,build
723,шарах,burn
368,завгүй,busy
21,харин,but
706,худалдан авах,buy
18,өөр,by
192,дуудлага,call
118,ирсэн,came
969,бааз,camp
36,болох,can
751,капитал,capital
800,ахмад,captain
297,машины,car
933,карт,card
299,тусламж,care
252,авч явах,carry
655,хэрэг,case
726,муур,cat
565,барих,catch
781,татлаа,caught
140,шалтгаан нь,cause
508,эсийн,cell
630,хувь,cent
486,төв,center
727,зууны,century
405,тодорхой,certain
753,дарга,chair
979,боломж,chance
81,өөрчлөлт,change
779,тэмдэгт,character
870,үнэ,charge
952,зураг,chart
383,шалгах,check
881,дэгдээхэйн,chick
829,ерөнхий,chief
665,хүүхэд,child
279,хүүхдүүд,children
641,сонгох,choose
862,хөвч,chord
529,тойрог,circle
227,хот,city
999,нэхэмжлэл,claim
329,анги,class
619,цэвэр,clean
446,тодорхой,clear
683,өсөх,climb
831,цаг,clock
245,ойр,close
597,хувцаслан,clothe
678,үүл,cloud
732,эрэг,coast
931,цув,coat
498,хүйтэн,cold
647,"цуглуулах,",collect
830,колони,colony
270,өнгө,color
986,багана,column
180,ирэх,come
372,нийтлэг,common
956,компани нь,company
812,харьцуулах,compare
333,бүрэн,complete
940,нөхцөл байдал,condition
859,холбох,connect
728,авч үзэх,consider
667,гийгүүлэгч,consonant
428,агуулсан,contain
1000,тив,continent
950,үргэлжлүүлэх,continue
649,хяналтын,control
719,тогооч,cook
684,сэрүүн,cool
733,хуулбар,copy
811,эрдэнэ шиш,corn
773,булангийн,corner
421,зөв,correct
634,зардал,cost
971,хөвөн,cotton
178,болох,could
513,тоо,count
206,улс орон,country
354,мэдээж,course
215,хамгаалах,cover
579,үнээ,cow
698,уртасгахад,crease
805,бий болгох,create
768,газар тариалан,crop
229,гаталж,cross
810,олон хүн,crowd
409,хашхирах,cry
847,одоогийн,current
267,тайрах,cut
868,аав,dad
544,бүжгийн,dance
754,аюул,danger
410,харанхуй,dark
177,өдөр,day
843,нас барсан,dead
960,хэмжээ,deal
882,хайрт,dear
903,үхэл,death
361,шийдвэр,decide
650,аравтын,decimal
363,гүн гүнзгий,deep
879,зэрэг,degree
816,хамааралтай,depend
718,тайлбарлах,describe
845,цөлийн,desert
685,зураг төсөл,design
973,тодорхойлох,determine
437,боловсруулах,develop
669,ончтой үр дүн,dictionary
181,байсан,did
609,үхэх,die
138,өөр өөр,differ
763,хүнд хэцүү,difficult
319,шууд,direct
921,хэлэлцэх,discuss
395,холын,distant
532,хуваагдал,divide
855,хэлтэс,division
41,хийх,do
764,"эмч,",doctor
51,вэ,does
317,нохой,dog
921,доллар,dollar
424,хийгдсэн,done
242,хийж чадахгүй,don’t
324,хаалга,door
948,давхар,double
196,доош нь,down
238,зурж,draw
938,мөрөөдөж,dream
677,хувцас,dress
885,ундаа,drink
426,хөтөч,drive
539,унагаах,drop
377,"хуурай,",dry
876,нугас,duck
456,үед,during
49,тус бүр,each
651,чихний,ear
461,эрт,early
99,дэлхий,earth
284,хөнгөвчлөх,ease
397,зүүн,east
255,идэж,eat
581,зах,edge
789,үр нөлөө,effect
506,өндөг,egg
702,найман,eight
721,аль нэг,either
790,цахилгаан,electric
770,элемент,element
652,өөр,else
60,эцсийн,end
883,дайсан,enemy
501,эрчим хүчний,energy
545,хөдөлгүүр,engine
301,хангалттай,enough
834,оруул,enter
639,тэнцүү,equal
386,тэнцэхгүй,equate
915,ялангуяа,especially
69,тэр ч байтугай,even
939,орой,evening
958,үйл явдал,event
308,хэзээ нэгэн цагт,ever
120,бүх,every
607,яг,exact
283,жишээ нь,example
613,бусад,except
747,сэтгэл татна,excite
563,дасгал,exercise
791,найдах,expect
925,туршлага,experience
688,туршилт,experiment
222,нүдний,eye
271,нүүр,face
449,нь,fact
645,шударга,fair
407,унах,fall
318,гэр бүл,family
820,алдартай,famous
236,хол,far
230,аж ахуй,farm
467,хурдан,fast
863,өөх,fat
100,аав нь,father
858,хайр,favor
823,айдас,fear
941,малын тэжээл,feed
312,мэдрэх,feel
298,хөл,feet
642,буурсан,fell
534,эсгий,felt
249,хэдэн,few
419,талбар,field
916,инжрийн,fig
744,тэмцэл,fight
415,зураг,figure
396,бөглөх,fill
