number,telugu,english
33,ఒక,a
422,సామర్థ్యం,able
158,గురించి,about
307,పైన,above
77,చట్టం,act
68,జోడించండి,add
917,భయపడ్డారు,afraid
111,తర్వాత,after
91,మళ్ళీ,again
483,వ్యతిరేకంగా,against
675,వయస్సు,age
381,క్రితం,ago
796,అంగీకరిస్తున్నారు,agree
55,గాలి,air
151,అన్ని,all
841,అనుమతిస్తాయి,allow
57,కూడా,also
287,ఎల్లప్పుడూ,always
541,ఉన్నాను,am
400,మధ్య,among
48,ఒక,an
32,మరియు,and
998,కోపం,anger
92,జంతు,animal
208,సమాధానం,answer
101,ఏ,any
491,టెలిఫోన్,appear
927,ఆపిల్,apple
9,ఉన్నాయి,are
335,ప్రాంతం,area
547,చేయి,arm
968,ఏర్పాట్లు,arrange
850,చేరు,arrive
518,కళ,art
1,గా,as
79,గోవా,ask
13,వద్ద,at
786,అణువు,atom
701,బేబీ,baby
112,తిరిగి,back
624,చెడు,bad
536,బంతి,ball
934,బ్యాండ్,band
646,బ్యాంకు,bank
872,బార్,bar
264,బేస్,base
944,ప్రాథమిక,basic
808,బ్యాట్,bat
12,ఉంటుంది,be
592,భరించలేదని,bear
746,ఓడించింది,beat
425,అందం,beauty
504,మంచం,bed
198,ఉన్నాయి,been
143,ముందు,before
258,ప్రారంభమైంది,began
280,ప్రారంభం,begin
445,వెనుక,behind
509,నమ్మకం,believe
815,బెల్,bell
452,ఉత్తమ,best
454,మంచి,better
219,మధ్య,between
73,పెద్ద,big
314,పక్షి,bird
731,బిట్,bit
326,నలుపు,black
951,బ్లాక్,block
627,రక్త,blood
625,దెబ్బ,blow
359,నీలం,blue
569,బోర్డు,board
371,పడవ,boat
316,శరీర,body
792,ఎముక,bone
251,పుస్తకం,book
972,పుట్టినప్పటి,born
290,రెండు,both
689,దిగువ,bottom
928,కొనుగోలు,bought
417,బాక్స్,box
146,బాయ్,boy
912,శాఖ,branch
869,బ్రెడ్,bread
620,విరామం,break
587,బ్రైట్,bright
393,తీసుకుని,bring
993,విస్తృత,broad
654,విరిగింది,broke
505,సోదరుడు,brother
389,తీసుకువచ్చారు,brought
636,గోధుమ,brown
97,నిర్మించడానికి,build
723,బర్న్,burn
368,బిజీగా,busy
21,కానీ,but
706,కొనుగోలు,buy
18,ద్వారా,by
192,కాల్,call
118,వచ్చింది,came
969,శిబిరం,camp
36,చెయ్యవచ్చు,can
751,రాజధాని,capital
800,కెప్టెన్,captain
297,కారు,car
933,కార్డ్,card
299,సంరక్షణ,care
252,తీసుకు,carry
655,కేసు,case
726,పిల్లి,cat
565,క్యాచ్,catch
781,క్యాచ్,caught
140,కారణం,cause
508,సెల్,cell
630,శాతం,cent
486,సెంటర్,center
727,శతాబ్దం,century
405,కొన్ని,certain
753,కుర్చీ,chair
979,క్రీడల్లో అవకాశాలు,chance
81,మార్పు,change
779,పాత్ర,character
870,వసూలు,charge
952,చార్ట్,chart
383,తనిఖీ,check
881,చిక్,chick
829,చీఫ్,chief
665,పిల్లల,child
279,పిల్లలు,children
641,ఎంచుకోండి,choose
862,తీగ,chord
529,సర్కిల్,circle
227,నగరం,city
999,దావా,claim
329,తరగతి,class
619,శుభ్రంగా,clean
446,స్పష్టమైన,clear
683,ఆరోహణను,climb
831,గడియారం,clock
245,దగ్గరగా,close
597,దుస్తులు ధరింపజేయు,clothe
678,క్లౌడ్,cloud
732,తీరం,coast
931,కోటు,coat
498,చల్లని,cold
647,సేకరించడానికి,collect
830,కాలనీ,colony
270,రంగు,color
986,కాలమ్,column
180,వచ్చిన,come
372,సాధారణ,common
956,సంస్థ,company
812,సరిపోల్చండి,compare
333,పూర్తి,complete
940,పరిస్థితి,condition
859,కనెక్ట్,connect
728,పరిగణలోకి,consider
667,హల్లు,consonant
428,కలిగి,contain
1000,ఖండం,continent
950,కొనసాగుతుంది,continue
649,నియంత్రణ,control
719,కుక్,cook
684,చల్లని,cool
733,ప్రతిని,copy
811,మొక్కజొన్న,corn
773,మూలలో,corner
421,సరైన,correct
634,ధర,cost
971,పత్తి,cotton
178,అనుకొనుట,could
513,కౌంట్,count
206,దేశం,country
354,కోర్సు,course
215,కవర్,cover
579,ఆవు,cow
698,క్రీజ్,crease
805,సృష్టించడానికి,create
768,పంట,crop
229,క్రాస్,cross
810,గుంపు,crowd
409,క్రై,cry
847,ప్రస్తుత,current
267,కట్,cut
868,తండ్రి,dad
544,డ్యాన్స్,dance
754,ప్రమాదం,danger
410,కృష్ణ,dark
177,రోజు,day
843,చనిపోయిన,dead
960,ఒప్పందం,deal
882,ప్రియమైన,dear
903,మరణం,death
361,నిర్ణయించుకుంటారు,decide
650,దశాంశ,decimal
363,లోతైన,deep
879,డిగ్రీ,degree
816,ఆధారపడి,depend
718,వర్ణించేందుకు,describe
845,ఎడారి,desert
685,డిజైన్,design
973,గుర్తించడానికి,determine
437,అభివృద్ధి,develop
669,నిఘంటువు,dictionary
181,చేసింది,did
609,చనిపోయే,die
138,తేడా,differ
763,కష్టం,difficult
319,ప్రత్యక్ష,direct
921,చర్చించడానికి,discuss
395,సుదూర,distant
532,విభజన,divide
855,విభజన,division
41,చేయండి,do
764,డాక్టర్,doctor
51,చేస్తుంది,does
317,కుక్క,dog
921,డాలర్,dollar
424,పూర్తయింది,done
242,చేయలేను,don’t
324,తలుపు,door
948,డబుల్,double
196,డౌన్,down
238,డ్రా,draw
938,కావాలని,dream
677,దుస్తుల,dress
885,పానీయం,drink
426,డ్రైవ్,drive
539,డ్రాప్,drop
377,పొడి,dry
876,డక్,duck
456,సమయంలో,during
49,ప్రతి,each
651,చెవి,ear
461,ప్రారంభ,early
99,భూమి,earth
284,సులభం,ease
397,తూర్పు,east
255,తినడానికి,eat
581,అంచు,edge
789,ప్రభావం,effect
506,గుడ్డు,egg
702,ఎనిమిది,eight
721,గాని,either
790,విద్యుత్,electric
770,మూలకం,element
652,వేరే,else
60,ముగింపు,end
883,శత్రువు,enemy
501,శక్తి,energy
545,ఇంజిన్,engine
301,తగినంత,enough
834,నమోదు,enter
639,సమాన,equal
386,పోల్చుతారు,equate
915,ముఖ్యంగా,especially
69,కూడా,even
939,సాయంత్రం,evening
958,ఈవెంట్,event
308,ఎప్పుడూ,ever
120,ప్రతి,every
607,ఖచ్చితమైన,exact
283,ఉదాహరణకు,example
613,తప్ప,except
747,ఉత్సుకతను,excite
563,వ్యాయామం,exercise
791,ఆశించే,expect
925,అనుభవం,experience
688,ప్రయోగం,experiment
222,కంటి,eye
271,ముఖం,face
449,నిజానికి,fact
645,న్యాయమైన,fair
407,వస్తాయి,fall
318,కుటుంబం,family
820,ప్రసిద్ధ,famous
236,ఇప్పటివరకు,far
230,వ్యవసాయ,farm
467,ఫాస్ట్,fast
863,కొవ్వు,fat
100,తండ్రి,father
858,మొగ్గుచూపుతున్నారు,favor
823,భయము,fear
941,ఫీడ్,feed
312,అనుభూతి,feel
298,అడుగుల,feet
642,పడిపోయింది,fell
534,భావించాడు,felt
249,కొన్ని,few
419,ఫీల్డ్,field
916,అత్తి,fig
744,పోరాటం,fight
415,ఫిగర్,figure
396,పూరించడానికి,fill
432,ఆఖరి,final
200,కనుగొనేందుకు,find
404,జరిమానా,fine
741,వేలు,finger
593,ముగింపు,finish
339,అగ్ని,fire
193,మొదటి,first
260,చేప,fish
643,సరిపోయే,fit
458,ఐదు,five
694,ఫ్లాట్,flat
720,ఫ్లోర్,floor
644,ప్రవాహం,flow
596,పుష్పం,flower
406,ఫ్లై,fly
76,అనుసరించండి,follow
216,ఆహార,food
366,అడుగు,foot
7,కోసం,for
358,శక్తి,force
552,అటవీ,forest
130,రూపం,form
922,ముందుకు,forward
207,దొరకలేదు,found
218,నాలుగు,four
551,భిన్నం,fraction
440,ఉచిత,free
836,తాజా,fresh
257,స్నేహితుడు,friend
17,నుండి,from
429,ముందు,front
755,పండు,fruit
357,పూర్తి,full
586,సరదాగా,fun
384,గేమ్,game
638,తోట,garden
588,గ్యాస్,gas
980,సేకరించడానికి,gather
433,ఇచ్చింది,gave
526,సాధారణ,general
798,సున్నితమైన,gentle
106,పొందండి,get
303,అమ్మాయి,girl
123,ఇవ్వాలని,give
864,ఆనందంగా,glad
577,గాజు,glass
179,వెళ్ళి,go
373,బంగారు,gold
599,వెళ్లిపోవడంతో,gone
121,మంచి,good
281,వచ్చింది,got
496,పాలించే,govern
535,గ్రాండ్,grand
578,గడ్డి,grass
990,బూడిద,gray
132,గొప్ప,great
434,ఆకుపచ్చ,green
629,పెరిగింది,grew
464,భూమి,ground
286,సమూహం,group
210,పెరుగుతాయి,grow
801,అంచనా,guess
924,మార్గనిర్దేశం,guide
840,తుపాకీ,gun
28,వచ్చింది,had
717,జుట్టు,hair
336,సగం,half
64,చేతి,hand
332,జరిగే,happen
594,సంతోషంగా,happy
231,హార్డ్,hard
174,ఉంది,has
953,టోపీ,hat
15,కలిగి,have
5,అతను,he
201,తల,head
265,విను,hear
451,విన్న,heard
540,గుండె,heart
390,వేడి,heat
543,భారీ,heavy
716,ఒక్కొక,held
135,సహాయం,help
167,ఆమె యొక్క,her
71,ఇక్కడ,here
74,అధిక,high
724,కొండ,hill
172,అతనికి,him
3,తన,his
788,చరిత్ర,history
771,హిట్,hit
462,పట్టి,hold
699,రంధ్రం,hole
62,హోమ్,home
595,ఆశిస్తున్నాము,hope
266,గుర్రం,horse
19,వేడి,hot
387,వేడి,hot
453,గంట,hour
87,ఇల్లు,house
46,ఎలా,how
918,భారీ,huge
787,మానవ,human
457,వంద,hundred
502,వేట,hunt
828,అత్యవసరము,hurry
2,నేను,i
527,మంచు,ice
259,ఆలోచన,idea
44,ఉంటే,if
794,ఊహించే,imagine
34,లో,in
351,అంగుళం,inch
531,ఉన్నాయి,include
783,సూచిస్తున్నాయి,indicate
742,పరిశ్రమ,industry
780,క్రిమి,insect
877,తక్షణ,instant
575,వాయిద్యం,instrument
465,వడ్డీ,interest
970,కనుగొనడమే,invent
691,ఇనుము,iron
24,ఉంది,is
365,ద్వీపం,island
25,ఇది,it
580,ఉద్యోగం,job
617,చేరడానికి,join
570,ఆనందం,joy
700,జంప్,jump
129,కేవలం,just
221,ఉంచేందుకు,keep
576,ఉంచింది,kept
690,కీ,key
657,చంపడానికి,kill
84,రకం,kind
349,రాజు,king
344,తెలుసు,knew
189,తెలుసు,know
621,లేడీ,lady
659,సరస్సు,lake
70,భూమి,land
399,భాష,language
66,పెద్ద,large
224,గత,last
240,చివరి,late
379,నవ్వు,laugh
730,చట్టం,law
482,లే,lay
408,దారి,lead
213,తెలుసుకోవడానికి,learn
610,కనీసం,least
321,వదిలి,leave
