number,corsican,english
33,un,a
422,in gradu,able
158,circa,about
307,sopratuttu,above
77,attu,act
68,aggiungere,add
917,a paura,afraid
111,dopu à,after
91,di novu,again
483,contru à,against
675,etati,age
381,fa,ago
796,affattu,agree
55,aria,air
151,tuttu,all
841,auturizà,allow
57,ancu,also
287,sempri,always
541,sugnu,am
400,à mezu à,among
48,un,an
32,e,and
998,còllera,anger
92,animale,animal
208,risposta,answer
101,qualunqui,any
491,cumpariri,appear
927,mela,apple
9,sò,are
335,spaziu,area
547,bracciu,arm
968,acconcianu,arrange
850,ghjunghja,arrive
518,arte,art
1,cum’è,as
79,dumandà,ask
13,à,at
786,atomu,atom
701,zitellu,baby
112,ritornu,back
624,goffe,bad
536,palla,ball
934,à ruban,band
646,banque,bank
872,barra,bar
264,suttastratu,base
944,funnamintali,basic
808,bat,bat
12,essa,be
592,ceppu,bear
746,susanu,beat
425,biddizzi,beauty
504,etichettatura,bed
198,statu,been
143,nanzu,before
258,accuminzau,began
280,comincia,begin
445,daretu à,behind
509,cridite,believe
815,ghjuva,bell
452,migliori,best
454,megghiu,better
219,trà,between
73,tette,big
314,acellu,bird
731,pocu,bit
326,neru,black
951,pacchettu,block
627,u sangue,blood
625,pugnu,blow
359,turchinu,blue
569,bordu,board
371,in barca,boat
316,corpu,body
792,elle,bone
251,librettu,book
972,natu,born
290,tremindù,both
689,fondu,bottom
928,accattò,bought
417,scatula,box
146,carusu,boy
912,parus,branch
869,u pane,bread
620,ruttura,break
587,luminosu,bright
393,purtà,bring
993,fisico,broad
654,rumpiu,broke
505,fratellu,brother
389,purtaru,brought
636,marrone,brown
97,custruisce,build
723,brusgia,burn
368,occupato,busy
21,ma,but
706,accattari,buy
18,par,by
192,d,call
118,ghjuntu,came
969,truppa,camp
36,pò,can
751,capilocu,capital
800,cummandante,captain
297,vittura,car
933,card,card
299,skin,care
252,purtarla,carry
655,casu,case
726,gattu,cat
565,caccia,catch
781,fuòru pigghiàti,caught
140,a causa,cause
508,cellula,cell
630,centu,cent
486,centre,center
727,seculu,century
405,certu,certain
753,catedra,chair
979,casu,chance
81,cambiamentu,change
779,parsunaghju,character
870,in prigiò,charge
952,cuadru,chart
383,cuntrolla,check
881,pulcino,chick
829,u capu,chief
665,zitellu,child
279,i zitelli,children
641,sceglia,choose
862,bascule,chord
529,chjerchju,circle
227,a cità,city
999,sustennu,claim
329,burghisìa,class
619,lavagna,clean
446,chjaru,clear
683,foie gras,climb
831,roggiu,clock
245,chiudi,close
597,clothe,clothe
678,nuvola,cloud
732,aggrottu,coast
931,stemma,coat
498,imbernu,cold
647,vincite,collect
830,culonia,colony
270,culore,color
986,coluna,column
180,ghjuntu,come
372,cumuni,common
956,cumpagnia,company
812,parauni,compare
333,cumpleta,complete
940,cundizione,condition
859,cunnette,connect
728,cunziddirati,consider
667,cunzunanti,consonant
428,cuntena,contain
1000,cuntinenti,continent
950,cuntinuvà,continue
649,cuntrollu,control
719,cuocu,cook
684,cool,cool
733,esemplariu,copy
811,di granu,corn
773,munnizza,corner
421,aggalabbata,correct
634,costu,cost
971,cuttuni,cotton
178,puteva,could
513,contani,count
206,paese,country
354,corsu,course
215,"cupertine, iamme",cover
579,mucca,cow
698,dlani,crease
805,criari,create
768,culturi,crop
229,travancà,cross
810,ghjente,crowd
409,chianciti,cry
847,tirritòriu,current
267,verso,cut
868,sora,dad
544,ballari,dance
754,periculu,danger
410,scure,dark
177,ghjornu,day
843,mortu,dead
960,usure,deal
882,caru,dear
903,a morte,death
361,esaminà,decide
650,decimali,decimal
363,abissu,deep
879,fùria,degree
816,addipenni,depend
718,numaru di,describe
845,u disertu,desert
685,cuncezzione,design
973,ditarminendu,determine
437,elaburà,develop
669,traduzione,dictionary
181,fattu,did
609,mori,die
138,differ,differ
763,difficiule,difficult
319,direttu,direct
921,discurremu,discuss
395,luntanu,distant
532,si spartunu,divide
855,classa,division
41,fà,do
764,medico,doctor
51,ùn,does
317,ghjacaru,dog
921,carenza,dollar
424,fattu,done
242,ùn,don’t
324,av,door
948,doppia,double
196,falà,down
238,piglià,draw
938,sognu,dream
677,rochie,dress
885,vivu,drink
426,fundale,drive
539,lintà,drop
377,asciuttu,dry
