number,yiddish,english
33,אַ,a
422,קענען,able
158,וועגן,about
307,אויבן,above
77,אַקט,act
68,לייגן,add
917,דערשראָקן,afraid
111,נאָך,after
91,ווידער,again
483,קעגן,against
675,עלטער,age
381,צוריק,ago
796,שטימען,agree
55,לופט,air
151,אַלע,all
841,לאָזן,allow
57,אויך,also
287,שטענדיק,always
541,בין,am
400,צווישן,among
48,אַן,an
32,און,and
998,קאַס,anger
92,כייַע,animal
208,ענטפֿערן,answer
101,קיין,any
491,דערשייַנען,appear
927,עפּל,apple
9,זענען,are
335,געגנט,area
547,אָרעם,arm
968,צולייגן,arrange
850,אָנקומען,arrive
518,קונסט,art
1,ווי,as
79,פרעגן,ask
13,אין,at
786,אַטאָם,atom
701,בעיבי,baby
112,צוריק,back
624,שלעכט,bad
536,פּילקע,ball
934,באַנדע,band
646,באַנק,bank
872,באַר,bar
264,באַזע,base
944,יקערדיק,basic
808,פלעדערמויז,bat
12,זיין,be
592,בער,bear
746,קלאַפּן,beat
425,שיינקייט,beauty
504,בעט,bed
198,געווען,been
143,איידער,before
258,אנגעהויבן,began
280,אָנהייבן,begin
445,הינטער,behind
509,גלויבן,believe
815,גלאָק,bell
452,בעסטער,best
454,בעסער,better
219,צווישן,between
73,גרויס,big
314,פויגל,bird
731,שטיקל,bit
326,שוואַרץ,black
951,פאַרשפּאַרן,block
627,בלוט,blood
625,קלאַפּ,blow
359,בלוי,blue
569,ברעט,board
371,שיפל,boat
316,גוף,body
792,ביין,bone
251,בוך,book
972,געבוירן,born
290,ביידע,both
689,דנאָ,bottom
928,געקויפט,bought
417,קעסטל,box
146,יינגל,boy
912,צווייַג,branch
869,ברויט,bread
620,ברעכן,break
587,ליכטיק,bright
393,ברענגען,bring
993,ברייט,broad
654,אָנ געלט,broke
505,ברודער,brother
389,געבראכט,brought
636,ברוין,brown
97,בויען,build
723,ברענען,burn
368,פאַרנומען,busy
21,אָבער,but
706,קויפן,buy
18,דורך,by
192,רופן,call
118,געקומען,came
969,לאַגער,camp
36,קענען,can
751,קאפיטאל,capital
800,קאַפּיטאַן,captain
297,מאַשין,car
933,קאָרט,card
299,זאָרגן,care
252,פירן,carry
655,פאַל,case
726,קאַץ,cat
565,כאַפּן,catch
781,געכאפט,caught
140,גרונט,cause
508,צעל,cell
630,סענט,cent
486,צענטער,center
727,יאָרהונדערט,century
405,זיכער,certain
753,שטול,chair
979,געלעגנהייַט,chance
81,טוישן,change
779,פּאַרשוין,character
870,אָפּצאָל,charge
952,טשאַרט,chart
383,טשעק,check
881,פייגעלע,chick
829,ראשי,chief
665,קינד,child
279,קינדער,children
641,קלייַבן,choose
862,קאָרד,chord
529,קרייַז,circle
227,שטאָט,city
999,טענה,claim
329,קלאַס,class
619,ריין,clean
446,קלאָר,clear
683,קריכן,climb
831,זייגער,clock
245,נאָענט,close
597,אָנטאָן,clothe
678,וואָלקן,cloud
732,ברעג,coast
931,מאַנטל,coat
498,קאַלט,cold
647,זאַמלען,collect
830,קאַלאַני,colony
270,קאָליר,color
986,זייַל,column
180,קומען,come
372,פּראָסט,common
956,פירמע,company
812,פאַרגלייַכן,compare
333,גאַנץ,complete
940,צושטאַנד,condition
859,פאַרבינדן,connect
728,באַטראַכטן,consider
667,קאָנסאָנאַנט,consonant
428,אַנטהאַלטן,contain
1000,קאָנטינענט,continent
950,פאָרזעצן,continue
649,קאָנטראָל,control
719,קאָכן,cook
684,קילן,cool
733,קאָפּי,copy
811,פּאַפּשוי,corn
773,ווינקל,corner
421,ריכטיק,correct
634,קאָסטן,cost
971,וואַטע,cotton
178,קען,could
513,ציילן,count
206,לאַנד,country
354,קורס,course
215,דעקן,cover
579,קו,cow
698,קנייטש,crease
805,שאַפֿן,create
768,גערעטעניש,crop
229,קרייַז,cross
810,מאַסע,crowd
409,וויינען,cry
847,קראַנט,current
267,דורכשניט,cut
868,טאַטע,dad
544,טאַנצן,dance
754,געפאַר,danger
410,פינצטער,dark
177,טאָג,day
843,טויט,dead
960,האַנדלען,deal
882,ליב,dear
903,טויט,death
361,באַשליסן,decide
650,דעצימאַל,decimal
363,טיף,deep
879,דיפּלאָם,degree
816,אָפענגען,depend
718,באַשרייַבן,describe
845,מדבר,desert
685,פּלאַן,design
973,באַשטימען,determine
437,אַנטוויקלען,develop
669,ווערטערבוך,dictionary
181,האט,did
609,שטאַרבן,die
138,אַנדערש זייַן,differ
763,שווער,difficult
