number,vietnamese,english
33,một,a
422,thể,able
158,về,about
307,trên đây,above
77,hành động,act
68,thêm,add
917,sợ,afraid
111,sau khi,after
91,một lần nữa,again
483,chống lại,against
675,tuổi,age
381,trước,ago
796,đồng ý,agree
55,không khí,air
151,tất cả,all
841,cho phép,allow
57,cũng,also
287,luôn luôn,always
541,là,am
400,trong,among
48,một,an
32,và,and
998,tức giận,anger
92,động vật,animal
208,câu trả lời,answer
101,bất kỳ,any
491,xuất hiện,appear
927,táo,apple
9,là,are
335,khu vực,area
547,cánh tay,arm
968,sắp xếp,arrange
850,đến,arrive
518,nghệ thuật,art
1,như,as
79,xin,ask
13,tại,at
786,nguyên tử,atom
701,bé,baby
112,trở lại,back
624,xấu,bad
536,bóng,ball
934,ban nhạc,band
646,ngân hàng,bank
872,thanh,bar
264,cơ sở,base
944,cơ bản,basic
808,bat,bat
12,được,be
592,chịu,bear
746,đánh bại,beat
425,vẻ đẹp,beauty
504,giường,bed
198,được,been
143,trước,before
258,bắt đầu,began
280,bắt đầu,begin
445,sau,behind
509,tin,believe
815,chuông,bell
452,tốt nhất,best
454,tốt hơn,better
219,giữa,between
73,lớn,big
314,chim,bird
731,bit,bit
326,đen,black
951,khối,block
627,máu,blood
625,đòn,blow
359,màu xanh,blue
569,hội đồng quản trị,board
371,thuyền,boat
316,cơ thể,body
792,xương,bone
251,cuốn sách,book
972,sinh,born
290,cả hai,both
689,dưới,bottom
928,mua,bought
417,hộp,box
146,cậu bé,boy
912,chi nhánh,branch
869,bánh mì,bread
620,nghỉ,break
587,sáng,bright
393,mang lại,bring
993,rộng,broad
654,đã phá vỡ,broke
505,anh trai,brother
389,mang,brought
636,nâu,brown
97,xây dựng,build
723,ghi,burn
368,bận rộn,busy
21,nhưng,but
706,mua,buy
18,bởi,by
192,gọi,call
118,đến,came
969,trại,camp
36,có thể,can
751,vốn,capital
800,đội trưởng,captain
297,xe,car
933,thẻ,card
299,chăm sóc,care
252,thực hiện,carry
655,khi,case
726,mèo,cat
565,bắt,catch
781,bắt,caught
140,nguyên nhân,cause
508,pin,cell
630,phần trăm,cent
486,trung tâm,center
727,thế kỷ,century
405,nhất định,certain
753,ghế,chair
979,cơ hội,chance
81,thay đổi,change
779,nhân vật,character
870,phí,charge
952,biểu đồ,chart
383,kiểm tra,check
881,gà,chick
829,trưởng,chief
665,con,child
279,trẻ em,children
641,chọn,choose
862,hợp âm,chord
529,vòng tròn,circle
227,thành phố,city
999,xin,claim
329,lớp,class
619,sạch,clean
446,trong,clear
683,lên cao,climb
831,đồng hồ,clock
245,gần,close
597,mặc,clothe
678,điện toán đám mây,cloud
732,bờ biển,coast
931,áo,coat
498,lạnh,cold
647,thu thập,collect
830,thuộc địa,colony
270,màu,color
986,cột,column
180,đến,come
372,phổ biến,common
956,công ty,company
812,so sánh,compare
333,hoàn thành,complete
940,điều kiện,condition
859,kết nối,connect
728,xem xét,consider
667,phụ âm,consonant
428,chứa,contain
1000,lục,continent
950,tiếp tục,continue
649,kiểm soát,control
719,nấu ăn,cook
684,mát mẻ,cool
733,bản sao,copy
811,ngô,corn
773,góc,corner
421,chính xác,correct
634,chi phí,cost
971,bông,cotton
178,có thể,could
513,tính,count
206,nước,country
354,tất nhiên,course
215,bìa,cover
579,bò,cow
698,nếp,crease
805,tạo,create
768,cây trồng,crop
229,qua,cross
810,đám đông,crowd
409,kêu,cry
847,hiện tại,current
267,cắt,cut
868,cha,dad
544,khiêu vũ,dance
754,nguy hiểm,danger
410,tối,dark
177,ngày,day
843,chết,dead
960,thỏa thuận,deal
882,thân yêu,dear
903,chết,death
361,quyết định,decide
650,số thập phân,decimal
363,sâu,deep
879,mức độ,degree
816,phụ thuộc,depend
718,mô tả,describe
845,sa mạc,desert
685,thiết kế,design
973,xác định,determine
437,phát triển,develop
669,từ điển,dictionary
181,đã làm,did
609,chết,die
138,khác nhau,differ
763,khó khăn,difficult
319,trực tiếp,direct
921,thảo luận,discuss
395,xa,distant
532,chia,divide
855,phân chia,division
41,làm,do
764,bác sĩ,doctor
51,không,does
317,con chó,dog
921,đồng đô la,dollar
424,xong,done
242,không,don’t
324,cửa,door
948,đôi,double
196,xuống,down
238,vẽ,draw
938,mơ,dream
677,váy,dress
885,ly,drink
426,ổ đĩa,drive
539,rơi,drop
377,khô,dry
876,vịt,duck
456,trong khi,during
49,môi,each
651,tai,ear
461,đầu,early
99,đất,earth
284,giảm bớt,ease
397,đông,east
255,ăn,eat
581,cạnh,edge
789,hiệu lực,effect
506,trứng,egg
702,tám,eight
721,hoặc,either
790,điện,electric
770,yếu tố,element
652,khác,else
60,cuối,end
883,kẻ thù,enemy
501,năng lượng,energy
545,động cơ,engine
301,đủ,enough
834,nhập,enter
639,như nhau,equal
386,đánh đồng,equate
915,đặc biệt là,especially
69,thậm chí,even
939,buổi tối,evening
958,sự kiện,event
308,bao giờ,ever
120,mỗi,every
607,chính xác,exact
283,ví dụ,example
613,trừ,except
747,kích thích,excite
563,tập thể dục,exercise
791,mong đợi,expect
925,kinh nghiệm,experience
688,thí nghiệm,experiment
222,mắt,eye
271,khuôn mặt,face
449,thực tế,fact
645,công bằng,fair
407,giảm,fall
318,gia đình,family
820,nổi tiếng,famous
236,đến nay,far
230,trang trại,farm
467,nhanh chóng,fast
863,chất béo,fat
100,cha,father
858,ủng hộ,favor
823,sợ hãi,fear
941,thức ăn chăn nuôi,feed
312,cảm thấy,feel
298,chân,feet
642,giảm,fell
534,cảm thấy,felt
249,số,few
419,lĩnh vực,field
916,sung,fig
744,cuộc chiến,fight
415,con số,figure
396,điền,fill
432,thức,final
200,tìm,find
404,tốt,fine
741,ngón tay,finger
593,kết thúc,finish
339,lửa,fire
193,đầu tiên,first
260,cá,fish
643,phù hợp với,fit
458,năm,five
694,phẳng,flat
720,sàn,floor
644,chảy,flow
596,hoa,flower
406,bay,fly
76,theo,follow
216,thực phẩm,food
366,chân,foot
7,cho,for
358,lực,force
552,rừng,forest
130,hình thức,form
922,về phía trước,forward
207,tìm thấy,found
218,bốn,four
551,phần,fraction
440,miễn phí,free
