number,galician,english
33,unha,a
422,capaz,able
158,sobre,about
307,arriba,above
77,acto,act
68,engadir,add
917,medo,afraid
111,despois,after
91,novo,again
483,contra,against
675,idade,age
381,atrás,ago
796,concordo,agree
55,aire,air
151,todo,all
841,permitir,allow
57,tamén,also
287,sempre,always
541,son,am
400,entre,among
48,unha,an
32,e,and
998,rabia,anger
92,animal,animal
208,resposta,answer
101,calquera,any
491,aparecer,appear
927,mazá,apple
9,son,are
335,área,area
547,brazo,arm
968,organizar,arrange
850,chegar,arrive
518,arte,art
1,como,as
79,preguntar,ask
13,en,at
786,átomo,atom
701,bebé,baby
112,de volta,back
624,malo,bad
536,bola,ball
934,banda,band
646,base,bank
872,bar,bar
264,base,base
944,básico,basic
808,bat,bat
12,ser,be
592,soportar,bear
746,vencer,beat
425,beleza,beauty
504,cama,bed
198,foi,been
143,antes,before
258,comezou,began
280,inicio,begin
445,atrás,behind
509,crer,believe
815,campá,bell
452,mellor,best
454,mellor,better
219,entre,between
73,gran,big
314,paxaro,bird
731,bit,bit
326,negro,black
951,bloque,block
627,sangue,blood
625,golpe,blow
359,azul,blue
569,consello,board
371,barco,boat
316,corpo,body
792,ósea,bone
251,libro,book
972,nacido,born
290,tanto,both
689,bottom,bottom
928,comprou,bought
417,caixa,box
146,neno,boy
912,sector,branch
869,pan,bread
620,pausa,break
587,brillante,bright
393,traer,bring
993,ampla,broad
654,rompe,broke
505,irmán,brother
389,trouxo,brought
636,marrón,brown
97,construír,build
723,queimar,burn
368,ocupado,busy
21,pero,but
706,mercar,buy
18,por,by
192,chamada,call
118,veu,came
969,campamento,camp
36,pode,can
751,capital,capital
800,capitán,captain
297,coche,car
933,tarxeta,card
299,coidados,care
252,cargar,carry
655,caso,case
726,gato,cat
565,captura,catch
781,capturados,caught
140,causa,cause
508,móbil,cell
630,cento,cent
486,centro,center
727,século,century
405,seguro,certain
753,materia,chair
979,oportunidade,chance
81,cambio,change
779,carácter,character
870,cobrar,charge
952,gráfico,chart
383,comprobe,check
881,pinto,chick
829,xefe,chief
665,neno,child
279,nenos,children
641,escoller,choose
862,acorde,chord
529,círculo,circle
227,cidade,city
999,reivindicación,claim
329,clase,class
619,limpo,clean
446,claro,clear
683,subida,climb
831,reloxo,clock
245,preto,close
597,levar,clothe
678,nube,cloud
732,costa,coast
931,abrigo,coat
498,frío,cold
647,recoller,collect
830,colonia,colony
270,cor,color
986,columna,column
180,vir,come
372,común,common
956,empresa,company
812,comparar,compare
333,completo,complete
940,condición,condition
859,conectar,connect
728,considerar,consider
667,consoante,consonant
428,conteñen,contain
1000,continente,continent
950,seguir,continue
649,control,control
719,cociñeiro,cook
684,legal,cool
733,copia,copy
811,millo,corn
773,canto,corner
421,correcto,correct
634,custo,cost
971,algodón,cotton
178,podería,could
513,contar,count
206,país,country
354,curso,course
215,cuberta,cover
579,vaca,cow
698,vinci,crease
805,crear,create
768,colleita,crop
229,atravesar,cross
810,multitude,crowd
409,berro,cry
847,actual,current
267,corte,cut
868,pai,dad
544,danza,dance
754,perigo,danger
410,escuro,dark
177,día,day
843,morto,dead
960,negocio,deal
882,caro,dear
903,morte,death
361,decidir,decide
650,decimal,decimal
363,profunda,deep
879,grao,degree
816,dependen,depend
718,describir,describe
845,deserto,desert
685,proxecto,design
973,determinar,determine
437,desenvolver,develop
669,dicionario,dictionary
181,fixo,did
609,morrer,die
138,diferir,differ
763,difícil,difficult
319,directo,direct
921,discutir,discuss
395,distante,distant
532,división,divide
855,división,division
41,facer,do
764,médico,doctor
51,fai,does
317,can,dog
921,dólar,dollar
424,done,done
242,non,don’t
324,porta,door
948,dobre,double
196,abaixo,down
238,deseñar,draw
938,soñar,dream
677,vestido,dress
885,bebida,drink
426,unidade,drive
539,caer,drop
377,seca,dry
876,pato,duck
456,durante,during
49,cada,each
651,oído,ear
461,cedo,early
99,terra,earth
284,facilidade,ease
397,leste,east
255,comer,eat
581,borde,edge
789,efecto,effect
506,ovo,egg
702,oito,eight
721,ou,either
790,eléctrica,electric
770,elemento,element
652,máis,else
60,fin,end
883,inimigo,enemy
501,enerxía,energy
545,motor,engine
301,suficiente,enough
834,introducir,enter
639,igual,equal
386,equiparar,equate
915,especialmente,especially
69,mesmo,even
939,noite,evening
958,evento,event
308,sempre,ever
120,cada,every
607,exacta,exact
283,exemplo,example
613,excepto,except
747,excitar,excite
563,exercicio,exercise
791,esperar,expect
925,experiencia,experience
688,experiencia,experiment
222,ollo,eye
271,cara,face
449,feito,fact
645,feira,fair
407,caer,fall
318,familia,family
820,famoso,famous
236,lonxe,far
230,facenda,farm
467,rápido,fast
863,graxa,fat
100,pai,father
858,favorecer,favor
823,medo,fear
941,alimentación,feed
312,sentir,feel
298,pés,feet
642,caeu,fell
534,sentiu,felt
249,poucos,few
419,campo,field
916,figo,fig
744,loita,fight
415,figura,figure
396,cubrir,fill
432,finais,final
200,atopar,find
404,multa,fine
741,dedo,finger
593,acabado,finish
339,lume,fire
193,primeiro,first
260,peixe,fish
643,caber,fit
458,cinco,five
694,plana,flat
720,chan,floor
644,fluír,flow
596,flor,flower
406,voar,fly
76,siga,follow
216,alimentos,food
366,pé,foot
7,para,for
358,forza,force
552,bosque,forest
130,forma,form
922,para adiante,forward
207,atopou,found
218,catro,four
551,fracción,fraction
440,libre,free
836,fresco,fresh
257,amigo,friend
17,desde,from
429,fronte,front
755,froitas,fruit
357,completo,full
586,diversión,fun
384,xogo,game
638,xardín,garden
588,gas,gas
980,recoller,gather
433,deu,gave
526,xeral,general
798,suave,gentle
106,obter,get
303,nena,girl
123,dar,give
864,feliz,glad
577,vidro,glass
179,ir,go
373,ouro,gold
599,gone,gone
121,bo,good
281,ten,got
496,gobernar,govern
535,gran,grand
578,herba,grass
990,gris,gray
132,gran,great
434,verde,green
629,creceu,grew
464,solo,ground
286,grupo,group
210,crecer,grow
801,creo que,guess
924,orientar,guide
840,arma,gun
28,tivo,had
717,pelo,hair
336,metade,half
64,man,hand
332,pasar,happen
594,feliz,happy
231,difícil,hard
174,ten,has
953,sombreiro,hat
15,ten,have
5,el,he
201,cabeza,head
265,escoitar,hear
451,oído,heard
540,corazón,heart
390,calor,heat
543,pesado,heavy
716,held,held
135,axuda,help
167,ela,her
71,aquí,here
74,alta,high
724,hill,hill
172,el,him
3,súa,his
788,historia,history
771,bater,hit
462,soster,hold
699,burato,hole
62,casa,home
595,esperanza,hope
266,cabalo,horse
19,quente,hot
387,quente,hot
453,horas,hour
87,casa,house
46,como,how
918,enorme,huge
787,humano,human
457,cen,hundred
502,caza,hunt
828,acelerar,hurry
2,i,i
527,xeo,ice
259,idea,idea
44,se,if
794,imaxinar,imagine
34,en,in
351,polgada,inch
531,incluír,include
783,indican,indicate
742,industria,industry
780,insectos,insect
877,instantánea,instant
575,instrumento,instrument
465,interese,interest
970,inventar,invent
691,ferro,iron
24,é,is
365,illa,island
25,el,it
580,traballo,job
617,xuntar-se,join
570,alegría,joy
700,ir,jump
129,só,just
221,manter,keep
576,mantido,kept
690,clave,key
657,matar,kill
84,tipo,kind
349,rei,king
344,sabía,knew
189,saber,know
621,señora,lady
659,lago,lake
70,terra,land
399,linguaxe,language
66,gran,large
224,última,last
240,tarde,late
379,risada,laugh
730,dereito,law
482,lay,lay
408,conducir,lead
213,aprender,learn
610,menos,least
321,deixar,leave
929,led,led
239,esquerda,left
562,perna,leg
516,lonxitude,length
474,menos,less
225,deixe,let
293,carta,letter
978,nivel,level
745,mentira,lie
248,vida,life
848,ascensor,lift
83,luz,light
164,como,like
137,liña,line
894,líquido,liquid
310,lista,list
470,escoite,listen
113,pouco,little
109,vivir,live
777,atopar,locate
895,rexistro,log
561,solitario,lone
168,longo,long
175,ollar,look
635,perdido,lost
687,moi,lot
662,alto,loud
487,amo,love
136,baixo,low
411,máquina,machine
108,feito,made
909,imán,magnet
273,principal,main
835,major,major
169,facer,make
116,home,man
159,moitos,many
493,mapa,map
291,marca,mark
878,mercado,market
932,masa,mass
851,mestre,master
913,xogo,match
550,material de,material
528,asunto,matter
195,pode,may
122,me,me
142,significa,mean
896,significaba,meant
323,medir,measure
817,carne,meat
704,meet,meet
601,melodía,melody
80,homes,men
709,metálicos,metal
672,método,method
656,medio,middle
233,pode,might
295,milla,mile
670,leite,milk
591,millóns,million
444,mente,mind
832,mina,mine
441,minuto,minute
388,señorita,miss
631,mesturar,mix
769,moderno,modern
987,molécula,molecule
660,momento,moment
489,diñeiro,money
590,mes,month
364,lúa,moon
176,máis,more
475,mañá,morning
185,máis,most
94,nai,mother
892,movemento,motion
566,mount,mount
261,montaña,mountain
606,boca,mouth
144,movemento,move
141,moi,much
352,multiplicar,multiply
288,música,music
72,debe,must
187,meu,my
126,nome,name
668,nación,nation
748,naturais,natural
889,natureza,nature
96,preto,near
802,necesario,necessary
900,pescozo,neck
86,ten,need
806,veciño,neighbor
223,nunca,never
102,novo,new
277,preto,next
246,noite,night
975,nove,nine
184,non,no
977,ruído,noise
767,mediodía,noon
947,nin,nor
250,norte,north
996,nariz,nose
412,nota,note
353,nada,nothing
499,aviso,notice
418,substantivo,noun
199,agora,now
182,número,number
328,numeral,numeral
360,obxecto,object
664,observar,observe
886,ocorrer,occur
438,océano,ocean
30,de,of
85,off,off
873,oferta,offer
603,oficina,office
292,miúdo,often
435,oh,oh
626,aceite,oil
147,vello,old
8,en,on
263,xa,once
14,un,one
114,só,only
274,aberto,open
760,operar,operate
963,contrario,opposite
27,ou,or
338,orde,order
673,órgano,organ
865,orixinais,original
38,outro,other
124,nosa,our
37,fóra,out
188,sobre,over
203,propio,own
901,osíxeno,oxygen
204,páxina,page
398,pintar,paint
530,par,pair
285,papel,paper
713,parágrafo,paragraph
853,pai,parent
104,parte,part
959,especial,particular
774,festa,party
345,pasar,pass
584,pasado,past
893,camiño,path
484,estándar,pattern
674,pagar,pay
186,persoas,people
510,quizais,perhaps
782,período,period
488,persoa,person
734,frase,phrase
511,escoller,pick
88,imaxe,picture
342,peza,piece
930,campo,pitch
107,lugar,place
302,plain,plain
414,plan,plan
375,avión,plane
827,planeta,planet
214,planta,plant
58,xogar,play
765,por favor,please
997,plural,plural
813,poema,poem
93,punto,point
686,pobre,poor
