number,hausa,english
33,wani,a
422,iya,able
158,game da,about
307,a sama,above
77,yi,act
68,add,add
917,ji tsoro,afraid
111,bayan,after
91,kuma,again
483,da,against
675,shekaru,age
381,ago,ago
796,yarda,agree
55,air,air
151,duk,all
841,ƙyale,allow
57,"har ila yau,",also
287,ko da yaushe,always
541,am,am
400,a tsakanin,among
48,wani,an
32,da kuma,and
998,fushi,anger
92,animal,animal
208,amsar,answer
101,wani,any
491,bayyana,appear
927,apple,apple
9,suna,are
335,area,area
547,hannu,arm
968,shirya,arrange
850,isa,arrive
518,art,art
1,kamar yadda,as
79,tambaye,ask
13,a,at
786,zarra,atom
701,baby,baby
112,baya,back
624,mummunan,bad
536,ball,ball
934,band,band
646,bank,bank
872,bar,bar
264,tushe,base
944,na asali,basic
808,bat,bat
12,zama,be
592,kai,bear
746,ta doke,beat
425,kyakkyawa,beauty
504,gado,bed
198,kasance,been
143,kafin,before
258,ya fara,began
280,za a fara,begin
445,baya,behind
509,"yi ĩmãni,",believe
815,kararrawa,bell
452,mafi,best
454,mafi alhẽri,better
219,tsakanin,between
73,big,big
314,tsuntsu,bird
731,bit,bit
326,black,black
951,block,block
627,jini,blood
625,duka,blow
359,blue,blue
569,hukumar,board
371,jirgin ruwa,boat
316,jiki,body
792,kashi,bone
251,littafi,book
972,haifaffe,born
290,duka,both
689,kasa,bottom
928,sayi,bought
417,akwatin,box
146,yaro,boy
912,reshe,branch
869,gurasa,bread
620,fasa,break
587,haske,bright
393,kawo,bring
993,m,broad
654,karya,broke
505,brother,brother
389,kawo,brought
636,launin ruwan kasa,brown
97,gina,build
723,ƙona,burn
368,aiki,busy
21,amma,but
706,buy,buy
18,by,by
192,kira,call
118,ya zo,came
969,sansanin,camp
36,iya,can
751,babban birnin kasar,capital
800,kyaftin,captain
297,car,car
933,sim,card
299,kula,care
252,kawo,carry
655,case,case
726,cat,cat
565,kama,catch
781,kama,caught
140,sabili,cause
508,cell,cell
630,dari,cent
486,cibiyar,center
727,karni,century
405,wasu,certain
753,kujera,chair
979,dama,chance
81,canji,change
779,character,character
870,cajin,charge
952,ginshiƙi,chart
383,duba,check
881,chick,chick
829,shugaba,chief
665,yaro,child
279,yara,children
641,za i,choose
862,tsirkiya,chord
529,da’irar,circle
227,city,city
999,da’awar,claim
329,class,class
619,mai tsabta,clean
446,clear,clear
683,hau,climb
831,agogo,clock
245,close,close
597,sa,clothe
678,girgije,cloud
732,coast,coast
931,gashi,coat
498,sanyi,cold
647,tattara,collect
830,mallaka,colony
270,launi,color
986,shafi,column
180,zo,come
372,na kowa,common
956,company,company
812,kwatanta,compare
333,complete,complete
940,yanayin,condition
859,connect,connect
728,duba,consider
667,baƙi,consonant
428,dauke da,contain
1000,nahiyar,continent
950,ci gaba,continue
649,kula da,control
719,dafa,cook
684,sanyi,cool
733,kofi,copy
811,masara,corn
773,kusurwa,corner
421,daidai,correct
634,cost,cost
971,auduga,cotton
178,iya,could
513,count,count
206,country,country
354,hakika,course
215,cover,cover
579,saniya,cow
698,crease,crease
805,ƙirƙirar,create
768,amfanin gona,crop
229,kuros,cross
810,taron,crowd
409,kira,cry
847,yanzu,current
267,yanke,cut
868,baba,dad
544,dance,dance
754,hadari,danger
410,dark,dark
177,rana,day
843,matattu,dead
960,da yawa,deal
882,masoyi,dear
903,mutuwa,death
361,yanke shawara,decide
650,gidan goma,decimal
363,zurfi,deep
879,digiri,degree
816,dogara,depend
718,bayyana,describe
845,hamada,desert
685,zane,design
973,ƙayyade,determine
437,ci gaba,develop
669,dictionary,dictionary
181,ya yi,did
609,mutu,die
138,bambanta,differ
763,wuya,difficult
319,kai tsaye,direct
921,tattaunawa,discuss
395,m,distant
532,raba,divide
855,division,division
41,yi,do
764,likita,doctor
51,ya aikata,does
317,kare,dog
921,dollar,dollar
424,aka yi,done
242,kar ka,don’t
324,kofa,door
948,biyu,double
196,down,down
238,zana,draw
938,mafarki,dream
677,dress,dress
885,sha,drink
426,tuƙa,drive
539,drop,drop
377,bushe,dry
876,duck,duck
456,a lokacin,during
49,kowace,each
651,kunnen,ear
461,da wuri,early
99,duniya,earth
284,’yanci,ease
397,east,east
255,ku ci,eat
581,baki,edge
789,sakamako,effect
506,kwai,egg
702,takwas,eight
721,ko dai,either
790,lantarki,electric
770,kashi,element
652,kuma,else
60,karshen,end
883,maƙiyi,enemy
501,makamashi,energy
545,engine,engine
301,isa,enough
834,shigar,enter
639,daidai,equal
386,danganta,equate
915,musamman,especially
69,ko da,even
939,maraice,evening
958,taron,event
308,taba,ever
120,kowane,every
607,exact,exact
283,misali,example
613,sai dai,except
747,ta da hankali,excite
563,motsa jiki,exercise
791,sa ran,expect
925,kwarewa,experience
688,gwaji,experiment
222,ido,eye
271,face,face
449,gaskiya,fact
645,gaskiya,fair
407,fada,fall
318,iyali,family
820,shahara,famous
236,far,far
230,farm,farm
467,sauri,fast
863,mai,fat
100,uba,father
858,yarda,favor
823,tsoro,fear
941,feed,feed
312,ji,feel
298,feet,feet
642,fadi,fell
534,ji,felt
249,’yan,few
419,filin,field
916,fig,fig
744,yaki,fight
415,adadi,figure
396,cika,fill
432,karshe,final
200,samu,find
