number,latin,english
33,a,a
422,potest,able
158,de,about
307,supra,above
77,"actum,",act
68,addunt,add
917,timere,afraid
111,postquam,after
91,rursus,again
483,contra,against
675,saeculi,age
381,ago,ago
796,conveniunt,agree
55,"aer,",air
151,omnes,all
841,sino,allow
57,etiam,also
287,semper,always
541,sum,am
400,in,among
48,an,an
32,et,and
998,iratus,anger
92,pecus,animal
208,"dicendum,",answer
101,aliqua,any
491,appareant,appear
927,pupillam,apple
9,"sunt,",are
335,area,area
547,brachium,arm
968,"disponere,",arrange
850,perveniunt,arrive
518,art,art
1,ut,as
79,quaeris,ask
13,at,at
786,atom,atom
701,praesent,baby
112,rursus,back
624,malum,bad
536,"pila,",ball
934,cohors,band
646,ripam,bank
872,bar,bar
264,basi,base
944,prima,basic
808,biblia,bat
12,esse,be
592,ferre,bear
746,percute,beat
425,pulchritudo,beauty
504,cubili,bed
198,fuit,been
143,antequam,before
258,coeperunt,began
280,incipe,begin
445,"retro,",behind
509,credere,believe
815,tintinnabulum,bell
452,optimum,best
454,melius,better
219,inter,between
73,magnum,big
314,avem,bird
731,aliquam,bit
326,nigrum,black
951,clausus,block
627,"sanguis,",blood
625,ictus,blow
359,hyacintho,blue
569,tabulam,board
371,navicula,boat
316,"corpus,",body
792,osse,bone
251,liber,book
972,"natus,",born
290,et,both
689,"imo,",bottom
928,emptum,bought
417,box,box
146,"puer,",boy
912,ramum,branch
869,panem,bread
620,aspiret,break
587,splendidum,bright
393,adducet,bring
993,"lata,",broad
654,"fregit,",broke
505,"frater,",brother
389,adduxerunt,brought
636,brunneis,brown
97,ædificabis,build
723,comburet,burn
368,occupatus,busy
21,sed,but
706,emptum,buy
18,by,by
192,call,call
118,factum,came
969,castra,camp
36,potest,can
751,capitale,capital
800,dux,captain
297,car,car
933,pecto,card
299,"cura,",care
252,ferte,carry
655,ita,case
726,cat,cat
565,captiones,catch
781,captus,caught
140,"causa,",cause
508,cell,cell
630,cent,cent
486,centrum,center
727,century,century
405,quaedam,certain
753,cathedra,chair
979,forte,chance
81,mutatio,change
779,character,character
870,testificor,charge
952,cursus,chart
383,reprehendo,check
881,pullus,chick
829,princeps,chief
665,puer,child
279,filii,children
641,elige,choose
862,chorda,chord
529,circulus,circle
227,urbem,city
999,clamium,claim
329,class,class
619,mundi,clean
446,"patet,",clear
683,ascenditur,climb
831,horologium,clock
245,proxime,close
597,induere,clothe
678,"nubes,",cloud
732,litore,coast
931,tunica,coat
498,"frigus,",cold
647,colligunt,collect
830,coloniam,colony
270,colorem,color
986,column,column
180,venit,come
372,commune,common
