number,polish,english
33,ciągnąć,a
422,zdolny,able
158,o,about
307,powyżej,above
77,akt,act
68,dodać,add
917,boi,afraid
111,później,after
91,ponownie,again
483,przed,against
675,wiek,age
381,temu,ago
796,zgadzam się,agree
55,powietrze,air
151,wszystko,all
841,dopuszczać,allow
57,również,also
287,zawsze,always
541,am,am
400,między,among
48,próba,an
32,i,and
998,złość,anger
92,zwierząt,animal
208,odpowiedź,answer
101,dowolny,any
491,pojawiają się,appear
927,jabłko,apple
9,są,are
335,obszar,area
547,ramię,arm
968,zorganizować,arrange
850,przyjazd,arrive
518,sztuka,art
1,jak,as
79,zapytaj,ask
13,w,at
786,atom,atom
701,dziecko,baby
112,z powrotem,back
624,zły,bad
536,piłka,ball
934,zespół,band
646,bank,bank
872,bar,bar
264,podstawa,base
944,podstawowy,basic
808,nietoperz,bat
12,być,be
592,niedźwiedź,bear
746,pokonać,beat
425,urody,beauty
504,łóżko,bed
198,było,been
143,przed,before
258,rozpoczął,began
280,zacząć,begin
445,za,behind
509,wierzyć,believe
815,dzwon,bell
452,najlepszy,best
454,lepiej,better
219,między,between
73,duży,big
314,ptaka,bird
731,kawałek,bit
326,czarny,black
951,blok,block
627,krwi,blood
625,cios,blow
359,niebieski,blue
569,wyżywienie,board
371,łódź,boat
316,ciało,body
792,kości,bone
251,książka,book
972,urodzony,born
290,zarówno,both
689,dolny,bottom
928,kupiony,bought
417,skrzynka,box
146,chłopiec,boy
912,gałęzi,branch
869,chleb,bread
620,przerwa,break
587,jasny,bright
393,przynieść,bring
993,szeroki,broad
654,złamał,broke
505,brat,brother
389,wniesiona,brought
636,brązowy,brown
97,budować,build
723,palić,burn
368,zajęty,busy
21,ale,but
706,kupić,buy
18,przez,by
192,wezwanie,call
118,spokojnie,came
969,obóz,camp
36,puszka,can
751,kapitał,capital
800,kapitan,captain
297,samochód,car
933,karta,card
299,opieka,care
252,nieść,carry
655,sprawa,case
726,kot,cat
565,catch,catch
781,złapany,caught
140,przyczyna,cause
508,komórek,cell
630,centów,cent
486,centrum,center
727,wiek,century
405,pewny,certain
753,krzesło,chair
979,szansa,chance
81,zmiana,change
779,znaków,character
870,naładować,charge
952,wykres,chart
383,sprawdź,check
881,pisklę,chick
829,szef,chief
665,dziecko,child
279,dzieci,children
641,wybrać,choose
862,akord,chord
529,krąg,circle
227,miasto,city
999,oświadczenie,claim
329,klasa,class
619,czyste,clean
446,jasne,clear
683,wznoszenia,climb
831,zegary,clock
245,blisko,close
597,odziać,clothe
678,chmura,cloud
732,wybrzeże,coast
931,płaszcz,coat
498,zimno,cold
647,zbierać,collect
830,kolonia,colony
270,kolor,color
986,kolumna,column
180,przyjść,come
372,wspólny,common
956,firma,company
812,porównanie,compare
333,pełna,complete
940,stan,condition
859,podłącz,connect
728,rozważać,consider
667,spółgłoska,consonant
428,zawierają,contain
1000,kontynent,continent
950,dalej,continue
649,kontrola,control
719,kucharz,cook
684,chłodny,cool
733,kopia,copy
811,kukurydza,corn
773,narożnik,corner
421,poprawny,correct
634,koszt,cost
971,bawełna,cotton
178,może,could
513,liczyć,count
206,kraj,country
354,oczywiście,course
215,okładka,cover
579,krowa,cow
698,marszczyć,crease
805,stworzenia,create
768,upraw,crop
229,krzyż,cross
810,tłum,crowd
409,krzyk,cry
847,aktualny,current
267,cięcie,cut
868,tata,dad
544,taniec,dance
754,niebezpieczeństwo,danger
410,ciemny,dark
177,dzień,day
843,martwy,dead
960,sprawa,deal
882,drogi,dear
903,śmierć,death
361,zdecydować,decide
650,dziesiętny,decimal
363,głęboko,deep
879,stopień,degree
816,zależy,depend
718,opisania,describe
845,pustynia,desert
685,projekt,design
973,określenia,determine
437,rozwijać,develop
669,słownik,dictionary
181,nie,did
609,śmierć,die
138,różnią,differ
763,trudne,difficult
319,bezpośrednie,direct
921,omówić,discuss
395,odległy,distant
532,podzielić,divide
855,podział,division
41,zrobić,do
764,lekarz,doctor
51,nie,does
317,pies,dog
921,dolar,dollar
424,gotowe,done
242,nie,don’t
324,drzwi,door
948,podwójne,double
196,w dół,down
238,rysować,draw
938,śnić,dream
677,sukienka,dress
885,pić,drink
426,napęd,drive
539,upuścić,drop
377,suche,dry
876,kaczka,duck
456,podczas,during
49,każda,each
651,ucho,ear
461,wcześnie,early
99,ziemia,earth
284,łatwość,ease
397,wschód,east
255,jeść,eat
581,krawędź,edge
789,efekt,effect
506,jajko,egg
702,osiem,eight
721,albo,either
790,elektryczny,electric
770,elementu,element
652,więcej,else
60,koniec,end
883,wróg,enemy
501,energii,energy
545,silnik,engine
301,wystarczy,enough
834,wejść,enter
639,równy,equal
386,zrównać,equate
915,szczególnie,especially
69,nawet,even
939,wieczorem,evening
958,wydarzenie,event
308,kiedykolwiek,ever
120,każdy,every
607,dokładny,exact
283,przykład,example
613,z wyjątkiem,except
747,podniecać,excite
563,ćwiczenie,exercise
791,oczekiwać,expect
925,doświadczenie,experience
688,eksperyment,experiment
222,oko,eye
271,twarz,face
449,fakt,fact
645,sprawiedliwy,fair
407,spadek,fall
318,rodzina,family
820,słynny,famous
236,daleko,far
230,gospodarstwo,farm
467,szybko,fast
863,tłuszcz,fat
100,ojciec,father
858,faworyzować,favor
823,strach,fear
941,rss,feed
312,czuć,feel
298,stopy,feet
642,spadła,fell
534,filc,felt
249,kilka,few
419,pole,field
916,figa,fig
744,walka,fight
415,rysunek,figure
396,napełniać,fill
432,ostateczna,final
200,odnaleźć,find
404,dobrze,fine
741,palec,finger
593,wykończenie,finish
339,ogień,fire
193,pierwszy,first
260,ryb,fish
643,pasować,fit
458,pięć,five
694,mieszkanie,flat
720,piętro,floor
644,płynąć,flow
596,kwiat,flower
406,latać,fly
76,śledzić,follow
216,jedzenie,food
366,stopa,foot
7,dla,for
358,siła,force
552,las,forest
130,formularz,form
922,do przodu,forward
207,znaleziono,found
218,cztery,four
551,frakcja,fraction
440,za darmo,free
836,świeży,fresh
257,przyjaciel,friend
17,z,from
429,z przodu,front
755,owoc,fruit
357,pełna,full
586,zabawy,fun
384,gra,game
638,ogród,garden
588,gaz,gas
980,zbierać,gather
433,dał,gave
526,ogólnie,general
798,łagodny,gentle
106,dostać,get
303,dziewczyna,girl
123,dać,give
864,zadowolony,glad
577,szkła,glass
179,iść,go
373,złota,gold
