number,pashto,english
33,یو,a
422,کولای,able
158,په اړه,about
307,پورته,above
77,عمل,act
68,اضافه,add
917,ډاريږي,afraid
111,وروسته,after
91,بيا,again
483,په وړاندې,against
675,عمر,age
381,وړاندې,ago
796,موافقه,agree
55,د هوا,air
151,ټول,all
841,اجازه,allow
57,هم,also
287,تل,always
541,يم,am
400,په منځ کې,among
48,یو,an
32,او,and
998,قهر,anger
92,د څارويو,animal
208,ځواب,answer
101,کوم,any
491,ښکاري,appear
927,مڼه,apple
9,دي,are
335,په سيمه کې,area
547,مټ,arm
968,انتظام,arrange
850,ته,arrive
518,هنر,art
1,په توګه,as
79,پوښتنه,ask
13,په,at
786,اټومي,atomic
701,د ماشوم,baby
112,بېرته,back
624,بد,bad
536,توپ,ball
934,باند,band
646,د بانک,bank
872,ارزانه بيه,bargain
264,اډه,base
944,د اساسي,basic
808,پچه,bat
12,وي,be
592,ګواهي,bear
746,ته ماتې ورکړه,beat
425,ښکلا,beauty
504,بستره,bed
198,شوي,been
143,مخکې له,before
258,پیل,began
280,پيل كيدل؛ شروع كيدل: او چنېدل، راوتل,begin
445,تر شا,behind
509,باور,believe
815,زنګ,bell
452,ښه,best
454,ښه,better
219,تر منځ د,between
73,لوی,big
314,د مرغانو د,bird
731,څه,bit
326,تور,black
951,د بنديز,block
627,وينه,blood
625,ګوزار,blow
359,آبي,blue
569,بورډ,board
371,کښتۍ,boat
316,د بدن,body
792,د هډوکو,bone
251,کتاب,book
972,لمريز کال,born
290,د دواړو,both
689,ښکته,bottom
928,واخيست,bought
417,د صندوق,box
146,هلک,boy
912,څانګه,branch
869,ډوډۍ,bread
620,وقفې,break
587,روښانه,bright
393,راولي,bring
993,پراخ,broad
654,مات,broke
505,ورور,brother
389,راوړل,brought
636,نصواري,brown
97,د جوړولو,build
723,سوځوي,burn
368,بوخت,busy
21,خو,but
706,پېري,buy
18,له خوا,by
192,غوښتنې,call
118,راغلل,came
969,کمپ,camp
36,کولای شي,can
751,مرکز,capital
800,کپتان,captain
297,موټر,car
933,کارت,card
299,د پاملرنې,care
252,ترسره کړي,carry
655,قضيه,case
726,پيشو,cat
565,اخستونکي,catch
781,ګير,caught
140,لامل,cause
508,حجره,cell
630,په سلو کې,cent
486,مرکز,center
727,پیړۍ,century
405,د ځانګړو,certain
479,د کرسۍ,chair
753,د کرسۍ,chair
979,چانس,chance
81,بدلون,change
779,لوښه,character
870,اخلي,charge
952,چارت,chart
383,وګورئ,check
881,لپه,chick
829,مشر,chief
665,د ماشومانو د,child
279,ماشومان,children
641,غوره,choose
862,اعصابو,chord
529,دایره,circle
227,ښار,city
999,ادعا,claim
329,ټولګي,class
619,پاک,clean
446,روښانه,clear
683,ریندي,climb
831,ساعت,clock
245,نژدې,close
597,جامه,clothe
678,ورېځ,cloud
732,ساحل,coast
931,پوښ,coat
498,سوړ,cold
647,راټول کړي,collect
830,مستعمره,colony
270,رنګ,color
986,کالم,column
180,راځي,come
372,عام,common
956,شرکت,company
812,په پرتله,compare
333,بشپړ,complete
940,حالت,condition
859,سره نښلوي,connect
728,په پام کې,consider
428,لري,contain
667,محتوا,content
1000,وچه,continent
950,ته دوام ورکړي,continue
649,د کنترول,control
719,اشپز,cook
684,ارام,cool
733,کاپي,copy
811,دانه، غله، جوار,corn
773,کونج,corner
421,صحيح,correct
634,لګښت,cost
971,د مالوچو,cotton
178,کولی,could
513,حساب,count
206,هیواد,country
354,کورس,course
215,پوښ,cover
579,غوا,cow
698,د زاتوالي,crease
805,جوړ کړي,create
768,د نبات,crop
229,واوړي,cross
810,ګڼه ګوڼه,crowd
409,ژړا,cry
847,اوسني,current
267,پري,cut
868,داد,dad
544,نڅا,dance
754,د خطر,danger
410,تياره,dark
177,ورځ,day
843,وژل شوي,dead
960,تړون,deal
882,ګران,dear
903,د مرګ,death
361,پریکړه,decide
650,لسيال,decimal
363,ژور,deep
879,درجو,degree
816,پورې اړه لري,depend
718,تشریح,describe
845,دښته,desert
685,ډيزاين,design
973,معلومه کړي,determine
437,وده,develop
669,قاموس,dictionary
181,وکړل,did
609,مري,die
138,توپير لري,differ
763,ستونزمن,difficult
319,مستقیم,direct
921,په اړه,discuss
395,لرې,distant
532,وېش,divide
855,ویش,division
41,نه,do
764,ډاکټر,doctor
51,کوي,does
317,سپی,dog
921,د ډالرو,dollar
424,ترسره,done
242,نه,don’t
324,دروازه,door
948,دوه,double
196,ښکته,down
238,رسم,draw
938,خوب,dream
677,کالی,dress
885,د څښلو,drink
426,ډرایو,drive
539,لر,drop
377,وچ,dry
876,هیلۍ,duck
456,په ترڅ کې,during
49,د هر,each
651,د غوږ,ear
461,په لومړيو,early
99,ځمکه,earth
284,تسکين,ease
397,ختيځ,east
255,خورئ,eat
581,څنډه,edge
789,اغېز,effect
506,هګۍ,egg
702,اته,eight
721,يا,either
790,برقي,electric
770,عنصر,element
652,بل,else
60,پای,end
883,دښمن,enemy
501,د انرژۍ د,energy
545,انجن,engine
301,کافي,enough
834,ننوځي,enter
639,مساوي,equal
386,بللای شي,equate
915,په ځانګړې توګه,especially
69,آن,even
939,ماښام,evening
958,پيښه,event
308,هر وخت,ever
120,هر,every
607,کره,exact
283,مثال په توګه,example
613,پرته له,except
747,وهڅوی,excite
563,تمرین,exercise
791,تمه,expect
925,تجربه,experience
688,تجربه,experiment
222,د سترګو,eye
271,مخ,face
449,حقيقت,fact
645,عادلانه,fair
407,راځي,fall
318,کورنۍ,family
820,نامتو,famous
236,تر اوسه,far
230,فارم,farm
467,روژه,fast
863,وازګه,fat
100,پلار,father
858,په ګټه,favor
823,ويره,fear
941,خواړه,feed
312,احساس,feel
298,په پښو,feet
642,شو,fell
534,احساس,felt
249,څو,few
419,برخه,field
916,اينځر,fig
744,د مبارزې,fight
415,رقم,figure
396,ډکه,fill
432,وروستۍ,final
200,پیدا,find
404,ښه,fine
741,د ګوتې,finger
593,پای,finish
339,د اور,fire
193,لومړی,first
260,کبان,fish
643,سره برابر,fit
