number,samoan,english
33,se,a
422,mafai,able
158,e uiga i,about
307,i luga,above
77,gaoioiga,act
68,faʻaopoopo,add
917,fefe,afraid
111,ina ua mavae,after
91,toe,again
483,faasaga i,against
675,tausaga,age
381,ua mavae,ago
796,ioe,agree
55,savili,air
151,uma,all
841,faatagaina,allow
57,foʻi,also
287,pea lava,always
541,te,am
400,ma,among
48,se,an
32,ma,and
998,ita,anger
92,manu,animal
208,tali,answer
101,se,any
491,foliga mai,appear
927,apu,apple
9,e,are
335,eria,area
547,lima,arm
968,faatulaga,arrange
850,taunuu,arrive
518,faiva,art
1,e pei,as
79,fesili,ask
13,i,at
786,atomu,atom
701,tamameamea,baby
112,tua,back
624,leaga,bad
536,polo,ball
934,au,band
646,faletupe,bank
872,faleʻaiga,bar
264,muli,base
944,faavae,basic
808,peʻa,bat
12,ona,be
592,tuuina atu,bear
746,pa’ō,beat
425,matagofie,beauty
504,moega,bed
198,sa,been
143,aʻo leʻi,before
258,amata,began
280,amata,begin
445,tua,behind
509,talitonu,believe
815,logo,bell
452,sili,best
454,sili,better
219,i le va o,between
73,tele,big
314,manu,bird
731,fāsimea,bit
326,lanu uliuli,black
951,pupuni,block
627,toto,blood
625,agi,blow
359,lanu moaga,blue
569,komiti,board
371,vaʻa,boat
316,tino,body
792,ivi,bone
251,tusi,book
972,fānau,born
290,uma e lua,both
689,muli,bottom
928,faatauina,bought
417,pusa,box
146,tama,boy
912,lālā,branch
869,falaoa,bread
620,mālōlō,break
587,pupula,bright
393,aumai,bring
993,lautele,broad
654,malepe,broke
505,tuagane,brother
389,aumaia,brought
636,lanu enaena,brown
97,fau,build
723,mū,burn
368,pisi,busy
21,ae,but
706,faʻatau mai,buy
18,i,by
192,valaʻau,call
118,mai,came
969,togālauapi,camp
36,mafai,can
751,laumua,capital
800,kapeteni,captain
297,taʻavale,car
933,pepa malō,card
299,tausiga,care
252,ave,carry
655,tulaga,case
726,pusi,cat
565,puʻe,catch
781,maua,caught
140,ala,cause
508,potu,cell
630,pasene,cent
486,nofoaga autu o,center
727,senituri,century
405,nisi,certain
753,nofoa,chair
979,avanoa,chance
81,liuga,change
779,uiga,character
870,tau,charge
952,siata,chart
383,siaki,check
881,chick,chick
829,pule,chief
665,tamaitiiti,child
279,fanau,children
641,filifili,choose
862,kotu,chord
529,liʻo,circle
227,aʻai,city
999,āiā,claim
329,vasega,class
619,mamā,clean
446,manino,clear
683,aʻe,climb
831,uati,clock
245,lata,close
597,faʻalāvalava,clothe
678,ao,cloud
732,talafātai,coast
931,peleue,coat
498,mālūlū,cold
647,aoina,collect
830,kolone,colony
270,lanu,color
986,pou,column
180,sau,come
372,masani,common
956,kamupani,company
812,faʻatusatusa,compare
333,atoatoa,complete
940,tulaga,condition
859,sosoʻo,connect
728,mafaufau,consider
667,kosonata,consonant
428,o loo aofia ai,contain
1000,konitineta,continent
950,faaauau pea,continue
649,pule,control
719,kuka,cook
684,sekia,cool
733,ata,copy
811,sana,corn
773,tulimanu,corner
421,saʻo,correct
634,tau,cost
971,vavae,cotton
178,mafai ona,could
513,faitau,count
206,atunuu,country
354,ala,course
215,ufi,cover
579,povi,cow
698,faatoateleina,crease
805,faia,create
768,fuata,crop
229,sātauro,cross
810,motu o tagata,crowd
409,alaga,cry
847,i le taimi nei,current
267,tipi,cut
868,papa,dad
544,siva,dance
754,tulaga matautia,danger
410,uliuli,dark
177,aso,day
843,oti,dead
960,faifaiga,deal
882,pele,dear
903,oti,death
361,filifili,decide
650,decimal,decimal
363,loloto,deep
879,tikerī,degree
816,faʻalagolago,depend
718,faʻamatala,describe
845,toafa,desert
685,mamanu,design
973,fuafua,determine
437,atiina ae,develop
669,lolomi fefiloi,dictionary
181,faia,did
609,oti,die
138,eseese,differ
763,faigatā,difficult
319,tonu,direct
921,talanoaina,discuss
395,mamao,distant
532,vavae,divide
855,vāega,division
41,fai,do
764,fōmaʻi,doctor
51,e,does
317,maile,dog
921,tala,dollar
424,faia,done
242,faia le,don’t
324,faitotoʻa,door
948,faʻalua,double
196,ifo,down
238,tusi,draw
938,miti,dream
677,ofu,dress
885,inu,drink
426,ave,drive
539,pa’ū,drop
377,mago,dry
876,pato,duck
456,aʻo,during
49,taʻitasi,each
651,taliga,ear
461,vave,early
99,lalolagi,earth
284,fīlēmū,ease
397,sase,east
255,ai,eat
581,mata,edge
789,aafiaga,effect
506,fua,egg
702,valu,eight
721,pe,either
790,uila,electric
770,tōtōga,element
652,isi,else
60,faaiuga,end
883,fili,enemy
501,malosi,energy
545,afi,engine
301,lava,enough
834,ulu,enter
639,tutusa,equal
386,faatusaina,equate
915,aemaise lava,especially
69,e oo lava i,even
939,afiafi,evening
958,mea na tupu,event
308,lava,ever
120,uma,every
607,tonu,exact
283,faataitaiga,example
613,vagana,except
747,faʻagāoioi,excite
563,faatinoina,exercise
791,faamoemoe,expect
925,aafiaga,experience
688,tofotofoga,experiment
222,mata,eye
271,mata,face
449,mea moni,fact
645,tonu,fair
407,pauu,fall
318,aiga,family
820,taʻutaʻua,famous
236,mamao,far
230,faʻatoʻaga,farm
467,anapogi,fast
863,gaʻo,fat
100,tama,father
858,lotomalie,favor
823,fefe,fear
941,fafaga,feed
312,lagona,feel
298,vae,feet
642,pau,fell
534,lagona,felt
249,nai,few
419,laufanua,field
916,fiki,fig
744,tau,fight
415,fuainumera,figure
396,faʻatumu,fill
432,mulimuli,final
200,maua,find
404,lelei,fine
741,tamatamai lima,finger
593,faʻauma,finish
339,afi,fire
193,tulaga tasi,first
260,iʻa,fish
643,faʻafetaui,fit
458,lima,five
694,fale,flat
720,fola,floor
644,tafe,flow
596,fuga,flower
406,lele,fly
76,mulimuli,follow
216,ai,food
366,vae,foot
7,mo,for
358,malosi,force
552,vao,forest
130,faiga,form
922,i luma,forward
207,maua,found
218,fa,four
551,vaega,fraction
440,saʻoloto,free
836,fou,fresh
257,uō,friend
17,mai,from
429,o luma,front
755,fua,fruit
357,tumu,full
586,fiafia,fun
384,taaloga,game
638,faatoaga,garden
588,kasa,gas
980,aofaga,gather
433,tuuina,gave
526,lautele,general
798,malū,gentle
106,aumai,get
303,teine,girl
123,aumai,give
864,fiafia,glad
577,tioata,glass
179,alu,go
373,auro,gold
599,mavae,gone
121,lelei,good
281,taunuu,got
496,pulea,govern
535,sili,grand
578,mutia,grass
990,lanu efuefu,gray
132,matagofie,great
434,lanu meamata,green
629,tuputupu,grew
464,eleʻele,ground
286,vasega,group
210,tupu,grow
801,mate,guess
924,taʻitaʻi,guide
840,fana,gun
28,sa,had
717,lauulu,hair
336,afa,half
64,lima,hand
332,tupu,happen
594,fiafia,happy
231,faigatā,hard
174,ua,has
953,pūlou,hat
15,iai,have
5,ia,he
201,ulu,head
265,faʻalogo,hear
451,faalogo,heard
540,fatu,heart
390,vevela,heat
543,mamafa,heavy
716,uu i le lima,held
135,fesoasoani,help
167,lana,her
71,iinei,here
74,maualuga,high
724,mauga,hill
172,ia,him
3,lana,his
788,talafaasolopito,history
771,tā,hit
462,umia,hold
699,lua,hole
62,aiga,home
595,faamoemoe,hope
266,solofanua,horse
19,vevela,hot
387,vevela,hot
453,itula,hour
87,fale,house
46,auala,how
918,lāpoʻa,huge
787,tagata,human
457,selau,hundred
502,tuli,hunt
828,tili,hurry
2,ou,i
527,aisa,ice
259,manatu,idea
44,ana,if
794,vaai faalemafaufau,imagine
34,i,in
351,inisi,inch
531,aofia,include
783,faailoa,indicate
742,alamanuia,industry
780,meaola lāiti,insect
877,faʻavave,instant
575,meafaigaluega,instrument
465,tului,interest
970,fafauina,invent
691,uʻamea,iron
24,o,is
365,motu,island
25,na,it
580,gāluega,job
617,auai,join
570,fiafiaga,joy
700,oso,jump
129,tonu,just
221,tausia,keep
576,tausia,kept
690,ki,key
657,fasioti,kill
84,agalelei,kind
349,tupu,king
344,iloa,knew
189,iloa,know
621,tamaʻitaʻi,lady
659,lano,lake
70,fanua,land
399,gagana,language
66,tele,large
224,mulimuli,last
240,tuai,late
379,ata,laugh
730,tulafono,law
482,taoto,lay
408,taitai,lead
213,aoao,learn
610,aupito itiiti,least
321,tuua,leave
929,taitaiina,led
239,taumatau,left
562,vae,leg
516,umi,length
474,itiiti,less
225,ia,let
293,tusi,letter
978,tulaga,level
745,pepelo,lie
248,ola,life
848,siʻi,lift
83,māmā,light
164,pei,like
137,laina,line
894,sua,liquid
310,lisi,list
470,faalogo,listen
113,itiiti,little
109,ola,live
777,mauaina,locate
895,tusi faʻamau,log
561,toatasi,lone
168,umi,long
175,tilotilo,look
635,leiloa,lost
687,anoano,lot
662,leotele,loud
487,alofa,love
136,maulalo,low
411,masini,machine
108,faia,made
909,maneta,magnet
273,tele,main
835,tetele,major
169,fai,make
116,tagata,man
159,tele,many
493,faafanua,map
291,togi,mark
878,māketi,market
932,anoano,mass
851,aliʻi,master
913,fetauiga,match
550,mea,material
528,mataupu,matter
195,mae,may
122,ou,me
142,uiga,mean
896,o lona uiga,meant
323,fua,measure
817,aano o manu,meat
704,e tatau ai,meet
601,fati,melody
80,tagata,men
709,uʻamea,metal
672,faiga,method
656,moa,middle
233,mālosi,might
295,maila,mile
670,susu,milk
591,miliona,million
444,mafaufau,mind
832,oʻu,mine
441,minute,minute
388,ela,miss
631,palu,mix
769,po nei,modern
987,molecule,molecule
660,taimi,moment
489,tupe,money
590,masina,month
364,masina,moon
176,nisi,more
475,taeao,morning
185,aupito,most
94,tina,mother
892,gāoioiga,motion
566,mauga,mount
261,mauga,mountain
606,gutu,mouth
144,sōsō,move
141,tele,much
352,faʻatele,multiply
288,pese,music
72,tatau lava,must
