number,azerbaijani,english
33,a,a
422,edə,able
158,haqqında,about
307,bax,above
77,akt,act
68,əlavə etmək,add
917,qorxur,afraid
111,sonra,after
91,yenidən,again
483,qarşı,against
675,əsr,age
381,əvvəl,ago
796,razıyam,agree
55,hava,air
151,bütün,all
841,imkan,allow
57,də,also
287,həmişə,always
541,am,am
400,arasında,among
48,bir,an
32,və,and
998,hirs,anger
92,heyvan,animal
208,cavab,answer
101,hər hansı bir,any
491,görünür,appear
927,alma,apple
9,var,are
335,sahəsi,area
547,qol,arm
968,təşkil etmək,arrange
850,gələcək,arrive
518,incəsənət,art
1,kimi,as
79,soruşmaq,ask
13,at,at
786,atom,atom
701,baby,baby
112,geri,back
624,pis,bad
536,top,ball
934,band,band
646,bank,bank
872,bar,bar
264,baza,base
944,əsas,basic
808,bat,bat
12,olmaq,be
592,daşıyırlar,bear
746,döymək,beat
425,gözəllik,beauty
504,bed,bed
198,olmuşdur,been
143,əvvəl,before
258,başladı,began
280,başlamaq,begin
445,arxasında,behind
509,iman,believe
815,zəng,bell
452,yaxşı,best
454,yaxşı,better
219,arasında,between
73,böyük,big
314,quş,bird
731,bit,bit
326,qara,black
951,məhəllə,block
627,qan,blood
625,zərbə,blow
359,mavi,blue
569,board,board
371,qayıq,boat
316,bədən,body
792,sümük,bone
251,kitab,book
972,anadan,born
290,həm,both
689,alt,bottom
928,alıb,bought
417,box,box
146,oğlan,boy
912,filialı,branch
869,çörək,bread
620,break,break
587,parlaq,bright
393,gətirmək,bring
993,geniş,broad
654,qırdı,broke
505,qardaşı,brother
389,gətirdi,brought
636,palıdı,brown
97,qurmaq,build
723,yandırmaq,burn
368,məşğul,busy
21,lakin,but
706,almaq,buy
18,tərəfindən,by
192,zəng edin,call
118,gəldi,came
969,camp,camp
36,bilərsiniz,can
751,kapital,capital
800,kapitan,captain
297,avtomobil,car
933,kart,card
299,qayğı,care
252,keçirmək,carry
655,hal,case
726,cat,cat
565,tutmaq,catch
781,tutdu,caught
140,səbəb,cause
508,mobil,cell
630,sent,cent
486,mərkəzi,center
727,əsr,century
405,müəyyən,certain
753,kreslosu,chair
979,şans,chance
81,dəyişiklik,change
779,xarakter,character
870,ittiham,charge
952,chart,chart
383,yoxlamaq,check
881,cücə,chick
829,rəis,chief
665,uşaq,child
279,uşaq,children
641,download,choose
862,chord,chord
529,circle,circle
227,şəhər,city
999,iddia,claim
329,sinif,class
619,təmiz,clean
446,aydın,clear
683,qalxma,climb
831,saat,clock
245,yaxın,close
597,geyindirin,clothe
678,bulud,cloud
732,sahil,coast
931,coat,coat
498,soyuq,cold
647,toplamaq,collect
