number,georgian,english
33,საკვები,a
422,შეუძლია,able
158,შესახებ,about
307,ზემოთ,above
77,აქტის,act
68,რჩეულებში,add
917,ეშინია,afraid
111,შემდეგ,after
91,ერთხელ,again
483,წინააღმდეგ,against
675,ასაკი,age
381,ჯერ,ago
796,ვეთანხმები,agree
55,საჰაერო,air
151,ყველა,all
841,საშუალებას,allow
57,ასევე,also
287,ყოველთვის,always
541,საათიდან,am
400,შორის,among
48,ითამაშეთ,an
32,და,and
998,რისხვა,anger
92,ცხოველთა,animal
208,პასუხი,answer
101,ნებისმიერი,any
491,"როგორც ჩანს,",appear
927,ვაშლის,apple
9,არის,are
335,ფართი,area
547,ხელის,arm
968,მოაწყოს,arrange
850,ჩამოვა,arrive
518,არტ,art
1,როგორც,as
79,ითხოვენ,ask
13,ზე,at
786,ატომის,atom
701,ბავშვი,baby
112,უკან,back
624,ცუდი,bad
536,ბურთი,ball
934,ბენდი,band
646,ბანკი,bank
872,ბარი,bar
264,ბაზა,base
944,ძირითადი,basic
808,აღება,bat
12,იყოს,be
592,დათვი,bear
746,სცემეს,beat
425,სილამაზის,beauty
504,საწოლის,bed
198,უკვე,been
143,ადრე,before
258,დაიწყო,began
280,დაიწყოს,begin
445,უკან,behind
509,"მჯერა,",believe
815,ბელი,bell
452,საუკეთესო,best
454,უკეთესი,better
219,შორის,between
73,დიდი,big
314,ფრინველი,bird
731,ბიტიანი,bit
326,შავი,black
951,ბლოკი,block
627,სისხლის,blood
625,დარტყმა,blow
359,ლურჯი,blue
569,ფორუმში,board
371,ნავი,boat
316,სხეულის,body
792,ძვლის,bone
251,წიგნაკი,book
972,დაიბადა,born
290,ორივე,both
689,ბოლოში,bottom
928,შეიძინა,bought
417,ყუთი,box
146,ბიჭი,boy
912,ფილიალი,branch
869,პური,bread
620,შესვენების,break
587,ნათელი,bright
393,მოუტანს,bring
993,ფართო,broad
654,მა,broke
505,ძმა,brother
389,მოუტანა,brought
636,ყავისფერი,brown
97,ავაშენოთ,build
723,დამწვრობა,burn
368,დაკავებული,busy
21,მაგრამ,but
706,ყიდვა,buy
18,მიერ,by
192,დარეკეთ,call
118,მოვიდა,came
969,ბანაკი,camp
36,სისტემაში,can
751,კაპიტალი,capital
800,კაპიტანი,captain
297,მანქანის,car
933,ანკეტა,card
299,ჰიგიენის,care
252,განახორციელოს,carry
655,საქმე,case
726,ცატ,cat
565,დაჭერა,catch
781,დაიჭირეს,caught
140,მიზეზი,cause
508,საკანში,cell
630,შეადგინა,cent
486,ცენტრი,center
727,საუკუნის,century
405,გარკვეული,certain
753,თავმჯდომარე,chair
979,შანსი,chance
81,ცვლილება,change
779,ხასიათი,character
870,დააკისროს,charge
952,გრაფიკი,chart
383,შეამოწმეთ,check
881,ქათმის,chick
829,მთავარი,chief
665,ბავშვი,child
279,ბავშვები,children
641,აირჩიეთ,choose
862,აკორდი,chord
529,წრე,circle
227,ქალაქი,city
999,სარჩელი,claim
329,კლასი,class
619,სუფთა,clean
446,ნათელი,clear
683,ასვლა,climb
831,საათი,clock
245,ახლოს,close
597,შეკერილ,clothe
678,ღრუბელი,cloud
732,სანაპიროზე,coast
931,ქურთუკი,coat
498,ცივი,cold
647,შეაგროვოს,collect
830,კოლონია,colony
270,ფერი,color
986,სვეტი,column
180,მოდის,come
372,საერთო,common
956,კომპანია,company
812,შედარება,compare
333,სრული,complete
940,მდგომარეობა,condition
859,დაკავშირება,connect
728,განიხილოს,consider
667,კონსონანტური,consonant
428,შეიცავს,contain
1000,კონტინენტზე,continent
950,გაგრძელდება,continue
649,კონტროლის,control
719,მზარეული,cook
684,ზემოთ,cool
733,ასლი,copy
811,სიმინდის,corn
773,კუთხეში,corner
421,სწორი,correct
634,ღირებულება,cost
971,ბამბა,cotton
178,იქნებოდა,could
513,იმედი,count
206,ქვეყანაში,country
354,"რა თქმა უნდა,",course
215,საფარი,cover
579,ძროხის,cow
698,ცხიმ,crease
805,შექმნა,create
768,მოსავლის,crop
229,გადაკვეთა,cross
810,გულშემატკივარი,crowd
409,ტირილი,cry
847,მიმდინარე,current
267,დაჭრილი,cut
868,მამა,dad
544,ცეკვა,dance
754,საფრთხე,danger
410,მუქი,dark
177,დღეს,day
843,მკვდარი,dead
960,გარიგება,deal
882,ძვირფასო,dear
903,სიკვდილი,death
361,გადაწყვიტოს,decide
650,ათობითი,decimal
363,deep,deep
879,ხარისხი,degree
816,დამოკიდებული,depend
718,აღწერს,describe
845,უდაბნოში,desert
685,დიზაინი,design
973,განსაზღვრავს,determine
437,განვითარება,develop
669,ლექსიკონი,dictionary
181,გააკეთა,did
609,იღუპება,die
138,განსხვავდება,differ
763,რთული,difficult
319,პირდაპირი,direct
921,განხილვა,discuss
395,შორეული,distant
532,გათიშე,divide
855,განყოფილება,division
41,გაკეთება,do
764,ექიმი,doctor
51,ჯერ,does
317,ძაღლი,dog
921,დოლარი,dollar
424,გაკეთდა,done
242,არა,don’t
324,კარი,door
948,ორმაგი,double
196,ქვემოთ,down
238,მიაპყროს,draw
938,ოცნება,dream
677,კაბა,dress
885,სასმელი,drink
426,თვლები,drive
539,ვარდნა,drop
377,მშრალი,dry
876,იხვი,duck
456,დროს,during
49,თითოეული,each
651,ყურის,ear
461,დასაწყისში,early
99,დედამიწაზე,earth
284,განმუხტვის,ease
397,აღმოსავლეთით,east
255,ჭამა,eat
581,ზღვარზე,edge
789,ეფექტი,effect
506,კვერცხი,egg
702,რვა,eight
721,ან,either
790,ელექტრო,electric
770,ელემენტი,element
652,სხვა,else
60,ბოლოს,end
883,მტრის,enemy
501,ენერგიის,energy
545,ძრავა,engine
301,საკმარისი,enough
834,შევა,enter
639,თანაბარი,equal
386,აიგივებს,equate
915,განსაკუთრებით,especially
69,კი,even
939,საღამოს,evening
958,ღონისძიება,event
308,ოდესმე,ever
120,ყველა,every
607,ზუსტი,exact
283,მაგალითად,example
613,გარდა,except
747,აღუძრავენ,excite
563,სწავლება,exercise
791,ველით,expect
925,გამოცდილება,experience
688,ექსპერიმენტი,experiment
222,თვალის,eye
271,სახე,face
449,"ის ფაქტი,",fact
645,სამართლიანი,fair
407,დაეცემა,fall
318,ოჯახის,family
820,ცნობილი,famous
236,შორს,far
230,ფერმა,farm
467,სწრაფი,fast
863,ცხიმის,fat
100,მამა,father
858,ემხრობა,favor
823,შიში,fear
941,არხი,feed
312,ვგრძნობ,feel
298,ფეხები,feet
642,დაეცა,fell
534,ვიგრძენი,felt
249,რამდენიმე,few
419,სფეროში,field
916,ლეღვის,fig
744,ბრძოლა,fight
415,ფიგურა,figure
396,შევსება,fill
432,საბოლოო,final
200,მოვძებნოთ,find
404,ჯარიმა,fine
741,თითი,finger
593,ფერი,finish
339,ცეცხლის,fire
193,პირველი,first
260,თევზი,fish
643,ჯდება,fit
458,ხუთ,five
694,ბინა,flat
720,სართული,floor
644,შემოვა,flow
596,ყვავილი,flower
406,ფრენა,fly
76,დაიცვას,follow
216,საკვები,food
366,ფეხით,foot
7,განთავსების,for
358,ძალა,force
552,ტყის,forest
130,ფორმა,form
922,წინ,forward
207,ი,found
218,ოთხ,four
551,ფრაქცია,fraction
440,უფასო,free
836,ახალი,fresh
257,მეგობარს,friend
17,საწყისი,from
429,წინა,front
755,ხილი,fruit
357,სრული,full
586,გართობა,fun
384,თამაში,game
638,ბაღში,garden
588,გაზის,gas
980,შევიკრიბოთ,gather
433,მისცა,gave
526,ზოგადი,general
798,ნაზი,gentle
106,მიიღეთ,get
303,გოგონა,girl
123,მისცეს,give
864,"მოხარული ვარ,",glad
577,მინა,glass
179,გადასვლა,go
373,ოქროს,gold
599,წასული,gone
121,კარგი,good
281,მივიღე,got
496,არეგულირებს,govern
535,გრანდიოზული,grand
578,ბალახის,grass
990,ნაცრისფერი,gray
132,დიდი,great
434,მწვანე,green
629,გაიზარდა,grew
464,ადგილზე,ground
286,ჯგუფი,group
210,იზრდება,grow
801,ვხვდები,guess
924,უხელმძღვანელებს,guide
840,იარაღი,gun
28,ჰქონდა,had
717,თმის,hair
336,ნახევარი,half
64,ხელი,hand
332,მოხდება,happen
594,ბედნიერი,happy
231,მძიმე,hard
174,აქვს,has
953,ქუდი,hat
15,აქვს,have
5,ის,he
201,უფროსი,head
265,მოვისმინოთ,hear
451,ისმის,heard
540,გულის,heart
390,სითბოს,heat
543,მძიმე,heavy
716,წირვა,held
135,დაეხმაროს,help
167,მისი,her
71,აქ,here
74,მაღალი,high
724,გორაკზე,hill
172,მას,him
3,მისი,his
788,ისტორია,history
771,მოხვდა,hit
462,გამართავს,hold
699,ხვრელი,hole
62,მთავარი,home
595,"იმედი მაქვს,",hope
266,ცხენი,horse
19,ცხელი,hot
387,ცხელი,hot
453,საათი,hour
87,სახლი,house
46,როგორ,how
918,დიდი,huge
787,ადამიანის,human
457,ასი,hundred
502,hunt,hunt
828,იჩქარეთ,hurry
2,თოვლი,i
527,ყინულზე,ice
259,იდეა,idea
44,თუ,if
794,წარმოიდგინეთ,imagine
34,წლის,in
351,დუიმიანი,inch
531,მოიცავს,include
783,მიუთითოს,indicate
742,მრეწველობა,industry
780,მწერის,insect
877,მყისიერი,instant
575,ინსტრუმენტი,instrument
465,ინტერესი,interest
970,გამოგონება,invent
691,რკინის,iron
24,არის,is
365,კუნძული,island
25,ის,it
580,სამუშაო,job
617,შეუერთდება,join
570,სიხარული,joy
700,გადასვლა,jump
129,უბრალოდ,just
221,შენარჩუნება,keep
576,ინახება,kept
690,მთავარი,key
657,მოკვლა,kill
84,სახის,kind
349,მეფე,king
344,იცოდა,knew
189,ვიცი,know
621,ქალბატონს,lady
659,ტბა,lake
70,მიწის,land
399,ენის,language
66,დიდი,large
224,ბოლო,last
240,ბოლოს,late
379,სიცილი,laugh
730,კანონი,law
482,ქმნის,lay
408,გამოიწვევს,lead
213,ვისწავლოთ,learn
610,მინიმუმ,least
321,დატოვეთ,leave
929,გამოიწვია,led
239,მარცხენა,left
562,ფეხი,leg
516,ხანგრძლივობა,length
474,"ნაკლებია,",less
225,მიადევნე,let
293,წერილი,letter
978,დონე,level
745,ტყუილი,lie
248,ცხოვრება,life
848,ლიფტით,lift
83,მსუბუქი,light
164,როგორიცაა,like
137,ონლაინ,line
894,თხევადი,liquid
310,სია,list
470,მოუსმინოს,listen
113,პატარა,little
109,ცხოვრება,live
777,განთავსდება,locate
895,შედით,log
561,მარტოხელა,lone
168,ხანგრძლივი,long
175,გამოიყურება,look
635,დაკარგა,lost
687,ბევრი,lot
662,ხმამაღალი,loud
487,მიყვარს,love
136,დაბალი,low
411,მანქანა,machine
108,გააკეთა,made
909,მაგნიტივით,magnet
273,მთავარი,main
835,მთავარი,major
169,რათა,make
116,კაცი,man
159,ბევრი,many
493,რუკა,map
291,mark,mark
878,ბაზარზე,market
932,მასობრივი,mass
851,საძიებო,master
913,მატჩი,match
550,მასალა,material
528,"მიუხედავად იმისა,",matter
195,შეიძლება,may
122,მე,me
142,ნიშნავს,mean
896,ნიშნავდა,meant
323,გავზომოთ,measure
817,ხორცის,meat
704,შეხვდება,meet
601,მელოდიას,melody
80,მამაკაცის,men
709,რკინის,metal
672,მეთოდი,method
656,შუა,middle
233,შესაძლოა,might
295,მილი,mile
670,რძე,milk
591,მილიონი,million
444,გონება,mind
832,ნაღმი,mine
441,წუთი,minute
388,მენატრება,miss
631,აურიეთ,mix
769,თანამედროვე,modern
987,მოლეკულის,molecule
660,მომენტი,moment
489,ფული,money
590,თვის,month
364,მთვარის,moon
176,მეტი,more
475,დილით,morning
185,ყველაზე,most
94,დედა,mother
892,მოძრაობის,motion
566,მთა,mount
261,მთის,mountain
606,პირში,mouth
144,ნაბიჯი,move
141,ბევრი,much
352,გამრავლების,multiply
288,მუსიკა,music
72,უნდა,must
187,ჩემი,my
126,სახელი,name
668,ერის,nation
748,ბუნებრივი,natural
889,ბუნება,nature
96,ახლოს,near
802,აუცილებელია,necessary
900,კისრის,neck
86,უნდა,need
806,მეზობელი,neighbor
223,არასოდეს,never
102,ახალი,new
277,შემდეგი,next
246,ღამის,night
975,ცხრა,nine
184,არა,no
977,ხმაური,noise
767,შუადღისას,noon
947,არც,nor
250,ჩრდილოეთ,north
996,ცხვირი,nose
412,შენიშვნა,note
353,არაფერი,nothing
499,ცნობა,notice
418,არსებითი სახელი,noun
199,ახლა,now
182,ნომერი,number
328,ციფრების,numeral
360,ობიექტი,object
664,დაიცვან,observe
886,მოხდეს,occur
438,ოკეანეში,ocean
30,საქართველოს,of
85,გამორთვის,off
873,შეთავაზება,offer
603,ოფისი,office
292,ხშირად,often
435,მე,oh
626,ზეთი,oil
147,ძველი,old
8,წელი,on
263,ერთხელ,once
14,ერთი,one
114,მხოლოდ,only
274,ღია,open
760,მოქმედებენ,operate
963,პირიქით,opposite
27,ან,or
338,"იმისათვის,",order
673,ორგანოს,organ
865,ორიგინალური,original
38,სხვა,other
124,ჩვენი,our
37,აქტის,out
188,მეტი,over
203,საკუთარი,own
901,ჟანგბადის,oxygen
204,გვერდი,page
398,ხატავს,paint
530,წყვილი,pair
285,ქაღალდის,paper
713,პირველი პუნქტის,paragraph
853,მშობელს,parent
104,ნაწილი,part
959,კერძოდ,particular
774,პარტია,party
345,გაივლის,pass
584,ბოლო,past
893,გზა,path
484,ნიმუში,pattern
674,გადახდა,pay
186,ხალხი,people
510,"ალბათ,",perhaps
782,პერიოდი,period
488,პირი,person
734,ფრაზა,phrase
511,აირჩიოთ,pick
88,სურათი,picture
342,ცალი,piece
930,მოედანზე,pitch
107,ადგილი,place
302,ბარის,plain
414,გეგმა,plan
375,თვითმფრინავი,plane
827,პლანეტის,planet
214,ქარხანა,plant
58,ითამაშეთ,play
765,"გთხოვთ,",please
997,მრავლობითი,plural
813,პოემა,poem
93,წერტილი,point
686,ცუდი,poor
880,მოეყვანა,populate
65,პორტი,port
320,უქმნის,pose
546,პოზიცია,position
374,შესაძლებელია,possible
860,ჩანაწერი,post
423,ფუნტი,pound
402,ძალა,power
761,პრაქტიკა,practice
994,მომზადება,prepare
542,წინამდებარე,present
244,პრეს,press
904,საკმაოდ,pretty
842,ბეჭდვა,print
503,"სავარაუდოა,",probable
341,პრობლემა,problem
759,პროცესი,process
448,წარმოების,produce
325,პროდუქტი,product
871,შესაბამისი,proper
985,ქონების,property
766,დაცვა,protect
560,დაამტკიცოს,prove
795,გთავაზობთ,provide
497,გაიყვანოს,pull
711,დააყენებს,push
61,მა,put
974,და,quart
331,კითხვა,question
436,სწრაფი,quick
680,მშვიდი,quiet
653,საკმაოდ,quite
897,მაჩვენებელი,quotient
554,რასის,race
784,რადიო,radio
793,სარკინიგზო,rail
494,წვიმა,rain
707,ამაღლება,raise
382,ran,ran
890,სპექტრი,range
809,საკმაოდ,rather
466,მიღწევა,reach
63,წაკითხული,read
306,მზად,ready
247,რეალური,real
515,მიზეზი,reason
604,მიიღეთ,receive
370,ჩანაწერი,record
309,წითელი,red
520,რეგიონში,region
459,მახსოვს,remember
991,განმეორებითი,repeat
884,პასუხი,reply
517,წარმოადგენს,represent
992,მოითხოვს,require
420,დანარჩენი,rest
722,შედეგი,result
756,მდიდარი,rich
507,ride,ride
145,უფლება,right
778,ბეჭედი,ring
623,მოიმატებს,rise
296,მდინარე,river
492,გზის,road
337,როკი,rock
739,გააფართოვოს,roll
256,ოთახი,room
705,ძირეული,root
935,საბაგირო,rope
840,გაიზარდა,rose
115,რაუნდი,round
605,რიგის,row
818,რუბლს შეადგენს,rub
495,წესი,rule
241,აწარმოებს,run
725,უსაფრთხო,safe
47,განაცხადა,said
549,მოტორიანი,sail
995,მარილი,salt
149,იგივე,same
737,ქვიშის,sand
572,იჯდა,sat
648,გადარჩენა,save
235,ხერხი,saw
134,"ამბობენ,",say
661,მასშტაბის,scale
209,სკოლა,school
254,მეცნიერება,science
926,ანგარიში,score
237,ზღვის,sea
837,ძიების,search
907,სეზონი,season
949,ადგილს,seat
300,მეორე,second
676,განყოფილების,section
171,იხილეთ,see
615,თესლი,seed
275,"როგორც ჩანს,",seem
874,სეგმენტი,segment
988,აირჩიეთ,select
98,თვითმმართველობის,self
954,გაყიდვა,sell
838,გაუგზავნე,send
750,აზრი,sense
640,გაიგზავნა,sent
131,სასჯელი,sentence
