number,sesotho,english
33,e,a
422,khona,able
158,ka,about
307,ka holimo,above
77,ketso,act
68,eketsa,add
917,tšaba,afraid
111,ka mor’a hore,after
91,hape,again
483,khahlanong le,against
675,le lilemo li,age
381,months ago,ago
796,lumellana,agree
55,moea,air
151,tsohle,all
841,lumella,allow
57,e boetse e,also
287,kamehla,always
541,’na,am
400,har’a,among
48,e,an
32,le,and
998,bohale,anger
92,phoofolo,animal
208,araba,answer
101,leha e le efe,any
491,hlaha,appear
927,apole,apple
9,ba,are
335,sebakeng seo,area
547,letsoho la,arm
968,lokisetsa,arrange
850,fihla,arrive
518,bonono,art
1,e le,as
79,botsa,ask
13,ka,at
786,athomo,atom
701,lesea,baby
112,khutlela,back
624,mpe,bad
536,ball z,ball
934,sehlopha,band
646,banka,bank
872,bareng,bar
264,botlaaseng,base
944,tsa motheo tsa,basic
808,ket,bat
12,ba,be
592,beha,bear
746,otla,beat
425,botle,beauty
504,bethe,bed
198,bile,been
143,pele,before
258,ile a qala,began
280,qala,begin
445,ka mor’a,behind
509,lumela,believe
815,tšepe,bell
452,molemo ka ho fetisisa,best
454,molemo,better
219,pakeng tsa,between
73,khōlō,big
314,nonyana,bird
731,hanyenyane,bit
326,batsho,black
951,thibela,block
627,mali a,blood
625,letsa,blow
359,putsoa,blue
569,boto,board
371,sekepe,boat
316,mele,body
792,bone bone,bone
251,buka,book
972,hlaha,born
290,ka bobeli,both
689,tlase,bottom
928,reka,bought
417,lebokose le reng,box
146,moshanyana,boy
912,ea lekala,branch
869,bohobe,bread
620,khefu,break
587,e khanyang,bright
393,tlisa,bring
993,sephara,broad
654,qhetsola,broke
505,mor’abo rona,brother
389,tlisa,brought
636,sootho,brown
97,haha,build
723,chesa,burn
368,phathahane,busy
21,empa,but
706,reka,buy
18,ka,by
192,pitso,call
118,o ile a tla,came
969,kampong,camp
36,ka,can
751,motse-moholo,capital
800,motsamaisi,captain
297,koloi,car
933,karete ya,card
299,tlhokomelo ya,care
252,phetha,carry
655,joalo,case
726,gato,cat
565,tšoasa,catch
781,tšoaroa,caught
140,etsa hore,cause
508,seleng,cell
630,phesente,cent
486,setsi,center
727,lekholong la lilemo la,century
405,itseng,certain
753,setulo,chair
979,monyetla,chance
81,fetola,change
779,botho ba,character
870,laela ka,charge
952,chate,chart
383,hlahloba,check
881,chick,chick
829,ka sehloohong,chief
665,ngoana,child
279,bana ba,children
641,khetha,choose
862,samjun,chord
529,sedikadikwe,circle
227,citta,city
999,kleima,claim
329,sehlopha sa,class
619,hloekileng,clean
446,hlakileng,clear
683,hloa,climb
831,oache,clock
245,haufi,close
597,apesa,clothe
678,leru,cloud
732,lebopong la leoatle,coast
931,seaparo,coat
498,batang,cold
647,bokella,collect
830,kolone,colony
270,mmala,color
986,kholomo,column
180,tla,come
372,tloaelehileng,common
956,khampani,company
812,bapisa,compare
333,feletseng,complete
940,boemo,condition
859,amahanya,connect
728,nahana ka,consider
667,selumisoa,consonant
428,na le,contain
1000,k’honthinente,continent
950,tsoela pele,continue
649,laola,control
719,laga,cook
684,pholileng,cool
733,khopi,copy
811,poone,corn
773,sekhutlo,corner
421,e nepahetseng,correct
634,litšenyehelo,cost
971,k’hothone,cotton
178,ka se khonang,could
513,bala,count
206,naha,country
354,nete hore,course
215,sekoahelo,cover
579,khomo,cow
698,crease,crease
805,bōpa,create
768,lijalo,crop
229,tšela,cross
810,bongata bo boholo bo,crowd
409,mohoo,cry
847,hona joale,current
267,sehiloeng,cut
868,ntate,dad
544,together in,dance
754,kotsi,danger
410,lefifi,dark
177,letsatsi,day
843,bafu,dead
960,sebetsana,deal
882,ratehang,dear
903,lefu,death
361,etsa qeto ea,decide
650,ditesimale,decimal
