number,bulgarian,english
33,а,a
422,състояние,able
158,за,about
307,горе,above
77,акт,act
68,добави,add
917,страхувам се,afraid
111,след,after
91,отново,again
483,срещу,against
675,възраст,age
381,преди,ago
796,съгласен,agree
55,въздух,air
151,всички,all
841,позволи,allow
57,също,also
287,винаги,always
541,съм,am
400,сред,among
48,един,an
32,и,and
998,гнева,anger
92,животните,animal
208,отговор,answer
101,всеки,any
491,се появи,appear
927,ябълка,apple
9,са,are
335,област,area
547,ръка,arm
968,организира,arrange
850,пристигнете,arrive
518,изкуство,art
1,като,as
79,попитайте,ask
13,в,at
786,атом,atom
701,бебе,baby
112,обратно,back
624,лошо,bad
536,топка,ball
934,лента,band
646,банка,bank
872,бар,bar
264,база,base
944,основен,basic
808,прилеп,bat
12,бъде,be
592,понесе,bear
746,победи,beat
425,красота,beauty
504,легло,bed
198,бил,been
143,преди,before
258,започна,began
280,започне,begin
445,зад,behind
509,вярвам,believe
815,звънец,bell
452,най-добрият,best
454,по-добре,better
219,между,between
73,голям,big
314,птица,bird
731,малко,bit
326,черен,black
951,блок,block
627,кръв,blood
625,удар,blow
359,син,blue
569,борда,board
371,лодка,boat
316,тяло,body
792,костна,bone
251,книга,book
972,роден,born
290,и двете,both
689,дъно,bottom
928,купих,bought
417,кутия,box
146,момче,boy
912,клон,branch
869,хляб,bread
620,почивка,break
587,ярък,bright
393,донесе,bring
993,широк,broad
654,проби,broke
505,брат,brother
389,предявен,brought
636,кафяв,brown
97,изграждане,build
723,горят,burn
368,зает,busy
21,но,but
706,купува,buy
18,от,by
192,повикване,call
118,дойде,came
969,лагер,camp
36,може,can
751,капитал,capital
800,капитан,captain
297,кола,car
933,карта,card
299,грижи,care
252,извършване,carry
655,случай,case
726,котка,cat
565,улова,catch
781,уловени,caught
140,кауза,cause
508,клетка,cell
630,сто,cent
486,център,center
727,век,century
405,определен,certain
753,стол,chair
979,шанс,chance
81,промяна,change
779,характер,character
870,зареждане,charge
952,диаграма,chart
383,проверите,check
881,мацка,chick
829,главен,chief
665,дете,child
279,деца,children
641,избирам,choose
862,акорд,chord
529,кръг,circle
227,град,city
999,твърдение,claim
329,клас,class
619,чиста,clean
446,ясно,clear
683,изкачване,climb
831,часовник,clock
245,в близост,close
597,облече,clothe
678,облак,cloud
732,крайбрежие,coast
931,палто,coat
498,студено,cold
647,събира,collect
830,колония,colony
270,цвят,color
986,колона,column
180,дойде,come
372,обща,common
956,компанията,company
812,сравни,compare
333,пълен,complete
940,състояние,condition
859,свържете,connect
728,помисли,consider
667,съгласна,consonant
428,съдържа,contain
1000,континент,continent
950,продължи,continue
649,контрол,control
719,готвач,cook
684,готино,cool
733,копие,copy
811,царевица,corn
773,ъгъл,corner
421,правилно,correct
634,цена,cost
971,памук,cotton
178,може,could
513,брои,count
206,страна,country
354,курс,course
215,капак,cover
579,крава,cow
698,гънки,crease
805,създадете,create
768,култура,crop
229,пресекат,cross
810,тълпа,crowd
409,вик,cry
847,ток,current
267,нарязани,cut
868,баща,dad
544,танц,dance
754,опасност,danger
