number,zulu,english
33,a,a
422,ekwazi,able
158,mayelana,about
307,ngenhla,above
77,isenzo,act
68,ukwengeza,add
917,ngesaba,afraid
111,emva,after
91,futhi,again
483,ngokumelene,against
675,yobudala,age
381,edlule,ago
796,uvume,agree
55,air,air
151,konke,all
841,uvumele,allow
57,futhi,also
287,njalo,always
541,ngiyindlela,am
400,phakathi,among
48,an,an
32,futhi,and
998,intukuthelo,anger
92,animal,animal
208,impendulo,answer
101,yisiphi,any
491,avele,appear
927,apula,apple
9,kukhona,are
335,indawo,area
547,ingalo,arm
968,ukuhlela,arrange
850,finyelela,arrive
518,yobuciko,art
1,njengoba,as
79,cela,ask
13,at,at
786,athomu,atom
701,umntwana,baby
112,back,back
624,okubi,bad
536,ngebhola,ball
934,ibhande,band
646,ebhange,bank
872,ibha,bar
264,isiza,base
944,eziyisisekelo,basic
808,nelulwane,bat
12,kube,be
592,athwale,bear
746,bhula,beat
425,ubuhle,beauty
504,embhedeni,bed
198,kwaba,been
143,ngaphambi,before
258,waqala,began
280,uqale,begin
445,ngemuva,behind
509,bakholwe,believe
815,insimbi,bell
452,umhlabeleli,best
454,kangcono,better
219,emkhatsini,between
73,enkulu,big
314,nyoni,bird
731,ihhashi,bit
326,omnyama,black
951,isixa,block
627,negazi,blood
625,igalelo,blow
359,eluhlaza,blue
569,ebhodini,board
371,isikebhe,boat
316,umzimba,body
792,amathambo,bone
251,incwadi,book
972,uzalelwa,born
290,kokubili,both
689,ngezansi,bottom
928,uthenge,bought
417,ibhokisi,box
146,mfana,boy
912,igatsha,branch
869,isinkwa,bread
620,ukwephuka,break
587,egqamile,bright
393,ukuletha,bring
993,ebanzi,broad
654,waphula,broke
505,umfowabo,brother
389,baletha,brought
636,onsundu,brown
97,ukwakha,build
723,bashise,burn
368,umatasa,busy
21,kodwana,but
706,thenga,buy
18,by,by
192,call,call
118,weza,came
969,ikamu,camp
36,okusemandleni,can
751,komkhulu,capital
800,ukaputeni,captain
297,imoto,car
933,ikhadi,card
299,ukunakekelwa,care
252,athwale,carry
655,icala,case
726,likati,cat
565,bamba,catch
781,babanjwa,caught
140,kwesizathu,cause
508,iseli,cell
630,angu,cent
486,isikhungo,center
727,leminyaka,century
405,ezithile,certain
753,isitulo,chair
979,chance,chance
81,ushintsho,change
779,uhlamvu,character
870,gcwalisa,charge
952,ishadi,chart
383,hlola,check
881,iphuphu,chick
829,abakhulu,chief
665,ingane,child
279,izingane,children
641,akhethe,choose
862,kuzithinta,chord
529,jikeleza,circle
227,dolobha,city
999,faka isicelo,claim
329,ikilasi,class
619,zihlanzekile,clean
446,ecacile,clear
683,enyuka,climb
831,washi,clock
245,ngokuminyanisa,close
597,wembathise,clothe
678,ifu,cloud
732,ugu,coast
931,isikhumba,coat
498,ezibandayo,cold
647,ukuqoqa,collect
830,koloni,colony
270,umbala,color
986,ikholomu,column
180,uze,come
372,ezivamile,common
956,yenkampani,company
812,qhathanisa,compare
333,kuqedile,complete
940,isimo,condition
859,xhuma,connect
728,cabangela,consider
667,lehamba,consonant
428,aqukethe,contain
1000,izwekazi,continent
950,uqhubeke,continue
649,amandla okuphatha,control
719,umpheki,cook
684,abandayo,cool
733,ikhophi,copy
811,ukolweni,corn
773,ekhoneni,corner
421,lobenele,correct
634,izindleko,cost
971,ukotini,cotton
178,okusemandleni,could
513,ukubala,count
206,izwe,country
354,inkambo,course
215,embesa,cover
579,eyensikazi,cow
698,dile,crease
805,ukudala,create
768,isitshalo,crop
229,ukuwela,cross
810,isixuku,crowd
409,khala,cry
