number,filipino,english
33,isang,a
422,magagawa,able
158,tungkol sa,about
307,sa itaas,above
77,kumilos,act
68,magdagdag,add
917,takot,afraid
111,pagkatapos,after
91,muli,again
483,laban,against
675,edad,age
381,nakaraan,ago
796,sumasang-ayon,agree
55,naka,air
151,lahat,all
841,pumayag,allow
57,ring,also
287,palagi,always
541,am,am
400,kasama ng,among
48,isang,an
32,at,and
998,galit,anger
92,hayop,animal
208,sagot,answer
101,anumang,any
491,lumitaw,appear
927,mansanas,apple
9,ay,are
335,lugar,area
547,braso,arm
968,mag-ayos,arrange
850,dumating,arrive
518,sining,art
1,bilang,as
79,magtanong,ask
13,sa,at
786,atom,atom
701,sanggol,baby
112,likod,back
624,masama,bad
536,ball,ball
934,band,band
646,bangko,bank
872,bar,bar
264,base,base
944,pangunahing,basic
808,bat,bat
12,maging,be
592,madala,bear
746,matalo,beat
425,beauty,beauty
504,kama,bed
198,naging,been
143,bago,before
258,sinimulan ni,began
280,simulan,begin
445,sa likod ng,behind
509,maniwala,believe
815,kampanilya,bell
452,pinakamahusay,best
454,mas mabuti,better
219,sa pagitan ng,between
73,malaki,big
314,ibon,bird
731,bit,bit
326,itim,black
951,bloke,block
627,dugo,blood
625,pumutok,blow
359,asul,blue
569,board,board
371,bangka,boat
316,katawan,body
792,buto,bone
251,aklat,book
972,isinilang,born
290,kapwa,both
689,ilalim,bottom
928,bumili,bought
417,kahon,box
146,batang lalaki,boy
912,sangay,branch
869,tinapay,bread
620,bakasyon,break
587,maliwanag,bright
393,dalhin,bring
993,malawak,broad
654,sinira,broke
505,kapatid na lalaki,brother
389,nagdala,brought
636,kayumanggi,brown
97,magtayo,build
723,sumunog,burn
368,maraming ginagawa,busy
21,ngunit,but
706,bumili,buy
18,sa pamamagitan ng,by
192,tawag,call
118,dumating,came
969,kampo,camp
36,maaari,can
751,kapital,capital
800,kapitan,captain
297,kotse,car
933,kard,card
299,pag-aalaga,care
252,nagtitinda,carry
655,kaso,case
726,pusa,cat
565,catch,catch
781,nahuli,caught
140,dahilan,cause
508,cell,cell
630,sentimo,cent
486,center,center
727,siglo,century
405,tiyak,certain
753,silya,chair
979,pagkakataon,chance
81,pagbabago,change
779,katangian,character
870,sumingil,charge
952,tsart,chart
383,suriin,check
881,chick,chick
829,mahalaga sa lahat,chief
665,anak,child
279,mga bata,children
641,piliin,choose
862,chord,chord
529,lupon,circle
227,lungsod,city
999,ang claim,claim
329,klase,class
619,malinis,clean
446,malinaw,clear
683,umakyat,climb
831,orasan,clock
245,malapit,close
597,damitan,clothe
678,cloud,cloud
732,baybayin,coast
931,amerikana,coat
498,malamig,cold
647,mangolekta,collect
830,kolonya,colony
270,kulay,color
986,haligi,column
180,dumating,come
372,karaniwan,common
956,kompanya,company
812,ihambing,compare
333,kumpleto na ang,complete
940,kalagayan,condition
859,ikonekta,connect
728,isaalang-alang,consider
667,katinig,consonant
428,may,contain
1000,kontinente,continent
950,magpatuloy,continue
649,kontrol,control
719,tagaluto,cook
684,malamig,cool
733,kopya,copy
811,mais,corn
773,sulok,corner
421,tama,correct
634,gastos,cost
971,koton,cotton
178,ng dati,could
513,bilangin,count
206,bansa,country
354,siyempre,course
215,pabalat,cover
579,baka,cow
698,crease,crease
805,lumikha,create
768,crop,crop
229,tumawid,cross
810,karamihan ng tao,crowd
409,sigaw,cry
847,kasalukuyan,current
267,hiwa,cut
868,ama,dad
544,sayaw,dance
754,panganib,danger
410,dark,dark
177,araw,day
843,patay,dead
960,deal,deal
882,mahal,dear
903,kamatayan,death
361,magpasiya,decide
650,decimal,decimal
363,malalim,deep
879,digri,degree
816,depende,depend
718,ilarawan,describe
845,disyerto,desert
685,disenyo,design
973,matukoy,determine
437,bumuo,develop
669,diksyunaryo,dictionary
181,ginawa,did
609,mamatay,die
138,mag-iba,differ
763,mahirap,difficult
319,direct,direct
921,talakayin,discuss
395,malayo,distant
532,hatiin,divide
855,dibisyon,division
41,gawin,do
764,manggagamot,doctor
51,gumagana,does
317,aso,dog
921,dollar,dollar
424,tapos,done
242,hindi,don’t
324,pinto,door
948,double,double
196,pababa,down
238,gumuhit,draw
938,mangarap,dream
677,damit,dress
885,inumin,drink
426,biyahe,drive
539,drop,drop
377,dry,dry
876,pato,duck
