number,gujarati,english
33,એક,a
422,સક્ષમ,able
158,વિશે,about
307,ઉપર,above
77,અધિનિયમ,act
68,ઉમેરો,add
917,ભયભીત,afraid
111,પછી,after
91,ફરીથી,again
483,સામે,against
675,ઉંમર,age
381,પહેલા,ago
796,સંમત,agree
55,હવા,air
151,બધા,all
841,પરવાનગી,allow
57,પણ,also
287,હંમેશા,always
541,છું,am
400,વચ્ચે,among
48,એક,an
32,અને,and
998,ગુસ્સો,anger
92,પ્રાણી,animal
208,જવાબ,answer
101,કોઈપણ,any
491,દેખાય,appear
927,સફરજન,apple
9,છે,are
335,વિસ્તાર,area
547,હાથ,arm
968,વ્યવસ્થા,arrange
850,આવો,arrive
518,કલા,art
1,તરીકે,as
79,પૂછો,ask
13,પર,at
786,અણુ,atom
701,બાળક,baby
112,પાછા,back
624,ખરાબ,bad
536,બોલ,ball
934,બેન્ડ,band
646,બેંક,bank
872,બાર,bar
264,આધાર,base
944,મૂળભૂત,basic
808,બેટ,bat
12,પ્રયત્ન,be
592,સહન,bear
746,હરાવ્યું,beat
425,સુંદરતા,beauty
504,બેડ,bed
198,આવી,been
143,પહેલાં,before
258,શરૂ કર્યું,began
280,શરૂ,begin
445,પાછળ,behind
509,માને,believe
815,ઘંટડી,bell
452,શ્રેષ્ઠ,best
454,સારી,better
219,વચ્ચે,between
73,મોટા,big
314,પક્ષી,bird
731,બીટ,bit
326,કાળા,black
951,બ્લોક,block
627,રક્ત,blood
625,ફટકો,blow
359,વાદળી,blue
569,બોર્ડ,board
371,હોડી,boat
316,શરીર,body
792,અસ્થિ,bone
251,પુસ્તક,book
972,બોર્ન,born
290,બંને,both
689,નીચે,bottom
928,ખરીદી,bought
417,બોક્સ,box
146,છોકરો,boy
912,શાખા,branch
869,બ્રેડ,bread
620,વિરામ,break
587,તેજસ્વી,bright
393,લાવવા,bring
993,વ્યાપક,broad
654,તોડી,broke
505,ભાઈ,brother
389,લાવ્યા,brought
636,બદામી,brown
97,બિલ્ડ,build
723,બર્ન,burn
368,વ્યસ્ત,busy
21,પરંતુ,but
706,ખરીદી,buy
18,દ્વારા,by
192,કૉલ,call
118,આવી,came
969,શિબિર,camp
36,આ કરી શકો છો,can
751,મૂડી,capital
800,કેપ્ટન,captain
297,કાર,car
933,કાર્ડ,card
299,સંભાળ,care
252,ચાલુ,carry
655,કેસ,case
726,બિલાડી,cat
565,કેચ,catch
781,કેચ,caught
140,કારણ,cause
508,સેલ,cell
630,ટકા,cent
486,કેન્દ્ર,center
727,સદી,century
405,ચોક્કસ,certain
753,ખુરશી,chair
979,તક,chance
81,ફેરફાર,change
779,પાત્ર,character
870,ચાર્જ,charge
952,ચાર્ટ,chart
383,તપાસ,check
881,પક્ષીનું બચ્ચું,chick
829,મુખ્ય,chief
665,બાળક,child
279,બાળકો,children
641,પસંદ,choose
862,તાર,chord
529,વર્તુળ,circle
227,શહેર,city
999,દાવો,claim
329,વર્ગ,class
619,સ્વચ્છ,clean
446,પારદર્શક,clear
683,ચઢી,climb
831,ઘડિયાળ,clock
245,બંધ,close
597,વસ્ત્રની,clothe
678,વાદળું,cloud
732,કિનારે,coast
931,કોટ,coat
498,ઠંડા,cold
647,એકત્રિત,collect
830,વસાહત,colony
270,રંગ,color
986,કૉલમ,column
180,આવે,come
372,સામાન્ય,common
956,કંપની,company
812,સરખામણી,compare
333,પૂર્ણ,complete
940,સ્થિતિ,condition
859,કનેક્ટ,connect
728,ધ્યાનમાં,consider
667,વ્યંજન,consonant
428,સમાવે,contain
1000,ખંડ,continent
950,ચાલુ,continue
649,નિયંત્રણ,control
719,રસોઈયા,cook
684,ઠંડી,cool
733,નકલ,copy
811,મકાઈ,corn
773,ખૂણે,corner
421,યોગ્ય,correct
634,ખર્ચ,cost
971,કપાસ,cotton
178,કરી શકે છે,could
513,ગણતરી,count
206,દેશ,country
354,અલબત્ત,course
215,કવર,cover
579,ગાય,cow
698,બોલ,crease
805,બનાવો,create
768,પાક,crop
229,પાર,cross
810,ભીડ,crowd
409,કોલાહલ,cry
847,વર્તમાન,current
267,કટ,cut
868,પિતા,dad
544,નૃત્ય,dance
754,ભય,danger
410,શ્યામ,dark
177,દિવસ,day
843,મૃત,dead
960,સોદો,deal
882,પ્રિય,dear
903,મૃત્યુ,death
361,નક્કી,decide
650,બાદ,decimal
363,ઊંડા,deep
879,ડિગ્રી,degree
816,આધાર રાખે છે,depend
718,વર્ણન,describe
845,રણ,desert
685,ડિઝાઇન,design
973,નક્કી,determine
437,વિકાસ,develop
669,શબ્દકોશ,dictionary
181,હતી,did
609,મૃત્યુ પામે છે,die
138,અલગ,differ
763,મુશ્કેલ,difficult
319,સીધા,direct
921,ચર્ચા,discuss
395,દૂરના,distant
532,વિભાજન,divide
855,વિભાગ,division
41,કરી,do
764,ડૉક્ટર,doctor
51,કરે,does
317,કૂતરો,dog
921,ડોલર,dollar
424,પૂર્ણ,done
242,ન,don’t
324,બારણું,door
948,ડબલ,double
196,નીચે,down
238,ડ્રો,draw
938,સ્વપ્ન,dream
677,ડ્રેસ,dress
885,પીણું,drink
426,ડ્રાઇવ,drive
539,છોડો,drop
377,શુષ્ક,dry
876,બતક,duck
456,દરમિયાન,during
49,દરેક,each
651,કાન,ear
461,પ્રારંભિક,early
99,પૃથ્વી,earth
284,સરળ,ease
397,પૂર્વ,east
255,ખાય,eat
581,ધાર,edge
789,અસર,effect
506,ઇંડા,egg
