number,macedonian,english
33,на,a
422,состојба,able
158,за,about
307,над,above
77,чин,act
68,додадете,add
917,плашат,afraid
111,по,after
91,повторно,again
483,против,against
675,возраст,age
381,пред,ago
796,согласувам,agree
55,воздух,air
151,сите,all
841,овозможи,allow
57,"исто така,",also
287,секогаш,always
541,часот,am
400,меѓу,among
48,на,an
32,и,and
998,гнев,anger
92,животните,animal
208,одговор,answer
101,било,any
491,се појави,appear
927,јаболко,apple
9,се,are
335,област,area
547,рака,arm
968,организира,arrange
850,пристигнат,arrive
518,уметност,art
1,како,as
79,побара,ask
13,на,at
786,атомот,atom
701,бебе,baby
112,назад,back
624,лоша,bad
536,топка,ball
934,бендот,band
646,банка,bank
872,бар,bar
264,база,base
944,основните,basic
808,лилјак,bat
12,биде,be
592,носат,bear
746,победи,beat
425,убавина,beauty
504,кревет,bed
198,е,been
143,пред,before
258,започна,began
280,започне,begin
445,зад,behind
509,веруваат,believe
815,ѕвоно,bell
452,најдобрите,best
454,подобро,better
219,меѓу,between
73,голема,big
314,птици,bird
731,малку,bit
326,црна,black
951,блок,block
627,крв,blood
625,удар,blow
359,сина,blue
569,одбор,board
371,брод,boat
316,тело,body
792,коска,bone
251,книга,book
972,роден,born
290,и,both
689,дното,bottom
928,купи,bought
417,кутија,box
146,момчето,boy
912,гранка,branch
869,леб,bread
620,пауза,break
587,светла,bright
393,донесе,bring
993,широк,broad
654,скрши,broke
505,брат,brother
389,донесе,brought
636,кафеава,brown
97,изградба,build
723,изгори,burn
368,зафатен,busy
21,но,but
706,купување,buy
18,од,by
192,повик,call
118,дојде,came
969,камп,camp
36,може,can
751,капитал,capital
800,капетан,captain
297,автомобил,car
933,картичка,card
299,грижа,care
252,носат,carry
655,случај,case
726,мачка,cat
565,фати,catch
781,фатени,caught
140,причина,cause
508,мобилен,cell
630,проценти,cent
486,центар,center
727,век,century
405,одредени,certain
753,стол,chair
979,шанса,chance
81,промена,change
779,карактер,character
870,наплаќаат,charge
952,шема,chart
383,проверете,check
881,девојка,chick
829,главен,chief
665,дете,child
279,деца,children
641,изберете,choose
862,акорд,chord
529,круг,circle
227,град,city
999,барање,claim
329,класа,class
619,чиста,clean
446,јасно,clear
683,искачувањето,climb
831,часовник,clock
245,блиску,close
597,облечеш,clothe
678,облак,cloud
732,брег,coast
931,капут,coat
498,ладна,cold
647,соберат,collect
830,колонијата,colony
270,боја,color
986,колона,column
180,доаѓаат,come
372,заеднички,common
956,компанијата,company
812,спореди,compare
333,целосна,complete
940,состојба,condition
859,поврзете,connect
728,сметаат,consider
667,согласка,consonant
428,содржи,contain
1000,континент,continent
