number,persian,english
33,دست,a
422,قادر,able
158,در مورد,about
307,بالا,above
77,عمل,act
68,اضافه,add
917,ترس,afraid
111,پس از,after
91,دوباره,again
483,در برابر,against
675,سن,age
381,پیش,ago
796,توافق,agree
55,هوا,air
151,همه,all
841,اجازه,allow
57,همچنین,also
287,همیشه,always
541,ساعت,am
400,در میان,among
48,پا,an
32,و,and
998,خشم,anger
92,حیوانات,animal
208,پاسخ,answer
101,هر,any
491,به نظر می رسد,appear
927,سیب,apple
9,هستیم,are
335,منطقه,area
547,دست,arm
968,ترتیب,arrange
850,رسیدن,arrive
518,هنر,art
1,عنوان,as
79,بپرسید,ask
13,در,at
786,اتم,atom
701,کودک,baby
112,به عقب,back
624,بد,bad
536,توپ,ball
934,گروه,band
646,بانک,bank
872,بار,bar
264,پایه,base
944,اساسی,basic
808,خفاش,bat
12,بودن,be
592,تحمل,bear
746,ضرب و شتم,beat
425,زیبایی,beauty
504,تخت,bed
198,بوده,been
143,قبل,before
258,آغاز شد,began
280,شروع,begin
445,پشت سر,behind
509,باور,believe
815,زنگ,bell
452,بهترین,best
454,بهتر,better
219,بین,between
73,بزرگ,big
314,پرنده,bird
731,بیت,bit
326,سیاه و سفید,black
951,بلوک,block
627,خون,blood
625,ضربه,blow
359,آبی,blue
569,هیئت مدیره,board
371,قایق,boat
316,بدن,body
792,استخوان,bone
251,کتاب,book
972,متولد,born
290,هر دو,both
689,پایین,bottom
928,خریداری,bought
417,جعبه,box
146,پسر,boy
912,شاخه,branch
869,نان,bread
620,استراحت,break
587,روشن,bright
393,را,bring
993,پهن,broad
654,شکست,broke
505,برادر,brother
389,آورده,brought
636,قهوه ای,brown
97,ساخت,build
723,رایت,burn
368,مشغول,busy
21,اما,but
706,خرید,buy
18,توسط,by
192,تماس,call
118,آمد,came
969,اردوگاه,camp
36,می توانید,can
751,سرمایه,capital
800,کاپیتان,captain
297,اتومبیل,car
933,کارت,card
299,مراقبت,care
252,حمل,carry
655,مورد,case
726,گربه,cat
565,گرفتن,catch
781,گرفتار,caught
140,علت,cause
508,سلول,cell
630,در صد,cent
486,مرکز,center
727,قرن,century
405,معین,certain
753,صندلی,chair
979,شانس,chance
81,تغییر,change
779,شخصیت,character
870,شارژ,charge
952,نمودار,chart
383,بررسی,check
881,جوجه,chick
829,رئیس,chief
665,کودک,child
279,کودکان,children
641,کنید,choose
862,وتر,chord
529,دایره,circle
227,شهرستان,city
999,ادعا,claim
329,کلاس,class
619,تمیز,clean
446,روشن,clear
683,صعود,climb
831,ساعت,clock
245,نزدیک,close
597,پوشاندن,clothe
678,ابر,cloud
732,ساحل,coast
931,کت,coat
498,سرد,cold
647,جمع آوری,collect
830,مستعمره,colony
270,رنگ,color
986,ستون,column
