number,swedish,english
33,en,a
422,kunna,able
158,ca,about
307,ovan,above
77,handling,act
68,lägg,add
917,rädd,afraid
111,efter,after
91,igen,again
483,mot,against
675,okänd,age
381,sedan,ago
796,enas,agree
55,luft,air
151,alla,all
841,tillåta,allow
57,också,also
287,alltid,always
541,jag,am
400,bland,among
48,ett,an
32,och,and
998,ilska,anger
92,djur,animal
208,svar,answer
101,någon,any
491,synas,appear
927,äpple,apple
9,är,are
335,område,area
547,beväpnar,arm
968,ordna,arrange
850,anländer,arrive
518,teknikområdet,art
1,som,as
79,be,ask
13,vid,at
786,atomen,atom
701,barn,baby
112,tillbaka,back
624,dålig,bad
536,boll,ball
934,band,band
646,bank,bank
872,baren,bar
264,bas,base
944,grundläggande,basic
808,slagträ,bat
12,vara,be
592,bära,bear
746,slå,beat
425,skönhet,beauty
504,bädd,bed
198,varit,been
143,före,before
258,började,began
280,börja,begin
445,bakom,behind
509,tro,believe
815,klocka,bell
452,bäst,best
454,bättre,better
219,mellan,between
160,cykelverkstad,bicycle shop
73,stor,big
314,fågel,bird
731,bitars,bit
326,svart,black
951,blocket,block
627,blod,blood
625,smäll,blow
359,blå,blue
569,ombord,board
371,båt,boat
316,kropp,body
792,ben,bone
251,boken,book
972,född,born
290,båda,both
689,botten,bottom
928,köpt,bought
417,låda,box
146,pojke,boy
912,gren,branch
869,bröd,bread
620,paus,break
587,ljust,bright
393,bringa,bring
993,bred,broad
654,bröt,broke
505,bror,brother
389,bringas,brought
636,brun,brown
97,bygga,build
723,bränna,burn
368,upptagen,busy
21,men,but
706,köpa,buy
18,genom,by
192,samtal,call
118,kom,came
969,läger,camp
36,kan,can
751,kapital,capital
800,kapten,captain
297,bil,car
933,kort,card
299,vård,care
252,bära,carry
655,fall,case
726,cat,cat
565,fångst,catch
781,fångad,caught
140,orsak,cause
508,cell,cell
630,cent,cent
486,centrum,center
727,talet,century
405,viss,certain
753,stol,chair
979,chans,chance
81,förändring,change
779,karaktär,character
870,debitera,charge
952,diagram,chart
383,ta,check
881,fågelunge,chick
829,chef,chief
665,barn,child
279,barn,children
641,välja,choose
862,ackord,chord
529,cirkel,circle
227,ort,city
999,krav,claim
329,klass,class
619,ren,clean
446,klar,clear
683,klättra,climb
831,klocka,clock
