number,tajik,english
33,як,a
422,тавонист,able
158,дар бораи,about
307,дар боло,above
77,амал,act
68,илова кардан,add
917,ҳаросон,afraid
111,баъд аз,after
91,аз нав,again
483,бар зидди,against
675,синну сол,age
381,пеш,ago
796,розӣ шудан,agree
55,ҳаво,air
151,ҳама,all
841,имконият,allow
57,ҳамчунин,also
287,ҳамеша,always
541,ҳастам,am
400,дар байни,among
48,як,an
32,ва,and
998,хашми,anger
92,ҳайвон,animal
208,ҷавоби,answer
101,ҳар як,any
491,пайдо,appear
927,себ,apple
9,доранд,are
335,майдон,area
547,даст,arm
968,тартиб,arrange
850,ташрифи,arrive
518,санъат,art
1,мисли,as
79,пурсидан,ask
13,дар,at
786,атом,atom
701,кўдаки,baby
112,бозгашт,back
624,бад,bad
536,тӯб,ball
934,банд,band
646,бонк,bank
872,бар,bar
264,база,base
944,асосӣ,basic
808,бат,bat
12,будан,be
592,зимма,bear
746,задан,beat
425,зебоӣ,beauty
504,кат,bed
198,шуд,been
143,пеш аз,before
258,сар,began
280,оғоз,begin
445,қафо,behind
509,имон,believe
815,занги,bell
452,беҳтарин,best
454,хубтар,better
219,миёни,between
73,калон,big
314,парранда,bird
731,бита,bit
326,сиёҳ,black
951,блок,block
627,хун,blood
625,зарбаи,blow
359,кабуд,blue
569,шӯрои,board
371,қаиқ,boat
316,бадан,body
792,устухон,bone
251,китоб,book
972,бон,born
290,ҳарду,both
689,дар қаъри,bottom
928,харида,bought
417,қуттии,box
146,писарбача,boy
912,бахш,branch
869,нон,bread
620,танаффус,break
587,равшан,bright
393,меоварад,bring
993,васеъ,broad
654,вайрон,broke
505,бародари,brother
389,оварданд,brought
636,қаҳваранг,brown
97,сохтан,build
723,сӯзондан,burn
368,банд,busy
21,аммо,but
706,харидан,buy
18,бо,by
192,занг задан,call
118,омад,came
969,ӯрдугоҳ,camp
36,метавонад,can
751,пойтахт,capital
800,капитан,captain
297,мошини,car
933,корт,card
299,нигоњубини,care
252,анҷом,carry
655,мавриди,case
726,гурба,cat
565,сайд,catch
781,сайд,caught
140,сабаб,cause
508,ҳуҷайра,cell
630,фоиз,cent
486,марказ,center
727,асри,century
405,муайян,certain
753,кафедра,chair
979,имконият,chance
81,иваз,change
779,характер,character
870,пардохтро,charge
952,диаграммаи,chart
383,тафтиш,check
881,љуворимакка,chick
829,сардори,chief
665,кӯдак,child
279,кӯдакон,children
641,интихоб кардан,choose
862,аккорд,chord
529,давра,circle
227,шаҳр,city
999,даъво,claim
329,синфи,class
619,тоза,clean
446,равшан,clear
683,баромадан,climb
831,соат,clock
245,наздик,close
597,либосашон,clothe
678,абр,cloud
732,соҳили,coast
931,палто,coat
498,хунук,cold
647,ҷамъ,collect
830,колония,colony
270,ранг,color
986,сутун,column
180,омад,come
372,умумӣ,common
956,ширкат,company
812,нисбат ба,compare
333,пурра,complete
940,шароит,condition
859,пайваст кардан,connect
728,баррасӣ,consider
667,мутаассифона,consonant
428,дар бар гирад,contain
1000,қитъа,continent
950,давом додан,continue
649,идора,control
719,кук,cook
684,хунук,cool
733,нусха,copy
811,ҷуворӣ,corn
773,гӯшаи,corner
421,дуруст,correct
634,арзиш,cost
971,пахта,cotton
178,метавонад,could
513,шумурдан,count
206,кишвар,country
354,курс,course
215,сарпӯши,cover
579,гов,cow
698,њад,crease
805,сохтан,create
768,кишт,crop
229,убур,cross
810,издиҳом,crowd
409,дуъояшон,cry
847,ҷорӣ,current
267,"набуред,",cut
868,падар,dad
544,ращс,dance
754,хатар,danger
410,торик,dark
177,рӯз,day
