number,belarusian,english
33,пяць,a
422,стане,able
158,пра гэта,about
307,вышэй,above
77,акт,act
68,дадаць,add
917,баюся,afraid
111,пасля,after
91,зноў,again
483,супраць,against
675,ўзрост,age
381,назад,ago
796,згаджацца,agree
55,паветра,air
151,усе,all
841,дазваляюць,allow
57,таксама,also
287,заўсёды,always
541,я,am
400,сярод,among
48,,an
32,і,and
998,гнеў,anger
92,жывёл,animal
208,адказ,answer
101,любы,any
491,з’яўляюцца,appear
927,яблык,apple
9,з’яўляюцца,are
335,плошчу,area
547,рука,arm
968,арганізаваць,arrange
850,прыходзім,arrive
518,мастацтва,art
1,як,as
79,спытаеце,ask
13,ў,at
786,атам,atom
701,дзіця,baby
112,назад,back
624,дрэнна,bad
536,мяч,ball
934,група,band
646,банк,bank
872,бар,bar
264,база,base
944,асноўная,basic
808,лятучая мыш,bat
12,быць,be
592,несці,bear
746,біць,beat
425,прыгажосць,beauty
504,ложак,bed
198,быў,been
143,да,before
258,пачаў,began
280,пачаць,begin
445,за,behind
509,"лічаць,",believe
815,звон,bell
452,лепш,best
454,лепш,better
219,паміж,between
73,вялікі,big
314,птушка,bird
731,біт,bit
326,чорны,black
951,блок,block
627,кроў,blood
625,ўдар,blow
359,сіні,blue
569,дошка,board
371,лодка,boat
316,цела,body
792,костка,bone
251,кніга,book
972,дата нараджэння:,born
290,як,both
689,знізу,bottom
928,купіў,bought
417,скрынка,box
146,хлопчык,boy
912,філіял,branch
869,хлеб,bread
620,перапынак,break
587,яркі,bright
393,прынесці,bring
993,шырокая,broad
654,зламаў,broke
505,брат,brother
389,прынёс,brought
636,карычневы,brown
97,пабудаваць,build
723,спаліць,burn
368,заняты,busy
21,але,but
706,купіць,buy
18,па,by
192,тэлефануйце,call
118,прыйшлі,came
969,лагер,camp
36,можа,can
751,капітал,capital
800,капітан,captain
297,аўтамабіль,car
933,карта,card
299,сыход,care
252,несці,carry
655,справу,case
726,кот,cat
565,ўлоў,catch
781,злавілі,caught
140,прычынай,cause
508,клетак,cell
630,цэнт,cent
486,цэнтр,center
727,стагоддзя,century
405,упэўнены,certain
753,крэсла,chair
979,шанец,chance
81,змена,change
779,характар,character
870,зарадкі,charge
952,дыяграма,chart
383,праверыць,check
881,кураня,chick
829,галоўны,chief
665,дзіця,child
279,дзеці,children
641,выбраць,choose
862,акорд,chord
529,круг,circle
227,горад,city
999,прэтэнзіі,claim
329,клас,class
619,чысты,clean
446,ясна,clear
683,ўздым,climb
831,гадзіны,clock
245,блізка,close
597,апрануць,clothe
678,воблака,cloud
732,узбярэжжы,coast
931,паліто,coat
498,холадна,cold
647,збіраць,collect
830,калонія,colony
270,колер,color
986,калонка,column
180,прыходзяць,come
372,агульная,common
956,кампанія,company
812,параўнаць,compare
333,поўная,complete
940,стан,condition
859,падлучэння,connect
728,разгледзець,consider
667,зычны,consonant
428,ўтрымліваць,contain
1000,кантынент,continent
950,працягнуць,continue
649,кантроль,control
719,кухар,cook
684,крута,cool
733,копія,copy
811,кукуруза,corn
773,кут,corner
421,правільна,correct
634,кошт,cost
971,бавоўна,cotton
178,мог,could
513,разлічваць,count
206,краіна,country
354,вядома,course
215,вечка,cover
579,карова,cow
698,зморшчына,crease
805,стварыць,create
768,ўраджай,crop
