number,luxembourgish,english
33,eng,a
422,kënnen,able
158,iwwer,about
307,uewen,above
77,akt,act
68,derbäi,add
917,angscht,afraid
111,no,after
91,erëm,again
483,géint,against
675,alter,age
381,ago,ago
796,averstanen,agree
55,loft,air
151,all,all
841,erlaben,allow
57,och,also
287,ëmmer,always
541,auer,am
400,ënnert,among
48,eng,an
32,an,and
998,roserei,anger
92,déier,animal
208,äntwert,answer
101,all,any
491,schéngen,appear
927,apel,apple
9,sinn,are
335,beräich,area
547,aarm,arm
968,rendez,arrange
850,ukommen,arrive
518,konscht,art
1,wéi,as
79,froen,ask
13,op,at
786,atom,atom
701,baby,baby
112,zréck,back
624,schlecht,bad
536,ball,ball
934,band,band
646,bank,bank
872,verhënnert,bar
264,huel,base
944,basis,basic
808,fliedermaus,bat
12,ginn,be
592,bier,bear
746,schloën,beat
425,schéinheet,beauty
504,bett,bed
198,schonn,been
143,virum,before
258,ugefaang,began
280,begin,begin
445,hannert,behind
509,gleewen,believe
815,klackespill,bell
452,beschte,best
454,besser,better
219,tëschent,between
73,grouss,big
314,vugel,bird
731,bëssen,bit
326,schwaarz,black
951,blockéieren,block
627,blutt,blood
625,nidderzeloossen,blow
359,blo,blue
569,verwaltungsrot,board
371,boot,boat
316,kierper,body
792,schanken,bone
251,buch,book
972,gebuer,born
290,souwuel,both
689,ënnen,bottom
928,kaaft,bought
417,këscht,box
146,boy,boy
912,sparten,branch
869,brout,bread
620,ennerbriechung,break
587,schéin,bright
393,bréngen,bring
993,wäitleefegen,broad
654,fräi,broke
505,brudder,brother
389,matbruecht,brought
636,brong,brown
97,bauen,build
723,ëmbruecht,burn
368,beschäftegt,busy
21,mä,but
706,kafen,buy
18,vun,by
192,opruff,call
118,huet,came
969,camp,camp
36,kënnen,can
751,haaptstad,capital
800,kapitän,captain
297,auto,car
933,attack,card
299,ëm,care
252,droen,carry
655,fall,case
726,cat,cat
565,verdreiwen,catch
781,séier,caught
140,doudesursaach,cause
508,zell,cell
630,cent,cent
486,zentrum,center
727,joerhonnert,century
405,bestëmmte,certain
753,presidence,chair
979,chance,chance
81,änneren,change
779,charakter,character
870,zoustänneg,charge
952,beräich,chart
383,kontrolléieren,check
881,schüler,chick
829,chef,chief
665,kand,child
279,kanner,children
641,decidéieren,choose
862,niwwelt,chord
529,krees,circle
227,stad,city
999,virgëtt,claim
329,klass,class
619,propper,clean
446,kloer,clear
683,erauszefuerderen,climb
831,auer,clock
245,zoumaachen,close
597,unzedoe,clothe
678,wollek,cloud
732,küst,coast
931,wope,coat
498,keelt,cold
647,sammelen,collect
830,kolonisatioun,colony
270,faarf,color
986,kolonn,column
180,kommen,come
372,gemeinsam,common
956,firma,company
812,vergläichen,compare
