number,danish,english
33,en,a
422,stand,able
158,om,about
307,ovenfor,above
77,handling,act
68,tilføje,add
917,bange,afraid
111,efter,after
91,igen,again
483,mod,against
675,alder,age
381,siden,ago
796,enige,agree
55,luft,air
151,alle,all
841,tillade,allow
57,også,also
287,altid,always
541,am,am
400,blandt,among
48,en,an
32,og,and
998,vrede,anger
92,dyr,animal
208,svar,answer
101,enhver,any
491,synes,appear
927,æble,apple
9,er,are
335,område,area
547,armen,arm
968,arrangere,arrange
850,ankommer,arrive
518,kunst,art
1,som,as
79,spørge,ask
13,på,at
786,atomet,atom
701,barn,baby
112,tilbage,back
624,dårlig,bad
536,kugle,ball
934,bånd,band
646,bank,bank
872,bar,bar
264,basen,base
944,grundlæggende,basic
808,flagermus,bat
12,være,be
592,bære,bear
746,slå,beat
425,skønhed,beauty
504,seng,bed
198,været,been
143,før,before
258,begyndte,began
280,begynde,begin
445,bag,behind
509,tro,believe
815,klokke,bell
452,bedst,best
454,bedre,better
219,mellem,between
73,stor,big
314,fugl,bird
731,bit,bit
326,sort,black
951,blok,block
627,blod,blood
625,slag,blow
359,blå,blue
569,bord,board
371,båd,boat
316,krop,body
792,knogle,bone
251,bog,book
972,født,born
290,både,both
689,bund,bottom
928,købte,bought
417,kasse,box
146,dreng,boy
912,gren,branch
869,brød,bread
620,pause,break
587,lyse,bright
393,bringe,bring
993,bred,broad
654,brød,broke
505,bror,brother
389,bragt,brought
636,brun,brown
97,bygge,build
723,brænde,burn
368,travlt,busy
21,men,but
706,købe,buy
18,ved,by
192,opkald,call
118,kom,came
969,lejr,camp
36,kan,can
751,kapital,capital
800,kaptajn,captain
297,bil,car
933,kort,card
299,pleje,care
252,bære,carry
655,tilfælde,case
726,kat,cat
565,fangst,catch
781,fanget,caught
140,årsag,cause
508,celle,cell
630,procent,cent
486,centrum,center
727,århundrede,century
405,vis,certain
753,stol,chair
979,mulighed,chance
81,ændring,change
779,karakter,character
870,oplade,charge
952,diagram,chart
383,tjek,check
881,chick,chick
829,chef,chief
665,barn,child
279,børn,children
641,vælge,choose
862,akkord,chord
529,cirkel,circle
227,by,city
999,fordring,claim
329,klasse,class
619,ren,clean
446,klar,clear
683,klatre,climb
831,ur,clock
245,tæt,close
597,iklæde,clothe
678,sky,cloud
732,kyst,coast
931,frakke,coat
498,kold,cold
647,indsamle,collect
830,koloni,colony
270,farve,color
986,kolonne,column
180,komme,come
372,fælles,common
956,selskab,company
812,sammenligne,compare
333,komplet,complete
940,betingelse,condition
859,forbinde,connect
728,overveje,consider
667,konsonant,consonant
428,indeholder,contain
1000,kontinent,continent
950,fortsætte,continue
649,kontrol,control
719,kok,cook
684,køligt,cool
733,kopi,copy
811,majs,corn
773,hjørne,corner
421,korrekt,correct
634,omkostninger,cost
971,bomuld,cotton
178,kunne,could
513,tælle,count
206,land,country
354,kursus,course
215,dæksel,cover
579,ko,cow
698,krølle,crease
805,skabe,create
768,afgrøde,crop
229,krydse,cross
810,mængden,crowd
409,råb,cry
847,strøm,current
267,cut,cut
868,far,dad
544,dans,dance
754,fare,danger
410,mørk,dark
177,dag,day
843,død,dead
960,aftale,deal
882,kære,dear
903,død,death
361,beslutte,decide
650,decimal,decimal
363,dyb,deep
879,grad,degree
816,afhænge,depend
718,beskrive,describe
845,ørken,desert
685,konstruktion,design
973,bestemme,determine
437,udvikle,develop
669,ordbog,dictionary
181,gjorde,did
609,dø,die
138,afvige,differ
763,svært,difficult
319,direkte,direct
921,diskutere,discuss
395,fjernt,distant
532,kløft,divide
855,opdeling,division
41,gøre,do
764,læge,doctor
51,gør,does
317,hund,dog
921,dollaren,dollar
424,gjort,done
242,ikke,don’t
324,dør,door
948,dobbelt,double
196,ned,down
238,tegne,draw
938,drømme,dream
677,kjole,dress
885,drikke,drink
426,køretur,drive
539,drop,drop
377,tør,dry
876,ænder,duck
456,i løbet af,during
49,hver,each
651,øre,ear
461,tidligt,early
99,jord,earth
284,lethed,ease
397,øst,east
255,spise,eat
581,kant,edge
