number,khmer,english
33,មួយ,a
422,អាច,able
158,អំពី,about
307,ខាងលើ,above
77,សកម្មភាព,act
68,បន្ថែម,add
917,ខ្លាច,afraid
111,បន្ទាប់ពី,after
91,ជាថ្មីម្តងទៀត,again
483,ប្រឆាំងនឹង,against
675,អាយុ,age
381,មុន,ago
796,យល់ព្រម,agree
55,ខ្យល់,air
151,ទាំងអស់,all
841,អនុញ្ញាតឱ្យ,allow
57,ក៏,also
287,តែងតែ,always
541,ព្រឹក,am
400,ក្នុងចំណោម,among
48,មួយ,an
32,និង,and
998,កំហឹង,anger
92,សត្វ,animal
208,ចម្លើយ,answer
101,ណាមួយឡើយ,any
491,លេចឡើង,appear
927,ផ្លែប៉ោម,apple
9,មាន,are
335,តំបន់,area
547,ដៃ,arm
968,រៀបចំ,arrange
850,មកដល់,arrive
518,សិល្បៈ,art
1,ដូចជា,as
79,សួរ,ask
13,នៅ,at
786,អាតូម,atom
701,ទារក,baby
112,ត្រឡប់មកវិញ,back
624,អាក្រក់,bad
536,បាល់,ball
934,ក្រុម,band
646,ធនាគារ,bank
872,របារ,bar
264,មូលដ្ឋាន,base
944,មូលដ្ឋាន,basic
808,ក្រុមហ៊ុនថ្នាំជក់,bat
12,ជាការ,be
592,សូមថ្លែង,bear
746,ផ្តួល,beat
425,សម្រស់,beauty
504,គ្រែ,bed
198,បាន,been
143,មុនពេល,before
258,ចាប់ផ្តើម,began
280,ចាប់ផ្តើម,begin
445,នៅពីក្រោយ,behind
509,ជឿ,believe
815,កណ្ដឹង,bell
452,ល្អបំផុត,best
454,កាន់តែប្រសើរឡើង,better
219,រវាង,between
73,ធំ,big
314,បក្សី,bird
731,បន្តិច,bit
326,ពណ៌ខ្មៅ,black
951,ប្លុក,block
627,ឈាម,blood
625,ខ្លែងហើរ,blow
359,ខៀវ,blue
569,ក្រុមប្រឹក្សាភិបាល,board
371,ទូក,boat
316,រាងកាយ,body
792,ឆ្អឹង,bone
251,សៀវភៅ,book
972,កើត,born
290,ទាំងពីរ,both
689,បាត,bottom
928,ទិញ,bought
417,ប្រអប់,box
146,ក្មេងប្រុសម្នាក់,boy
912,សាខា,branch
869,នំបុ័ង,bread
620,សម្រាក,break
587,ភ្លឺ,bright
393,នាំយក,bring
993,ទូលំទូលាយ,broad
654,បាក់,broke
505,ប្អូនប្រុស,brother
389,នាំយក,brought
636,ត្នោត,brown
97,កសាង,build
723,ដុត,burn
368,រវល់,busy
21,ប៉ុន្តែការ,but
706,ទិញ,buy
18,ដោយ,by
192,ការហៅ,call
118,បានមក,came
969,ជំរំ,camp
36,អាច,can
751,មូលធន,capital
800,ប្រធានក្រុម,captain
297,រថយន្ត,car
933,កាត,card
299,ការថែរក្សា,care
252,អនុវត្ត,carry
655,ករណី,case
726,ឆ្មា,cat
565,ចាប់,catch
781,ចាប់បាន,caught
140,មូលហេតុ,cause
508,កោសិកា,cell
630,រយ,cent
486,កណ្តាល,center
727,សតវត្សរ៍,century
405,ជាក់លាក់,certain
753,កៅអី,chair
979,ឱកាស,chance
81,ការផ្លាស់ប្តូរ,change
779,តួអក្សរ,character
870,សាក,charge
