number,kyrgyz,english
33,бир,a
422,алат,able
158,жөнүндө,about
307,жогору,above
77,иш,act
68,кошуу,add
917,коркуп,afraid
111,кийин,after
91,дагы бир жолу,again
483,каршы,against
675,жашы,age
381,мурда,ago
796,макул,agree
55,аба,air
151,бардык,all
841,уруксат берүү,allow
57,дагы,also
287,дайыма,always
541,жатам,am
400,арасында,among
48,бир,an
32,жана,and
998,ачуулануу,anger
92,жаныбар,animal
208,жооп,answer
101,кандайдыр,any
491,көрүнүшү,appear
927,алма,apple
9,болуп саналат,are
335,аймак,area
547,кол,arm
968,уюштуруу,arrange
850,келүү,arrive
518,искусство,art
1,катары,as
79,суроо,ask
13,боюнча,at
786,атом,atom
701,бала,baby
112,кайра,back
624,жаман,bad
536,топ,ball
934,банда,band
646,банк,bank
872,бар,bar
264,база,base
944,негизги,basic
808,жар канат,bat
12,болуу,be
592,көтөрүү,bear
746,"сабап,",beat
425,сулуулук,beauty
504,төшөк,bed
198,болуп,been
143,мурун,before
258,баштады,began
280,баштоо,begin
445,артынан,behind
509,ишенүү,believe
815,коңгуроо,bell
452,мыкты,best
454,сонун,better
219,ортосунда,between
73,чоң,big
314,чымчык,bird
731,бит,bit
326,кара,black
951,тосуу,block
627,кан,blood
625,ышкыруу,blow
359,көк,blue
569,башкарма,board
371,кайык,boat
316,дене,body
792,сөөк,bone
251,китеп,book
972,тубаса,born
290,экөө тең,both
689,жыйынтык,bottom
928,сатып алган,bought
417,кутуча,box
146,бала,boy
912,бутак,branch
869,нан,bread
620,тыныгуу,break
587,жаркырак,bright
393,алып келүү,bring
993,кенен,broad
654,сындырды,broke
505,"байке, ини",brother
389,алып келди,brought
636,күрөң,brown
97,куруу,build
723,өрттөө,burn
368,алек,busy
21,бирок,but
706,сатып алуу,buy
18,менен,by
192,чакыруу,call
118,болду,came
969,лагерь,camp
36,алат,can
751,борбор,capital
800,капитан,captain
297,унаа,car
933,карта,card
299,камкордук,care
252,ашырууга,carry
655,окуя,case
726,мышык,cat
565,кармоо,catch
781,кармалды,caught
140,себеп,cause
508,клетка,cell
630,пайыз,cent
486,борбор,center
727,кылым,century
405,белгилүү,certain
753,стул,chair
979,учур,chance
81,өзгөртүү,change
779,белги,character
870,күнөө,charge
952,диаграмма,chart
383,текшерүү,check
881,жөжө,chick
829,башчы,chief
665,бала,child
279,балдар,children
641,тандап алуу,choose
862,аккорд,chord
529,тегерек,circle
227,шаары,city
999,талап,claim
329,тап,class
619,таза,clean
446,ачык,clear
683,көтөрүлүү,climb
831,саат,clock
245,жакын,close
597,кийинүү,clothe
678,булут,cloud
732,деңиз жээги,coast
931,жүн,coat
498,суук,cold
647,жыйноо,collect
830,колония,colony
270,түс,color
986,колонна,column
180,келген,come
372,жалпы,common
956,компания,company
812,салыштыруу,compare
333,аяктоо,complete
940,абал,condition
859,байланышуу,connect
728,кароо,consider
667,үнсүз тыбыш,consonant
428,камтылган,contain
1000,континент,continent
950,улантуу,continue
649,башкаруу,control
719,ашпозчу аял,cook
684,баракелде,cool
733,копия,copy
811,дан,corn
773,бурч,corner
421,туура,correct
634,нарк,cost
971,пахта,cotton
178,мүмкүн,could
513,эсептөө,count
206,мамлекет,country
354,"албетте,",course
215,жабуу,cover
579,уй,cow
698,көбөйткөнгө,crease
805,түзүү,create
768,түшүм,crop
229,кесип,cross
810,эл,crowd
409,ыйлоо,cry
847,учурдагы,current
267,кесүү,cut
868,ата,dad
544,бий,dance
754,коркунуч,danger
410,караңгы,dark
177,күн,day
843,өлгөн,dead
960,иш,deal
882,кымбаттуу,dear
903,өлүм,death
361,чечүү,decide
650,ондук,decimal
363,терең,deep
879,даражасы,degree
816,көз каранды,depend
718,баяндоо,describe
845,ээн,desert
685,дизайн,design
973,белгилөө,determine
437,иштеп чыгуу,develop
669,сөздүк,dictionary
181,кылды,did
609,өлүү,die
138,ар кандай,differ
763,татаал,difficult
319,түз,direct
921,талкуулашат,discuss
395,алыс,distant
532,бөлүнүү,divide
855,бөлүм,division
41,эмне,do
764,доктор,doctor
51,кылат,does
317,ит,dog
921,доллар,dollar
424,аткарылган,done
242,кыла албайт,don’t
324,эшик,door
948,эки эсе көп,double
196,төмөн,down
238,тартуу,draw
938,түш,dream
677,көйнөк,dress
885,ичүү,drink
426,кубалоо,drive
539,тамчы,drop
377,кургак,dry
876,өрдөк,duck
456,убагында,during
49,ар бир,each
651,кулак,ear
461,эрте,early
99,жер,earth
284,тынчылык,ease
397,чыгыш,east
255,жеш,eat
581,чет,edge
789,таасири,effect
506,жумуртка,egg
702,сегиз,eight
721,же,either
790,электрдик,electric
770,элемент,element
652,дагы,else
60,бир мезгилдин акырына карата,end
883,душман,enemy
501,энергия,energy
545,машина,engine
301,жетишет,enough
834,кирүү,enter
639,бирдей,equal
386,өмүрү,equate
915,айрыкча,especially
69,"ал тургай,",even
939,кечинде,evening
958,окуя,event
308,дайыма,ever
120,ар бир,every
607,так,exact
283,мисал,example
613,тышкары,except
747,козгоо,excite
563,көнүгүү,exercise
791,күтүү,expect
925,тажрыйба,experience
688,тажрыйба,experiment
222,көз,eye
271,бет,face
449,чындык,fact
645,туура,fair
407,түшөт,fall
318,үй-бүлө,family
820,атактуу,famous
236,алыс,far
230,чарба,farm
467,орозо,fast
863,май,fat
100,ата,father
858,пайда,favor
823,коркунуч,fear
941,тамактануу,feed
312,сезүү,feel
298,буттары,feet
642,төмөндөдү,fell
534,сезип,felt
249,бир нече,few
419,талаа,field
916,анжыр,fig
744,салгылаш,fight
415,көрсөткүч,figure
396,толтуруу,fill
432,акыркы,final
200,табуу,find
404,айып,fine
741,манжа,finger
593,бүтүрүү,finish
339,от,fire
193,алгачкы,first
260,балык,fish
643,туура,fit
458,беш,five
694,жалпак,flat
720,кабат,floor
644,агуу,flow
596,гүл,flower
406,учуу,fly
76,ээрчүү,follow
216,тамак-аш,food
366,таман,foot
7,үчүн,for
358,күч,force
552,токой,forest
130,түрү,form
922,алдыга,forward
207,табылган,found
218,төрт,four
551,бөлчөк,fraction
440,бекер,free
836,жаңы,fresh
257,дос,friend
17,чейин,from
429,алдыңкы,front
755,жемиш,fruit
357,толук,full
586,тамаша,fun
384,оюн,game
638,бакча,garden
588,газ,gas
980,жыйноо,gather
433,берди,gave
526,жалпы,general
798,жумшак,gentle
106,алуу,get
303,кыз,girl
123,берүү,give
864,бактылуу,glad
577,айнек,glass
179,"барып,",go
373,алтын,gold
599,кетти,gone
121,жакшы,good
281,турду,got
496,башкаруу,govern
535,улуу,grand
578,чөп,grass
990,боз,gray
132,абдан жакшы,great
434,жашыл,green
629,өстү,grew
464,жер,ground
286,группа,group
210,өсүү,grow
801,баамдоо,guess
924,жетектөө,guide
840,курал,gun
28,бар болчу,had
717,чач,hair
336,жарым,half
64,кол,hand
332,эмне,happen
594,бактылуу,happy
231,катуу,hard
174,элек,has
953,калпак,hat
15,бар,have
5,ал,he
201,баш,head
265,угуу,hear
451,уккан,heard
540,жүрөк,heart
390,ысык,heat
543,оор,heavy
716,өткөрдүк,held
135,жардам,help
167,анын,her
71,бул жерде,here
74,бийик,high
724,дөбө,hill
172,анын,him
3,анын,his
788,тарых,history
771,даражасы:,hit
462,кармоо,hold
699,тешик,hole
62,үй,home
595,үмүт,hope
266,ат,horse
19,ысык,hot
387,ысык,hot
453,саат,hour
87,үй,house
46,кантип,how
918,абдан чоң,huge
787,адам,human
457,жүз,hundred
502,аң уулоо,hunt
828,шашуу,hurry
2,мен,i
527,муз,ice
259,ой,idea
44,эгер,if
794,элестетүү,imagine
34,боюнча,in
351,дюйм,inch
531,кирет,include
783,көрсөтүү,indicate
742,өнөр жай,industry
780,курт-кумурска,insect
877,көз ирмем,instant
575,аспап,instrument
465,пайыздык,interest
970,ойлоп,invent
691,темир,iron
24,болуп саналат,is
365,арал,island
25,ал,it
580,иш,job
617,кошулуу,join
570,кубаныч,joy
700,секирүү,jump
129,так,just
221,кармоо,keep
576,сакталат,kept
690,ачкыч,key
657,өлтүрүү,kill
84,түр,kind
349,падыша,king
344,билген,knew
189,билүү,know
621,айым,lady
659,көл,lake
70,жер,land
399,тил,language
66,чоң,large
224,акыркы,last
240,кеч,late
379,күлүү,laugh
730,мыйзам,law
482,жатты,lay
408,жетектөө,lead
213,үйрөнүү,learn
610,эң кичине,least
321,калтыруу,leave
929,алып келди,led
239,сол,left
562,бут,leg
516,узундук,length
474,азыраак,less
225,жол,let
293,кат,letter
978,деңгээл,level
745,калп,lie
248,жашоо,life
848,көтөргүч,lift
83,жарык,light
164,сыяктуу,like
137,сызык,line
894,суюктук,liquid
310,тизме,list
470,угуу,listen
113,кичине,little
109,жашоо,live
777,жайгаштыруу,locate
895,журналы,log
561,жалгыз,lone
168,узун,long
175,кароо,look
635,жоголгон,lost
687,көп,lot
662,катуу,loud
487,сүйүү,love
136,төмөн,low
411,машина,machine
108,жасалган,made
909,магнит,magnet
273,негизги,main
835,майор,major
169,жасоо,make
116,адам,man
159,көп,many
493,карта,map
291,белги,mark
878,базар,market
932,массалык маалымат,mass
851,кожоюн,master
913,мелдеш,match
550,буюм,material
528,зат,matter
195,май,may
122,мага,me
142,деген,mean
896,билдирген,meant
323,ченөө,measure
817,эт,meat
704,жолугуу,meet
601,мелодия,melody
80,эркектер,men
709,метал,metal
672,ыкма,method
656,орто,middle
233,күч,might
295,миля,mile
670,сүт,milk
591,миллион,million
444,акыл-эс,mind
832,кен,mine
441,мүнөт,minute
388,кечигүү,miss
631,аралаштыруу,mix
769,азыркы,modern
987,молекуласы,molecule
660,ирмем,moment
489,акча,money
590,ай,month
364,ай,moon
176,дагы,more
475,эртең менен,morning
185,көпчүлүк,most
94,эне,mother
892,кыймыл,motion
566,тоосунда,mount
261,тоо,mountain
606,ооз,mouth
144,жылуу,move
141,көп,much
352,көп,multiply
288,музыка,music
72,керек,must
187,менин,my
126,ысым,name
668,улут,nation
748,жаратылыш,natural
889,жаратылыш,nature
96,жанында,near
802,керектүү,necessary
900,моюн,neck
86,керек,need
806,коңшу,neighbor
223,эч качан,never
102,жаңы,new
277,кийинки,next
246,түн,night
975,тогуз,nine
184,жок,no
977,ызы-чуу,noise
767,түш маалы,noon
947,"да,",nor
250,түндүк,north
996,мурун,nose
412,эскертүү,note
353,эч нерсе,nothing
499,билдирүү,notice
418,зат атооч,noun
199,азыр,now
182,сан,number
328,сан атооч,numeral
360,зат,object
664,сактоо,observe
886,пайда болушу,occur
438,океан,ocean
30,боюнча,of
85,өчүрүү,off
873,сунуш,offer
603,кызматы,office
292,көп,often
626,май,oil
147,карыган,old
8,боюнча,on
263,бир жолу,once
14,бир,one
435,пияз,onion
114,гана,only
274,ачык,open
760,иштөө,operate
963,карама каршы,opposite
27,же,or
338,тартип,order
673,орган,organ
865,баштапкы,original
38,башка,other
124,биздин,our
37,чыккан,out
188,үстүндө,over
203,өз,own
901,кычкылтек,oxygen
204,бет,page
398,боек,paint
530,жуп,pair
285,кагаз,paper
713,абзац,paragraph
853,ата-эне,parent
104,бөлүк,part
959,"атап айтканда,",particular
774,партия,party
345,өтүү,pass
584,өткөн,past
893,жол,path
484,узор,pattern
674,төлөө,pay
186,эл,people
510,"балким,",perhaps
782,мезгил,period
488,адам,person
734,түрмөк,phrase
511,чогултуу,pick
88,сүрөт,picture
342,үзүм,piece
930,чымкый,pitch
107,орун,place
302,ачык,plain
414,план,plan
375,учак,plane
827,планета,planet
214,өсүмдүк,plant
58,ойноо,play
765,өтүнөмүн,please
997,көптөгөн,plural
813,ыр,poem
93,чекит,point
686,жарды,poor
880,толтуруш,populate
65,порт,port
320,поза,pose
546,абал,position
374,мүмкүн болгон,possible
860,кызмат,post
423,фунт,pound
402,кубат,power
761,практика,practice
994,даярдоо,prepare
542,азыркы,present
244,басма сөз,press
904,сулуу,pretty
842,басма,print
503,мүмкүн болгон,probable
341,маселе,problem
759,тартиби,process
448,чыгаруу,produce
325,продукт,product
871,ылайык,proper
985,мүлк,property
766,коргоо,protect
560,далилдөө,prove
795,камсыз кылуу,provide
497,тартуу,pull
711,түртүү,push
61,коюу,put
974,өлчөм,quart
331,суроо,question
436,ылдам,quick
680,тынч,quiet
653,абдан,quite
897,болуп саналат,quotient
554,тукум,race
784,радио,radio
793,тосмо,rail
494,жаан,rain
707,көтөрүү,raise
382,чуркап,ran
890,кырка,range
809,"эмес,",rather
466,жетүү,reach
63,окуу,read
306,даяр,ready
247,чын,real
515,акыл,reason
604,кабыл алуу,receive
370,жазуу,record
309,кызыл,red
520,регион,region
459,эстөө,remember
991,кайтолоо,repeat
884,жооп,reply
517,билдирет,represent
992,талап кылуу,require
420,эс алуу,rest
722,жыйынтык,result
756,бай,rich
507,жүрүү,ride
145,туура,right
778,шакек,ring
623,көтөрүлүү,rise
296,дарыя,river
492,жол,road
337,аска,rock
739,айландыруу,roll
256,бөлмө,room
705,тамыр,root
935,аркан,rope
840,роза,rose
115,тегерек,round
605,катар,row
818,руб,rub
495,бийлик,rule
241,нускасы:,run
725,аман-эсен,safe
47,мындай деди:,said
549,парус менен жүрүү,sail
995,туз,salt
149,ошондой,same
737,кум,sand
572,sat,sat
648,куткаруу,save
235,араа,saw
134,айтуу,say
661,масштабы,scale
209,мектеп,school
254,илим,science
926,упай,score
237,деңиз,sea
837,издөө,search
907,сезону,season
949,отургуч,seat
300,экинчи,second
676,бөлүк,section
171,көрүү,see
615,тукум,seed
275,көрүнүшү,seem
874,кесинди,segment
988,тандоо,select
98,өз алдынча башкаруу,self
954,сатуу,sell
838,жиберүү,send
750,сезим,sense
640,жөнөтүлдү,sent
131,сүйлөм,sentence
762,бөлүнгөн,separate
490,кызмат кылуу,serve
52,коюлган,set
523,чечүү,settle
712,жети,seven
478,бир топ,several
715,милдеттүү,shall
385,келбет,shape
866,үлүшү,share
803,курч,sharp
150,ал,she
856,барак,sheet
899,жумуртканын кабыгы,shell
984,жарык,shine
334,кеме,ship
965,бут кийим,shoe
981,дүкөн,shop
854,жээк,shore
327,кыска,short
205,керек,should
966,ийин,shoulder
612,кыйкыруу,shout
119,көрсөтүү,show
197,жак,side
284,көрүш,sight
582,белги,sign
735,үнсүз,silent
910,күмүш,silver
