number,bosnian,english
33,a,a
422,u stanju,able
158,oko,about
307,iznad,above
77,čin,act
68,dodati,add
917,strah,afraid
111,nakon,after
91,opet,again
483,protiv,against
675,starost,age
381,prije,ago
796,slažu,agree
55,zraka,air
151,sve,all
841,omogućiti,allow
57,također,also
287,uvijek,always
541,am,am
400,među,among
48,an,an
32,i,and
998,bes,anger
92,životinja,animal
208,odgovor,answer
101,bilo koji,any
491,pojavljuju,appear
927,apple,apple
9,su,are
335,području,area
547,ruku,arm
968,organizirati,arrange
850,doći,arrive
518,art,art
1,kao,as
79,pitati,ask
13,u,at
786,atom,atom
701,baby,baby
112,natrag,back
624,loše,bad
536,lopta,ball
934,band,band
646,banke,bank
872,bar,bar
264,baza,base
944,osnovni,basic
808,šišmiš,bat
12,biti,be
592,snositi,bear
746,tukli,beat
425,ljepote,beauty
504,krevet,bed
198,bilo,been
143,prije,before
258,počela,began
280,počinje,begin
445,iza,behind
509,vjeruju,believe
815,bell,bell
452,najbolji,best
454,bolje,better
219,između,between
73,velika,big
314,ptica,bird
731,bit,bit
326,black,black
951,blok,block
627,krvi,blood
625,udarac,blow
359,blue,blue
569,board,board
371,boat,boat
316,tijelo,body
792,kosti,bone
251,knjiga,book
972,born,born
290,oba,both
689,dnu,bottom
928,kupio,bought
417,box,box
146,boy,boy
912,ogranak,branch
869,kruh,bread
620,break,break
587,svijetle,bright
393,donijeti,bring
993,široko,broad
654,slomio,broke
505,brata,brother
389,donio,brought
636,smeđe,brown
97,graditi,build
723,burn,burn
368,zauzet,busy
21,ali,but
706,kupiti,buy
18,po,by
192,call,call
118,došao,came
969,kamp,camp
36,moći,can
751,kapitala,capital
800,kapetan,captain
297,auto,car
933,karticu,card
299,njegu,care
252,nose,carry
655,slučaju,case
726,cat,cat
565,catch,catch
781,uhvaćen,caught
140,uzrok,cause
508,cell,cell
630,cent,cent
486,centar,center
727,stoljeća,century
405,određene,certain
753,stolica,chair
979,šanse,chance
81,promjene,change
779,karakter,character
870,napunite,charge
952,grafikon,chart
383,provjeriti,check
881,chick,chick
829,glavni,chief
665,dijete,child
279,djecu,children
641,odaberite,choose
862,akord,chord
529,krug,circle
227,grad,city
999,tvrdnja,claim
329,klase,class
619,clean,clean
446,jasno,clear
683,penjanje,climb
831,sat,clock
245,close,close
597,odijevanje,clothe
678,cloud,cloud
732,obale,coast
931,kaput,coat
498,hladno,cold
647,prikuplja,collect
830,kolonija,colony
270,u boji,color
986,kolonu,column
180,dolaze,come
372,zajedničke,common
956,društva,company
812,usporediti,compare
333,potpune,complete
940,stanje,condition
859,povezivanje,connect
728,razmotriti,consider
667,suglasnik,consonant
428,sadrže,contain
1000,kontinenta,continent
950,nastavljaju,continue
649,kontrole,control
719,kuvarica,cook
684,cool,cool
733,kopija,copy
811,kukuruz,corn
773,kutak,corner
421,ispravan,correct
634,troškova,cost
971,pamuk,cotton
178,mogao,could
513,računati,count
206,zemlja,country
354,naravno,course
215,poklopac,cover
579,krava,cow
698,gužvanja,crease
805,stvoriti,create
768,crop,crop
229,prelaze,cross
810,publika,crowd
409,cry,cry
847,struja,current
267,cut,cut
868,tata,dad
544,ples,dance
754,opasnosti,danger
410,dark,dark
177,dan,day
843,mrtav,dead
960,dogovor,deal
882,drag,dear
903,smrt,death
361,odlučiti,decide
650,decimalni,decimal
363,duboko,deep
879,stupanj,degree
816,zavisi,depend
718,opisuju,describe
845,pustinja,desert
685,dizajn,design
973,odredi,determine
437,razvijaju,develop
669,rječnik,dictionary
181,učinio,did
609,umrijeti,die
138,razlikuju,differ
763,težak,difficult
319,direktna,direct
921,razgovarati,discuss
395,udaljene,distant
532,divide,divide
855,division,division
41,do,do
764,doktor,doctor
51,radi,does
317,pas,dog
921,dolara,dollar
424,gotovo,done
242,ne,don’t
324,vrata,door
948,double,double
196,down,down
238,izvući,draw
938,sanjati,dream
677,dress,dress
885,piće,drink
426,pogon,drive
539,drop,drop
377,suho,dry
876,duck,duck
456,vrijeme,during
49,svaka,each
651,uho,ear
461,rano,early
99,earth,earth
