number,haitian,english
33,yon,a
422,kapab,able
158,sou,about
307,pi wo a,above
77,zak,act
68,ajoute,add
917,pè,afraid
111,apre,after
91,ankò,again
483,kont,against
675,laj,age
381,de sa,ago
796,dakò,agree
55,lè,air
151,tout,all
841,pèmèt,allow
57,tou,also
287,toujou,always
541,menm,am
400,nan mitan,among
48,yon,an
32,ak,and
998,kòlè,anger
92,bèt,animal
208,repons,answer
101,nenpòt ki,any
491,parèt,appear
927,pòm,apple
9,yo se,are
335,zòn,area
547,bra,arm
968,fè aranjman pou,arrange
850,rive,arrive
518,atizay,art
1,kòm,as
79,mande,ask
13,nan,at
786,atòm,atom
701,ti bebe,baby
112,tounen,back
624,move,bad
536,boul,ball
934,bann,band
646,bank,bank
872,bar,bar
264,baz,base
944,debaz,basic
808,baton,bat
12,gen,be
592,pote,bear
746,bat,beat
425,bote,beauty
504,kabann,bed
198,te,been
143,anvan,before
258,te kòmanse,began
280,kòmanse,begin
445,dèyè,behind
509,kwè,believe
815,klòch,bell
452,pi bon,best
454,pi bon,better
219,ant,between
73,gwo,big
314,zwazo,bird
731,ti jan,bit
326,nwa,black
951,blòk,block
627,san,blood
625,souflèt,blow
359,ble,blue
569,tablo,board
371,bato,boat
316,kò,body
792,zo,bone
251,liv,book
972,li te fèt,born
290,tou de,both
689,anba,bottom
928,te achte,bought
417,bwat,box
146,ti gason,boy
912,branch,branch
869,pen,bread
620,repo,break
587,klere,bright
393,pote,bring
993,laj,broad
654,kase,broke
505,frè,brother
389,mennen l ’,brought
636,mawon,brown
97,bati,build
723,boule,burn
368,okipe,busy
21,men,but
706,achte,buy
18,pa,by
192,apèl,call
118,te vin,came
969,kan,camp
36,kapab,can
751,kapital,capital
800,kòmandan,captain
297,machin,car
933,kat,card
299,swen,care
252,pote,carry
655,ka,case
726,chat,cat
565,trape,catch
781,kenbe,caught
140,kòz,cause
508,selil,cell
630,santim,cent
486,sant,center
727,syèk,century
405,sèten,certain
753,chèz,chair
979,chans,chance
81,chanjman,change
779,karaktè,character
870,chaje,charge
952,tablo,chart
383,tcheke,check
881,chick,chick
829,chèf,chief
665,pitit,child
279,timoun,children
641,chwazi,choose
862,kòd,chord
529,sèk,circle
227,vil la,city
999,reklamasyon,claim
329,klas,class
619,pwòp,clean
446,klè,clear
683,grenpe,climb
831,revèy,clock
245,fèmen,close
597,abiye,clothe
678,nwaj,cloud
732,kòt,coast
931,rad,coat
498,frèt,cold
647,kolekte,collect
830,koloni,colony
270,koulè,color
986,kolòn,column
180,vini,come
372,komen,common
956,konpayi,company
812,konpare,compare
333,konplè,complete
940,kondisyon,condition
859,konekte,connect
728,konsidere,consider
667,konsòn,consonant
428,gen ladan,contain
1000,kontinan,continent
950,kontinye,continue
649,kontwòl,control
719,kwit manje,cook
684,fre,cool
733,kopi,copy
811,mayi,corn
773,kwen,corner
421,kòrèk,correct
634,pri,cost
971,koton,cotton
178,te kapab,could
513,konte,count
206,peyi,country
354,kou,course
215,kouvèti,cover
579,bèf,cow
698,pli,crease
805,kreye,create
768,rekòt,crop
229,travèse,cross
810,foul moun,crowd
409,rèl,cry
847,aktyèl,current
267,koupe,cut
868,papa,dad
544,dans,dance
754,danje,danger
410,fè nwa,dark
177,jou,day
843,mouri,dead
960,kontra,deal
882,mwen renmen anpil,dear
903,lanmò,death
361,deside,decide
650,desimal,decimal
363,gwo twou san fon,deep
879,degre,degree
816,depann,depend
718,dekri,describe
845,dezè,desert
685,konsepsyon,design
973,detèmine,determine
437,devlope,develop
669,diksyonè,dictionary
181,te fè,did
609,mouri,die
138,diferan,differ
763,difisil,difficult
319,dirèk,direct
921,diskite sou,discuss
395,byen lwen,distant
532,divize,divide
855,divizyon,division
41,fè,do
764,doktè,doctor
51,fè,does
317,chen,dog
921,dola,dollar
424,fè a,done
242,pa fè sa,don’t
324,pòt,door
948,doub,double
196,desann,down
238,trase,draw
938,rèv,dream
677,rad,dress
885,bwè,drink
426,kondwi,drive
539,gout,drop
377,sèk,dry
876,kanna,duck
456,pandan,during
49,chak,each
651,zòrèy,ear
461,byen bonè,early
99,latè,earth
284,fasilite,ease
397,bò solèy leve,east
255,manje,eat
581,kwen,edge
789,efè,effect
506,ze,egg
702,uit,eight
721,swa,either
790,elektrik,electric
770,eleman,element
652,lòt moun,else
60,fen,end
883,lènmi,enemy
501,enèji,energy
545,motè,engine
301,ase,enough
834,antre nan,enter
639,egal,equal
386,egalize,equate
915,espesyalman,especially
69,menm,even
939,aswè,evening
958,evènman,event
308,tout tan tout tan,ever
120,chak,every
607,egzak,exact
283,egzanp,example
613,eksepte,except
747,motive,excite
563,fè egzèsis,exercise
791,espere,expect
925,eksperyans,experience
688,eksperyans,experiment
222,je,eye
271,figi,face
449,reyalite,fact
645,ki jis,fair
407,tonbe,fall
318,fanmi,family
820,pi popilè,famous
236,byen lwen,far
230,fèm,farm
467,vit,fast
863,grès,fat
100,papa,father
858,favorize,favor
823,pè,fear
941,manje,feed
312,santi,feel
298,pye,feet
642,tonbe,fell
534,te santi,felt
249,kèk,few
419,jaden,field
916,fig frans,fig
744,batay,fight
415,figi,figure
396,ranpli,fill
432,final,final
200,jwenn,find
404,amann,fine
741,dwèt,finger
593,fini,finish
339,dife,fire
193,premye,first
260,pwason,fish
643,anfòm,fit
458,senk,five
694,plat,flat
720,etaj,floor
644,koule,flow
596,flè,flower
406,vole,fly
76,swiv,follow
216,manje,food
366,pye,foot
7,pou,for
358,fòs,force
552,forè,forest
130,fòm,form
922,pou pi devan,forward
207,jwenn,found
218,kat,four
551,fraksyon,fraction
440,gratis,free
836,fre,fresh
