number,turkish,english
33,bir,a
422,yetenekli,able
158,hakkında,about
307,yukarıdaki,above
77,hareket,act
68,ekleyin,add
917,korkuyor,afraid
111,sonra,after
91,tekrar,again
483,karşı,against
675,yaş,age
381,önce,ago
796,katılıyorum,agree
55,hava,air
151,tüm,all
841,izin,allow
57,ayrıca,also
287,her zaman,always
541,duyuyorum,am
400,arasında,among
48,bir,an
32,ve,and
998,öfke,anger
92,hayvan,animal
208,cevap,answer
101,herhangi bir,any
491,görünür,appear
927,elma,apple
9,vardır,are
335,alan,area
547,kol,arm
968,düzenlemek,arrange
850,varmak,arrive
518,sanat,art
1,olarak,as
79,sormak,ask
13,at,at
786,atomudur,atom
701,bebek,baby
112,geri,back
624,kötü,bad
536,top,ball
934,bant,band
646,banka,bank
872,bar,bar
264,baz,base
944,temel,basic
808,yarasa,bat
12,olmak,be
592,ayı,bear
746,yendi,beat
425,güzellik,beauty
504,yatak,bed
198,oldu,been
143,önce,before
258,başladı,began
280,başla,begin
445,arkasında,behind
509,inanıyorum,believe
815,çan,bell
452,en iyi,best
454,daha iyi,better
219,arasında,between
73,büyük,big
314,kuş,bird
731,bit,bit
326,siyah,black
951,bloğu,block
627,kan,blood
625,darbe,blow
359,mavi,blue
569,kurulu,board
371,tekne,boat
316,vücut,body
792,kemik,bone
251,kitap,book
972,doğmuş,born
290,her ikisi de,both
689,alt,bottom
928,satın aldı,bought
417,kutu,box
146,çocuk,boy
912,şube,branch
869,ekmek,bread
620,molası,break
587,parlak,bright
393,getirmek,bring
993,geniş,broad
654,kırdı,broke
505,kardeş,brother
389,getirdi,brought
636,kahverengi,brown
97,inşa etmek,build
723,yanmak,burn
368,meşgul,busy
21,ancak,but
706,satın,buy
18,tarafından,by
192,çağrı,call
118,geldi,came
969,kamp,camp
36,can,can
751,sermaye,capital
800,kaptan,captain
297,araba,car
933,kart,card
299,bakım,care
252,taşımak,carry
655,dava,case
726,kedi,cat
565,catch,catch
781,yakalandı,caught
140,neden,cause
508,hücre,cell
630,yüzde,cent
486,merkezi,center
727,yüzyıl,century
405,belirli,certain
753,sandalye,chair
979,şans,chance
81,değişim,change
779,karakter,character
870,şarj,charge
952,grafiği,chart
383,kontrol,check
881,civciv,chick
829,baş,chief
665,çocuk,child
279,çocuk,children
641,seçim,choose
