number,odia_(oriya),english
33,a,a
422,ସକ୍ଷମ,able
158,ବିଷୟରେ,about
307,ଉପରେ,above
77,କାର୍ଯ୍ୟ କର,act
68,ଯୋଡନ୍ତୁ |,add
917,ଭୟ,afraid
111,ପରେ,after
91,ପୁନର୍ବାର,again
483,ବିପକ୍ଷରେ,against
675,ବୟସ,age
381,ପୂର୍ବରୁ,ago
796,ସହମତ,agree
55,ବାୟୁ,air
151,ସମସ୍ତ,all
841,ଅନୁମତି ଦିଅନ୍ତୁ |,allow
57,ଆହୁରି ମଧ୍ୟ |,also
287,ସବୁବେଳେ,always
541,ମୁଁ,am
400,ମଧ୍ୟରେ |,among
48,an,an
32,ଏବଂ,and
998,କ୍ରୋଧ,anger
92,ପଶୁ,animal
208,ଉତ୍ତର ଦିଅ,answer
101,ଯେକ any ଣସି,any
491,ଦେଖାଯାଏ |,appear
927,ଆପଲ୍,apple
9,ହେଉଛି |,are
335,କ୍ଷେତ୍ର,area
547,ବାହୁ,arm
968,ବ୍ୟବସ୍ଥା କର |,arrange
850,ପହଞ୍ଚ,arrive
518,କଳା,art
1,ଯେପରି,as
79,ପଚାର |,ask
13,at,at
786,ପରମାଣୁ,atom
701,ଶିଶୁ,baby
112,ପଛକୁ,back
624,ଖରାପ,bad
536,ବଲ୍,ball
934,ବ୍ୟାଣ୍ଡ,band
646,ବ୍ୟାଙ୍କ,bank
872,ଦଣ୍ଡିକା,bar
264,ଆଧାର,base
944,ମ basic ଳିକ,basic
808,ବ୍ୟାଟ୍,bat
12,ହୁଅ,be
592,ଭାଲୁ,bear
746,beat,beat
425,ସ beauty ନ୍ଦର୍ଯ୍ୟ,beauty
504,ଶଯ୍ୟା,bed
198,ହୋଇସାରିଛି |,been
143,ପୂର୍ବରୁ,before
258,ଆରମ୍ଭ ହେଲା |,began
280,ଆରମ୍ଭ କର |,begin
445,ପଛରେ,behind
509,ବିଶ୍ୱାସ କର,believe
815,ଘଣ୍ଟି,bell
452,ସର୍ବୋତ୍ତମ,best
454,ଭଲ,better
219,ମଧ୍ୟରେ,between
73,ବଡ,big
314,ପକ୍ଷୀ,bird
731,ବିଟ୍,bit
326,କଳା,black
951,ବ୍ଲକ,block
627,ରକ୍ତ,blood
625,blow ଟକା,blow
359,ନୀଳ,blue
569,ବୋର୍ଡ,board
371,ଡଙ୍ଗା,boat
316,ଶରୀର,body
792,ହାଡ,bone
251,ପୁସ୍ତକ,book
972,ଜନ୍ମ,born
290,ଉଭୟ,both
689,ତଳ,bottom
928,କିଣିଛି,bought
417,ବାକ୍ସ,box
146,ପୁଅ,boy
912,ଶାଖା,branch
869,ରୁଟି |,bread
620,ବ୍ରେକ୍,break
587,ଉଜ୍ଜ୍ୱଳ,bright
393,ଆଣ |,bring
993,ପ୍ରଶସ୍ତ |,broad
654,ଭାଙ୍ଗିଗଲା |,broke
505,ଭାଇ,brother
389,ଆଣିଲା |,brought
636,ବାଦାମୀ,brown
97,ନିର୍ମାଣ,build
723,ଜଳ,burn
368,ବ୍ୟସ୍ତ,busy
21,କିନ୍ତୁ,but
706,କିଣ |,buy
18,ଦ୍ .ାରା,by
192,କଲ୍ କରନ୍ତୁ |,call
118,ଆସିଲା,came
969,ଶିବିର,camp
36,କରିପାରିବେ |,can
751,ପୁଞ୍ଜି,capital
800,ଅଧିନାୟକ,captain
297,କାର,car
933,କାର୍ଡ,card
299,ଯତ୍ନ,care
252,ବହନ କର,carry
655,କେସ୍,case
726,ବିଲେଇ,cat
565,ଧର,catch
781,ଧରାପଡିଛି |,caught
140,କାରଣ,cause
508,କକ୍ଷ,cell
630,ଶତକଡା,cent
