number,arabic,english
33,و,a
422,قادرة,able
158,حول,about
307,فوق,above
77,فعل,act
68,إضافة,add
917,خائف,afraid
111,بعد,after
91,مرة أخرى,again
483,ضد,against
675,العمر,age
381,منذ,ago
796,توافق,agree
55,هواء,air
151,كل,all
841,السماح,allow
57,أيضا,also
287,دائما,always
541,صباحا,am
400,بين,among
48,و,an
32,و,and
998,غضب,anger
92,الحيوان,animal
208,الجواب,answer
101,أي,any
491,تظهر,appear
927,تفاحة,apple
9,هي,are
335,منطقة,area
547,الذراع,arm
968,رتب,arrange
850,وصول,arrive
518,فن,art
1,كما,as
79,تطلب,ask
13,في,at
786,ذرة,atom
701,طفل,baby
112,ظهر,back
624,سيئة,bad
536,كرة,ball
934,فرقة,band
646,البنك,bank
872,شريط,bar
264,قاعدة,base
944,الأساسية,basic
808,خفاش,bat
12,يكون,be
592,تحمل,bear
746,فوز,beat
425,الجمال,beauty
504,قاع,bed
198,كان,been
143,قبل,before
258,بدأ,began
280,بدأ,begin
445,خلف,behind
509,اعتقد,believe
815,جرس,bell
452,أفضل,best
454,أفضل,better
219,بين,between
73,كبير,big
314,طائر,bird
731,لقمة,bit
326,أسود,black
951,كتلة,block
627,الدم,blood
625,ضربة,blow
359,الأزرق,blue
569,مجلس الإدارة,board
371,قارب,boat
316,هيئة,body
792,العظام,bone
251,كتاب,book
972,الولادة,born
290,كلا,both
689,أسفل,bottom
928,اشترى,bought
417,صندوق,box
146,صبي,boy
912,فرع,branch
869,الخبز,bread
620,استراحة,break
587,مشرق,bright
393,جلب,bring
993,واسع,broad
654,حطم,broke
505,شقيق,brother
389,جلبت,brought
636,أسمر,brown
97,بناء,build
723,حرق,burn
368,مشغول,busy
21,لكن,but
706,شراء,buy
18,بواسطة,by
192,دعوة,call
118,جاء,came
969,مخيم,camp
36,علبة,can
751,العاصمة,capital
800,نقيب,captain
297,سيارة,car
933,بطاقة,card
299,الرعاية,care
252,حمل,carry
655,حالة,case
726,القط,cat
565,مزلاج,catch
781,اشتعلت,caught
140,السبب,cause
508,خلية,cell
630,المائة,cent
486,مركز,center
727,القرن,century
405,معين,certain
753,كرسي,chair
979,فرصة,chance
81,تغيير,change
779,حرف,character
870,تهمة,charge
952,جدول,chart
383,تحقق,check
881,كتكوت,chick
829,رئيس,chief
665,طفل,child
279,الأطفال,children
641,اختيار,choose
862,وتر,chord
529,دائرة,circle
227,المدينة,city
999,مطالبة,claim
329,الفئة,class
619,نظيف,clean
446,واضح,clear
683,تسلق,climb
831,على مدار الساعة,clock
245,قريب,close
597,كسا,clothe
678,سحابة,cloud
732,الساحل,coast
931,معطف,coat
498,بارد,cold
647,جمع,collect
830,مستعمرة,colony
270,لون,color
986,عمود,column
180,جاء,come
372,مشترك,common
956,شركة,company
812,مقارنة,compare
333,كاملة,complete
940,حالة,condition
859,اتصال,connect
728,النظر,consider
667,متوافق,consonant
428,تحتوي على,contain
1000,القارة,continent
950,تواصل,continue
649,السيطرة,control
719,طبخ,cook
684,بارد,cool
