number,yoruba,english
33,kan,a
422,anfani,able
158,nipa,about
307,loke,above
77,igbese,act
68,fi,add
917,bẹru,afraid
111,lẹhin,after
91,lẹẹkansi,again
483,lodi si,against
675,ori,age
381,seyin,ago
796,gba,agree
55,air,air
151,gbogbo,all
841,gba,allow
57,tun,also
287,nigbagbogbo,always
541,emi,am
400,laarin,among
48,ohun,an
32,ati ki o,and
998,ibinu,anger
92,eranko,animal
208,idahun,answer
101,eyikeyi,any
491,han,appear
927,apu,apple
9,ni o wa,are
335,agbegbe,area
547,apa,arm
968,seto,arrange
850,de,arrive
518,aworan,art
1,bi,as
79,beere,ask
13,ni,at
786,atomu,atom
701,omo,baby
112,pada,back
624,buburu,bad
536,rogodo,ball
934,iye,band
646,banki,bank
872,igi,bar
264,mimọ,base
944,ipilẹ,basic
808,adan,bat
12,ki o wa ni,be
592,jẹri,bear
746,lu,beat
425,ẹwa,beauty
504,ibusun,bed
198,ti,been
143,ki o to,before
258,bẹrẹ,began
280,bẹrẹ,begin
445,sile,behind
509,gbagbọ,believe
815,belii,bell
452,ti o dara ju,best
454,dara,better
219,laarin,between
73,nla,big
314,eye,bird
731,bit,bit
326,dudu,black
951,àkọsílẹ,block
627,ẹjẹ,blood
625,fe,blow
359,bulu,blue
569,ọkọ,board
371,ọkọ,boat
316,ara,body
792,egungun,bone
251,iwe,book
972,bí,born
290,mejeeji,both
689,isalẹ,bottom
928,ra,bought
417,apoti,box
146,ọmọkunrin,boy
912,ti eka,branch
869,akara,bread
620,bireki,break
587,imọlẹ,bright
393,mu,bring
993,ọrọ,broad
654,bu,broke
505,arakunrin,brother
389,mu,brought
636,brown,brown
97,kọ,build
723,iná,burn
368,o nšišẹ,busy
21,ṣugbọn,but
706,ra,buy
18,nipa,by
192,ipe,call
118,wá,came
969,ibudó,camp
36,le,can
751,olu,capital
800,olori,captain
297,ayọkẹlẹ,car
933,kaadi,card
299,itọju,care
252,gbe,carry
655,nla,case
726,o nran,cat
565,apeja,catch
781,mu,caught
140,fa,cause
508,alagbeka,cell
630,ogorun,cent
486,aarin,center
727,orundun,century
405,awọn,certain
753,alaga,chair
979,anfani,chance
81,ayipada,change
779,ohun kikọ,character
870,gba agbara si,charge
952,chart,chart
383,ṣayẹwo,check
881,adiye,chick
829,olori,chief
665,ọmọ,child
279,ọmọ,children
641,yan,choose
862,okun,chord
529,oruka,circle
227,ilu,city
999,beere,claim
329,kilasi,class
619,o mọ,clean
446,ko o,clear
683,ngun,climb
831,aago,clock
245,sunmọ,close
597,wọ,clothe
678,awọsanma,cloud
732,etikun,coast
931,ndan,coat
498,tutu,cold
647,gba,collect
830,ileto,colony
270,awọ,color
986,iwe,column
180,wa,come
372,wọpọ,common
956,ile,company
812,afiwe,compare
333,pari,complete
940,majemu,condition
859,sopọ,connect
728,ro,consider
667,consonant,consonant
428,ni awọn,contain
1000,afirika,continent
950,tesiwaju,continue
649,iṣakoso,control
719,jado,cook
684,itura,cool
733,daakọ,copy
811,agbado,corn
773,igun,corner
421,o tọ,correct
634,iye owo,cost
971,owu,cotton
178,le,could
513,ka,count
206,orilẹ-ede,country
354,dajudaju,course
215,ideri,cover
579,maalu,cow
698,jinjin,crease
805,ṣẹda,create
768,irugbin na,crop
229,kọjá,cross
810,enia,crowd
409,igbe,cry
847,lọwọlọwọ,current
267,ge,cut
868,baba,dad
544,ijó,dance
754,ijamba,danger
410,dudu,dark
177,ọjọ,day
843,okú,dead
960,ti yio se,deal
882,ọwọn,dear
903,iku,death
361,pinnu,decide
650,eleemewa,decimal
363,jin,deep
879,ìyí,degree
816,da,depend
718,apejuwe,describe
845,asale,desert
685,oniru,design
973,mọ,determine
437,se agbekale,develop
669,itumọ,dictionary
181,ṣe,did
609,kú,die
138,yato,differ
763,soro,difficult
319,taara,direct
921,ọrọ,discuss
395,o jina,distant
532,pin,divide
855,pipin,division
41,ṣe,do
764,dokita,doctor
51,wo ni,does
317,aja,dog
921,dola,dollar
424,ṣee,done
242,se ko,don’t
324,ilekun,door
948,ė,double
196,si isalẹ,down
238,fa,draw
938,ala,dream
677,imura,dress
885,mimu,drink
426,dirafu,drive
539,ju,drop
377,gbẹ,dry
876,pepeye,duck
456,nigba,during
49,kọọkan,each
651,eti,ear
461,tete,early
99,aiye,earth
284,irorun,ease
397,õrùn,east
255,jẹ,eat
581,eti,edge
789,ipa,effect
506,ẹyin,egg
702,mẹjọ,eight
721,boya,either
790,ina-,electric
770,ano,element
652,ohun miiran,else
60,opin,end
883,ọtá,enemy
501,agbara,energy
545,hun,engine
301,to,enough
834,tẹ,enter
639,deede,equal
386,equate,equate
915,paapa,especially
69,ani,even
939,irọlẹ,evening
958,ìṣẹlẹ,event
308,lailai,ever
120,gbogbo,every
607,gangan,exact
283,apẹẹrẹ,example
613,ayafi,except
747,ṣojulọyin,excite
563,idaraya,exercise
791,reti,expect
925,iriri,experience
688,ṣàdánwò,experiment
222,oju,eye
271,oju,face
449,o daju,fact
645,ẹwà,fair
407,ti kuna,fall
318,ebi,family
820,olokiki,famous
236,jina,far
230,r’oko,farm
467,sare,fast
863,sanra,fat
100,baba,father
858,ojurere,favor
823,iberu,fear
941,kikọ sii,feed
312,lero,feel
298,ẹsẹ,feet
642,subu,fell
534,ro,felt
249,diẹ,few
419,aaye,field
916,eeya,fig
744,ija,fight
415,nọmba rẹ,figure
396,fọwọsi,fill
432,ik,final
200,ri,find
404,o dara,fine
741,ika,finger
593,pari,finish
339,ina,fire
193,akọkọ,first
260,eja,fish
643,dada,fit
458,marun,five
694,alapin,flat
720,pakà,floor
644,ṣàn,flow
596,ododo,flower
406,fly,fly
76,tẹle,follow
216,ounje,food
366,ẹsẹ,foot
7,fun,for
358,agbara,force
552,igbo,forest
130,fọọmu,form
922,siwaju,forward
207,ri,found
218,mẹrin,four
551,ida,fraction
440,free,free
836,alabapade,fresh
257,ọrẹ,friend
17,lati,from
429,iwaju,front
755,eso,fruit
357,ni kikun,full
586,fun,fun
384,ere,game
638,ọgba,garden
588,gaasi,gas
980,kó,gather
433,fun,gave
526,gbogboogbo,general
798,onírẹlẹ,gentle
106,gba,get
303,omobirin,girl
123,fun,give
864,yọ,glad
577,gilasi,glass
179,lọ,go
373,wura,gold
599,lọ,gone
121,ti o dara,good
281,ni,got
496,akoso,govern
535,sayin,grand
578,koriko,grass
990,grẹy,gray
132,nla,great
434,alawọ ewe,green
629,dagba,grew
464,ilẹ,ground
286,ẹgbẹ,group
210,dagba,grow
801,amoro,guess
924,dari,guide
840,ibon,gun
28,ní,had
717,irun,hair
336,idaji,half
64,ọwọ,hand
332,ṣẹlẹ,happen
594,dun,happy
231,lile,hard
174,ni o ni,has
953,ijanilaya,hat
15,ni,have
5,o si,he
201,ori,head
265,gbọ,hear
451,gbọ,heard
540,okan,heart
390,ooru,heat
543,eru,heavy
716,ti o waye,held
135,egba mi o,help
167,rẹ,her
71,nibi,here
74,ga,high
724,òke,hill
172,u,him
3,rẹ,his
788,itan,history
771,lu,hit
462,mu,hold
699,iho,hole
62,ile,home
595,lero,hope
266,ẹṣin,horse
19,gbona,hot
387,gbona,hot
453,wakati,hour
87,ile,house
46,bawo,how
918,tobi,huge
787,eda eniyan,human
457,ọgọrun,hundred
502,sode,hunt
828,nsoro,hurry
2,mo ti,i
527,yinyin,ice
259,agutan,idea
44,ti o ba ti,if
794,fojuinu,imagine
34,ni,in
351,ọwọ,inch
531,ni,include
783,fihan,indicate
742,ile ise,industry
780,kokoro,insect
877,ese,instant
575,irinse,instrument
465,anfani,interest
970,o pilẹ,invent
691,iron,iron
24,ni,is
365,erekusu,island
25,o,it
580,ise,job
617,da,join
570,ayo,joy
700,sí,jump
129,o kan,just
221,pa,keep
576,pa,kept
690,bọtini,key
657,pa,kill
84,iru,kind
349,ọba,king
344,mọ,knew
189,mọ,know
621,iyaafin,lady
659,lake,lake
70,ilẹ,land
399,èdè,language
66,tobi,large
224,kẹhin,last
240,pẹ,late
379,yen,laugh
730,ofin,law
482,dubulẹ,lay
408,yorisi,lead
213,ko,learn
610,o kere,least
321,fi,leave
929,mu,led
239,osi,left
562,ẹsẹ,leg
516,ipari,length
474,ti o kere,less
225,jẹ ki,let
293,lẹta,letter
978,ipele,level
745,luba,lie
248,aye,life
848,gbe,lift
83,ina,light
164,bi,like
137,ila,line
894,omi,liquid
310,akojọ,list
470,gbọ,listen
113,kekere,little
109,gbe,live
777,wa,locate
895,wọle,log
561,daduro,lone
168,gun,long
175,wo,look
635,ti sọnu,lost
687,pupo,lot
662,rara,loud
487,ni ife,love
136,kekere,low
411,ẹrọ,machine
108,ṣe,made
909,oofa,magnet
273,akọkọ,main
835,pataki,major
169,ṣe,make
116,eniyan,man
159,ọpọlọpọ,many
493,agbaye,map
291,aami,mark
878,oja,market
932,ibi,mass
851,titunto si,master
913,baramu,match
550,ohun elo ti,material
528,ọrọ,matter
195,le,may
122,mi,me
142,túmọ,mean
896,túmọ,meant
323,wọn,measure
817,eran,meat
704,pade,meet
601,aladun,melody
80,awọn ọkunrin,men
709,irin,metal
672,ọna,method
656,arin,middle
233,ki,might
295,maili,mile
670,wara,milk
591,milionu,million
444,ọkàn,mind
832,mi,mine
441,iṣẹju,minute
388,padanu,miss
631,illa,mix
769,igbalode,modern
987,moleku,molecule
660,akoko,moment
489,owo,money
590,osù,month
364,oṣupa,moon
176,diẹ,more
475,owurọ,morning
185,julọ,most
94,iya,mother
892,išipopada,motion
566,òke,mount
261,oke,mountain
606,ẹnu,mouth
144,gbe,move
141,elo,much
352,isodipupo,multiply
288,orin ti,music
72,gbọdọ,must
187,mi,my
126,orukọ,name
668,orile-ede,nation
748,adayeba,natural
889,iseda,nature
96,sunmọ,near
802,pataki,necessary
900,ọrun,neck
86,nilo,need
806,aládùúgbò,neighbor
223,ko,never
102,titun,new
277,itele,next
246,alẹ,night
975,mẹsan,nine
184,ko si,no
977,an noise,noise
767,kẹfa,noon
947,tabi,nor
250,ariwa,north
996,imu,nose
412,akọsilẹ,note
353,ohunkohun,nothing
499,akiyesi,notice
418,orúkọ náà,noun
199,bayi,now
182,nọmba,number
328,numeral,numeral
360,ohun,object
664,daju,observe
886,šẹlẹ,occur
438,òkun,ocean
30,ti awọn,of
85,pa,off
873,ìfilọ,offer
603,ọfiisi,office
292,igba,often
435,iyen,oh
626,epo,oil
147,ti atijọ,old
8,lori,on
263,lẹẹkan,once
14,ọkan,one
114,nikan,only
274,ìmọ,open
760,ṣiṣẹ,operate
963,idakeji,opposite
27,tabi,or
338,ibere,order
673,ara eniyan,organ
865,atilẹba,original
38,miiran,other
124,wa,our
37,jade,out
188,lori,over
203,ti ara,own
901,atẹgun,oxygen
204,iwe,page
398,kun,paint
530,bata,pair
285,iwe,paper
713,ìpínrọ,paragraph
853,obi,parent
104,apakan,part
959,pato,particular
774,ẹnikẹta,party
345,ṣe,pass
584,ti o ti kọja,past
893,ona,path
484,àpẹẹrẹ,pattern
674,san,pay
186,eniyan,people
510,boya,perhaps
782,akoko,period
488,eniyan,person
734,gbolohun,phrase
511,mu,pick
88,aworan,picture
342,nkan,piece
930,ipolowo,pitch
107,ibi,place
302,itele ti,plain
414,ètò,plan
375,ofurufu,plane
827,aye,planet
214,ohun ọgbìn,plant
58,mu ṣiṣẹ,play
765,jowo,please
997,ju,plural
813,ewi,poem
93,ojuami,point
686,ko dara,poor
880,bado,populate
65,ibudo,port
320,duro,pose
546,ipo,position
374,ṣee ṣe,possible
860,ifiweranṣẹ,post
423,iwon,pound
402,agbara,power
761,iwa,practice
994,mura,prepare
542,bayi,present
244,tẹ,press
904,lẹwa,pretty
842,si ta,print
503,afaimo,probable
341,isoro,problem
759,ilana,process
448,mu jade,produce
325,ọja,product
871,to dara,proper
985,ohun ini,property
766,dabobo,protect
560,mule,prove
795,pese,provide
497,fa,pull
711,ti,push
61,fi,put
974,ijori,quart
331,ibeere,question
436,awọn ọna,quick
680,idakẹjẹ,quiet
653,oyimbo,quite
897,dara,quotient
554,ije,race
784,redio,radio
793,iṣinipopada,rail
494,ojo,rain
707,ró,raise
382,ran,ran
890,ibiti,range
809,kuku,rather
466,de ọdọ,reach
63,ka,read
306,setan,ready
247,gidi,real
515,idi,reason
604,gba,receive
370,o gba,record
309,pupa,red
520,ẹkùn,region
459,ranti,remember
991,tun,repeat
884,fesi,reply
517,ašoju,represent
992,beere wipe,require
420,isinmi,rest
722,esi,result
756,ọlọrọ,rich
507,gigun,ride
145,ọtun,right
778,iwọn,ring
623,jinde,rise
296,odo,river
492,opopona,road
337,apata,rock
739,eerun,roll
256,yara,room
705,root,root
935,kijiya,rope
840,dide,rose
115,yika,round
605,kana,row
818,bi won ninu,rub
495,ofin,rule
241,sure,run
725,ailewu,safe
47,wi,said
549,ta asia,sail
995,iyo,salt
149,kanna,same
737,iyanrin,sand
572,ti joko,sat
648,fi,save
235,ri,saw
134,sọ,say
661,asekale,scale
209,ile-iwe,school
254,imọ,science
926,o wole,score
237,okun,sea
837,àwárí,search
907,akoko,season
949,ijoko,seat
300,keji,second
676,apakan,section
171,wo,see
615,irugbin,seed
275,dabi,seem
874,apa,segment
988,yan,select
98,ara,self
954,ta,sell
838,fi,send
750,ori,sense
640,rán,sent
131,gbolohun,sentence
762,lọtọ,separate
490,sin,serve
52,ṣeto,set
523,yanju,settle
712,meje,seven
478,orisirisi awọn,several
715,yio,shall
385,apẹrẹ,shape
866,pin,share
803,didasilẹ,sharp
150,o,she
856,dì,sheet
899,ikarahun,shell
984,imọlẹ,shine
334,omi,ship
965,bata,shoe
981,itaja,shop
854,tera,shore
327,kukuru,short
205,yoo,should
966,ejika,shoulder
612,kigbe,shout
119,hàn,show
197,ẹgbẹ,side
284,oju,sight
582,ami,sign
735,ipalọlọ,silent
910,fadakà,silver
923,iru,similar
477,o rọrun,simple
346,niwon,since
469,kọrin,sing
692,nikan,single
919,arabinrin,sister
553,joko,sit
471,mefa,six
521,iwọn,size
905,olorijori,skill
696,ara,skin
568,ọrun,sky
875,ẹrú,slave
559,orun,sleep
936,isokuso,slip
485,o lọra,slow
59,kekere,small
945,olfato,smell
697,ẹrin,smile
391,egbon,snow
165,ki,so
585,asọ,soft
738,ile,soil
758,ogun,soldier
908,ojutu,solution
708,yanju,solve
23,diẹ ninu awọn,some
658,ọmọ,son
322,song,song
315,laipe,soon
183,dun,sound
340,guusu,south
450,aaye,space
524,sọ,speak
443,pataki,special
888,ọrọ,speech
671,iyara,speed
67,sipeli,spell
861,na,spend
785,sọ,spoke
844,iranran,spot
967,itankale,spread
663,orisun,spring
