number,afrikaans,english
33,’n,a
422,staat,able
158,oor,about
307,bo,above
77,wet,act
68,voeg,add
917,bang,afraid
111,na,after
91,weer,again
483,teen,against
675,ouderdom,age
381,gelede,ago
796,saamstem,agree
55,lug,air
151,al,all
841,toelaat,allow
57,ook,also
287,altyd,always
541,is,am
400,onder,among
48,’n,an
32,en,and
998,woede,anger
92,dier,animal
208,antwoord,answer
101,enige,any
491,verskyn,appear
927,appel,apple
9,is,are
335,gebied,area
547,arm,arm
968,reël,arrange
850,kom,arrive
518,kuns,art
1,as,as
79,vra,ask
13,op,at
786,atoom,atom
701,baba,baby
112,terug,back
624,slegte,bad
536,bal,ball
934,groep,band
646,bank,bank
872,bar,bar
264,basis,base
944,basiese,basic
808,kolf,bat
12,wees,be
592,dra,bear
746,klop,beat
425,skoonheid,beauty
504,bed,bed
198,gewees,been
143,voor,before
258,begin,began
280,begin,begin
445,agter,behind
509,glo,believe
815,klok,bell
452,beste,best
454,beter,better
219,tussen,between
73,groot,big
314,voël,bird
731,bietjie,bit
326,swart,black
951,blok,block
627,bloed,blood
625,blow,blow
359,blou,blue
569,direksie,board
371,boot,boat
316,liggaam,body
792,been,bone
251,boek,book
972,gebore,born
290,beide,both
689,onderkant,bottom
928,gekoop,bought
417,box,box
146,seuntjie,boy
912,tak,branch
869,brood,bread
620,break,break
587,helder,bright
393,bring,bring
993,breë,broad
654,gebreek,broke
505,broer,brother
389,gebring,brought
636,bruin,brown
97,bou,build
723,brand,burn
368,besig,busy
21,maar,but
706,koop,buy
18,deur,by
192,oproep,call
118,gekom,came
969,kamp,camp
36,kan,can
751,kapitaal,capital
800,kaptein,captain
297,motor,car
933,kaart,card
299,sorg,care
252,voer,carry
655,geval,case
726,kat,cat
565,vangs,catch
781,gevang,caught
140,oorsaak,cause
508,sel,cell
630,persent,cent
486,sentrum,center
727,eeu,century
405,sekere,certain
753,stoel,chair
979,kans,chance
81,verandering,change
779,karakter,character
870,hef,charge
952,grafiek,chart
383,kyk,check
881,chick,chick
829,hoof,chief
665,kind,child
279,kinders,children
641,kies,choose
862,koord,chord
529,sirkel,circle
227,stad,city
999,eis,claim
329,klas,class
619,skoon,clean
446,duidelik,clear
683,klim,climb
831,klok,clock
245,naby,close
597,beklee,clothe
678,wolk,cloud
732,kus,coast
931,rok,coat
498,koue,cold
647,versamel,collect
830,kolonie,colony
270,kleur,color
986,kolom,column
180,kom,come
372,gemeenskaplike,common
956,maatskappy,company
812,vergelyk,compare
333,volledige,complete
940,toestand,condition
859,koppel,connect
728,oorweeg,consider
667,konsonant,consonant
428,bevat,contain
1000,vasteland,continent
950,voortgaan,continue
649,beheer,control
719,kok,cook
684,modern,cool
733,afskrif,copy
811,koring,corn
773,hoek,corner
421,korrekte,correct
634,koste,cost
971,katoen,cotton
178,kon,could
