number,hindi,english
33,एक,a
422,सक्षम,able
158,के बारे में,about
307,ऊपर,above
77,अधिनियम,act
68,जोड़,add
917,डर,afraid
111,के बाद,after
91,फिर,again
483,के खिलाफ,against
675,उम्र,age
381,पहले,ago
796,सहमत,agree
55,हवा,air
151,सब,all
841,की अनुमति,allow
57,भी,also
287,सदैव,always
541,am,am
400,के बीच,among
48,एक,an
32,और,and
998,क्रोध,anger
92,पशु,animal
208,जवाब,answer
101,किसी भी,any
491,प्रकट,appear
927,सेब,apple
9,हैं,are
335,क्षेत्र,area
547,बांह,arm
968,व्यवस्था,arrange
850,पहुंचना,arrive
518,कला,art
1,जैसा,as
79,पूछना,ask
13,पर,at
786,एटम,atom
701,बच्चे,baby
112,वापस,back
624,बुरा,bad
536,गेंद,ball
934,बैंड,band
646,बैंक,bank
872,बार,bar
264,आधार,base
944,बुनियादी,basic
808,बल्ला,bat
12,हो,be
592,भालू,bear
746,हरा,beat
425,सुंदरता,beauty
504,बिस्तर,bed
198,गया,been
143,पहले,before
258,शुरू हुआ,began
280,प्रारंभ करना,begin
445,पीछे,behind
509,विश्वास है,believe
815,बेल,bell
452,सर्वश्रेष्ठ,best
454,बेहतर,better
219,के बीच,between
73,बड़ा,big
314,पक्षी,bird
731,बिट,bit
326,काला,black
951,खंड,block
627,खून,blood
625,झटका,blow
359,नीला,blue
569,बोर्ड,board
371,नाव,boat
316,शरीर,body
792,हड्डी,bone
251,किताब,book
972,born,born
290,दोनों,both
689,तल,bottom
928,खरीदा,bought
417,बॉक्स,box
146,लड़का,boy
912,शाखा,branch
869,रोटी,bread
620,तोड़,break
587,उज्ज्वल,bright
393,लाना,bring
993,विस्तृत,broad
654,तोड़ दिया,broke
505,भाई,brother
389,लाया,brought
636,ब्राउन,brown
97,बनाना,build
723,जला,burn
368,व्यस्त,busy
21,लेकिन,but
706,खरीद,buy
18,द्वारा,by
192,कॉल,call
118,आया,came
969,शिविर,camp
36,कर सकते हैं,can
751,राजधानी,capital
800,कप्तान,captain
297,कार,car
933,कार्ड,card
299,देखभाल,care
252,ले,carry
655,मामले,case
726,बिल्ली,cat
565,पकड़,catch
781,पकड़ा,caught
140,कारण,cause
508,सेल,cell
630,प्रतिशत,cent
486,केंद्र,center
727,सदी,century
405,कुछ,certain
753,कुर्सी,chair
979,संयोग,chance
81,परिवर्तन,change
779,चरित्र,character
870,चार्ज,charge
952,चार्ट,chart
383,जाँच,check
881,लड़की,chick
829,प्रमुख,chief
665,बच्चे,child
279,बच्चों,children
641,चयन,choose
862,राग,chord
529,वृत्त,circle
227,शहर,city
999,दावा,claim
329,क्लास,class
619,साफ,clean
446,स्पष्ट,clear
683,चढ़ाई,climb
831,घड़ी,clock
245,करीब,close
597,कपड़े,clothe
678,बादल,cloud
732,तट,coast
931,कोट,coat
498,ठंड,cold
647,इकट्ठा,collect
830,कॉलोनी,colony
270,रंग,color
986,स्तंभ,column
180,आ,come
372,आम,common
956,कंपनी,company
812,तुलना,compare
333,पूरा,complete
940,शर्त,condition
859,कनेक्ट,connect
728,विचार करना,consider
667,व्यंजन,consonant
428,होते हैं,contain
1000,महाद्वीप,continent
950,जारी रखने के,continue
649,नियंत्रण,control
719,कुक,cook
684,शीतल,cool
733,नकल,copy
811,मकई,corn
773,कोने,corner
421,सही,correct
634,लागत,cost
971,कपास,cotton
178,सकता है,could
513,गिनती,count
206,देश,country
354,कोर्स,course
215,कवर,cover
579,गाय,cow
698,क्रीज,crease
805,बना,create
768,फसल,crop
229,पार,cross
810,भीड़,crowd
409,रोना,cry
847,वर्तमान,current
267,कटौती,cut
868,पिता,dad
544,नृत्य,dance
754,खतरे,danger
410,अंधेरा,dark
177,दिन,day
843,मृत,dead
960,सौदा,deal
882,प्रिय,dear
903,मौत,death
361,तय,decide
650,दशमलव,decimal
363,गहरा,deep
879,डिग्री,degree
816,निर्भर,depend
718,वर्णन,describe
845,रेगिस्तान,desert
685,डिजाइन,design
973,निर्धारित,determine
437,विकसित,develop
669,शब्दकोश,dictionary
181,किया,did
609,मरना,die
138,अलग,differ
763,मुश्किल,difficult
319,प्रत्यक्ष,direct
921,चर्चा,discuss
395,दूर,distant
532,विभाजन,divide
855,विभाजन,division
41,कर,do
764,चिकित्सक,doctor
51,करता है,does
317,कुत्ते,dog
921,डॉलर,dollar
424,किया,done
242,ऐसा नहीं,don’t
324,दरवाजा,door
948,डबल,double
196,नीचे,down
238,आकर्षित,draw
938,सपना,dream
677,पोशाक,dress
885,पेय,drink
426,ड्राइव,drive
539,ड्रॉप,drop
377,सूखा,dry
876,बतख,duck
456,दौरान,during
49,प्रत्येक,each
651,कान,ear
461,शीघ्र,early
99,पृथ्वी,earth
284,आसानी,ease
397,पूर्व,east
255,खाने,eat
581,बढ़त,edge
789,प्रभाव,effect
506,अंडा,egg
702,आठ,eight
721,भी,either
790,बिजली,electric
770,तत्व,element
652,बाकी,else
60,अंत,end
883,दुश्मन,enemy
501,ऊर्जा,energy
545,इंजन,engine
301,पर्याप्त,enough
834,दर्ज,enter
639,बराबर,equal
386,समानता,equate
915,विशेष रूप से,especially
69,और भी,even
939,शाम,evening
958,घटना,event
308,कभी,ever
120,हर,every
607,सटीक,exact
283,उदाहरण,example
613,सिवाय,except
747,उत्तेजित,excite
563,व्यायाम,exercise
791,उम्मीद,expect
925,अनुभव,experience
688,प्रयोग,experiment
222,आंख,eye
271,चेहरा,face
449,तथ्य,fact
645,मेला,fair
407,गिरावट,fall
318,परिवार,family
820,प्रसिद्ध,famous
236,दूर,far
230,खेत,farm
467,तेजी,fast
863,वसा,fat
100,पिता,father
858,एहसान,favor
823,डर,fear
941,फ़ीड,feed
312,लग रहा है,feel
298,पैर,feet
642,गिर गया,fell
