number,indonesian,english
33,sebuah,a
422,mampu,able
158,tentang,about
307,atas,above
77,tindakan,act
68,tambahkan,add
917,takut,afraid
111,setelah,after
91,lagi,again
483,terhadap,against
675,usia,age
381,lalu,ago
796,setuju,agree
55,udara,air
151,semua,all
841,memungkinkan,allow
57,juga,also
287,selalu,always
541,am,am
400,antara,among
48,an,an
32,dan,and
998,kemarahan,anger
92,hewan,animal
208,jawaban,answer
101,apapun,any
491,muncul,appear
927,apple,apple
9,adalah,are
335,daerah,area
547,lengan,arm
968,mengatur,arrange
850,tiba,arrive
518,seni,art
1,sebagai,as
79,bertanya,ask
13,di,at
786,atom,atom
701,bayi,baby
112,kembali,back
624,buruk,bad
536,bola,ball
934,pita,band
646,bank,bank
872,bar,bar
264,dasar,base
944,dasar,basic
808,kelelawar,bat
12,menjadi,be
592,menanggung,bear
746,mengalahkan,beat
425,kecantikan,beauty
504,tidur,bed
198,berkunjung,been
143,sebelum,before
258,mulai,began
280,mulai,begin
445,di belakang,behind
509,percaya,believe
815,bell,bell
452,terbaik,best
454,lebih baik,better
219,antara,between
73,besar,big
314,burung,bird
731,bit,bit
326,hitam,black
951,blok,block
627,darah,blood
625,pukulan,blow
359,biru,blue
569,papan,board
371,perahu,boat
316,tubuh,body
792,tulang,bone
251,book,book
972,lahir,born
290,baik,both
689,bottom,bottom
928,membeli,bought
417,kotak,box
146,anak,boy
912,cabang,branch
869,roti,bread
620,istirahat,break
587,cerah,bright
393,membawa,bring
993,luas,broad
654,pecah,broke
505,saudara,brother
389,membawa,brought
636,coklat,brown
97,membangun,build
723,membakar,burn
368,sibuk,busy
21,tapi,but
706,membeli,buy
18,oleh,by
192,panggilan,call
118,datang,came
969,camp,camp
36,bisa,can
751,modal,capital
800,kapten,captain
297,mobil,car
933,kartu,card
299,perawatan,care
252,membawa,carry
655,kasus,case
726,kucing,cat
565,catch,catch
781,tertangkap,caught
140,penyebab,cause
508,sel,cell
630,persen,cent
486,pusat,center
727,abad,century
405,tertentu,certain
753,kursi,chair
979,kesempatan,chance
81,perubahan,change
779,karakter,character
870,biaya,charge
952,grafik,chart
383,memeriksa,check
881,cewek,chick
829,kepala,chief
665,anak,child
279,anak-anak,children
641,pilih,choose
862,chord,chord
529,lingkaran,circle
227,kota,city
999,klaim,claim
329,kelas,class
619,bersih,clean
446,jelas,clear
683,naik,climb
831,jam,clock
245,close,close
597,menutupi,clothe
678,awan,cloud
732,pantai,coast
931,mantel,coat
498,dingin,cold
647,mengumpulkan,collect
830,koloni,colony
270,warna,color
986,kolom,column
180,datang,come
372,umum,common
956,perusahaan,company
812,membandingkan,compare
333,lengkap,complete
940,kondisi,condition
859,menghubungkan,connect
728,pertimbangkan,consider
667,konsonan,consonant
428,berisi,contain
1000,benua,continent
950,terus,continue
649,kontrol,control
719,cook,cook
684,dingin,cool
733,copy,copy
811,jagung,corn
773,sudut,corner
421,benar,correct
634,biaya,cost
971,kapas,cotton
178,bisa,could
513,menghitung,count
206,negara,country
354,tentu saja,course
215,penutup,cover
579,sapi,cow
698,lipatan,crease
805,membuat,create
768,tanaman,crop
229,lintas,cross
810,kerumunan,crowd
409,menangis,cry
847,saat ini,current
267,cut,cut
868,ayah,dad
544,tari,dance
754,bahaya,danger
410,gelap,dark
177,hari,day
843,mati,dead
960,kesepakatan,deal
882,sayang,dear
903,kematian,death
361,memutuskan,decide
650,desimal,decimal
363,dalam,deep
879,gelar,degree
816,tergantung,depend
718,menjelaskan,describe
845,gurun,desert
685,desain,design
973,menentukan,determine
437,mengembangkan,develop
669,kamus,dictionary
181,melakukan,did
609,mati,die
138,berbeda,differ
763,sulit,difficult
319,langsung,direct
921,mendiskusikan,discuss
395,jauh,distant
532,membagi,divide
855,divisi,division
41,melakukan,do
764,dokter,doctor
51,tidak,does
317,anjing,dog
921,dolar,dollar
424,dilakukan,done
242,tidak,don’t
324,pintu,door
948,ganda,double
196,turun,down
238,menarik,draw
938,mimpi,dream
677,dress,dress
885,minuman,drink
426,berkendara,drive
539,menjatuhkan,drop
377,kering,dry
876,bebek,duck
456,selama,during
49,masing-masing,each
651,telinga,ear
461,awal,early
99,bumi,earth
284,kemudahan,ease
397,timur,east
255,makan,eat
581,tepi,edge
789,efek,effect
506,telur,egg
702,delapan,eight
721,baik,either
790,listrik,electric
770,elemen,element
652,lain,else
60,end,end
883,musuh,enemy
501,energi,energy
545,mesin,engine
301,cukup,enough
834,masukkan,enter
639,sama,equal
386,menyamakan,equate
915,terutama,especially
69,bahkan,even
939,malam,evening
958,peristiwa,event
308,pernah,ever
120,setiap,every
607,tepat,exact
283,contoh,example
613,kecuali,except
747,menggairahkan,excite
563,latihan,exercise
791,mengharapkan,expect
925,pengalaman,experience
688,percobaan,experiment
222,mata,eye
271,wajah,face
449,bahkan,fact
645,adil,fair
407,jatuh,fall
318,keluarga,family
820,terkenal,famous
236,jauh,far
230,pertanian,farm
467,cepat,fast
863,lemak,fat
100,ayah,father
858,mendukung,favor
823,takut,fear
941,pakan,feed
312,merasa,feel
298,kaki,feet
642,jatuh,fell
534,merasa,felt
249,beberapa,few
419,lapangan,field
916,ara,fig
744,melawan,fight
415,angka,figure
396,mengisi,fill
432,akhir,final
200,cari,find
404,halus,fine
741,jari,finger
593,selesai,finish
339,api,fire
193,pertama,first
260,ikan,fish
643,cocok,fit
458,lima,five
694,datar,flat
720,lantai,floor
644,mengalir,flow
596,bunga,flower
406,terbang,fly
76,ikuti,follow
216,makanan,food
366,kaki,foot
7,untuk,for
358,kekuatan,force
552,hutan,forest
130,formulir,form
922,maju,forward
207,ditemukan,found
218,empat,four
551,fraksi,fraction
440,gratis,free
836,segar,fresh
257,teman,friend
17,dari,from
429,depan,front
755,buah,fruit
357,penuh,full
586,menyenangkan,fun
384,permainan,game
638,garden,garden
588,gas,gas
980,mengumpulkan,gather
433,memberi,gave
526,umum,general
798,lembut,gentle
106,mendapatkan,get
303,gadis,girl
123,memberikan,give
864,senang,glad
577,kaca,glass
179,pergi,go
373,emas,gold
599,pergi,gone
121,baik,good
281,mendapat,got
496,mengatur,govern
535,agung,grand
578,rumput,grass
990,abu-abu,gray
132,besar,great
434,hijau,green
629,tumbuh,grew
464,tanah,ground
286,kelompok,group
210,tumbuh,grow
801,menebak,guess
924,panduan,guide
840,pistol,gun
28,memiliki,had
717,rambut,hair
336,setengah,half
64,tangan,hand
332,terjadi,happen
594,senang,happy
231,keras,hard
174,memiliki,has
953,hat,hat
15,memiliki,have
5,dia,he
201,kepala,head
265,mendengar,hear
451,mendengar,heard
540,jantung,heart
390,panas,heat
543,berat,heavy
716,diadakan,held
135,membantu,help
167,dia,her
71,di sini,here
74,tinggi,high
724,hill,hill
172,dia,him
3,nya,his
788,sejarah,history
771,hit,hit
462,terus,hold
699,lubang,hole
62,rumah,home
595,berharap,hope
266,kuda,horse
19,hot,hot
387,hot,hot
453,jam,hour
87,rumah,house
46,bagaimana,how
918,besar,huge
787,manusia,human
457,ratus,hundred
502,berburu,hunt
828,terburu-buru,hurry
2,saya,i
527,es,ice
259,ide,idea
44,jika,if
794,bayangkan,imagine
34,di,in
351,inch,inch
531,termasuk,include
783,menunjukkan,indicate
742,industri,industry
780,serangga,insect
877,instant,instant
575,instrument,instrument
465,bunga,interest
970,menciptakan,invent
691,besi,iron
24,adalah,is
365,pulau,island
25,itu,it
580,pekerjaan,job
617,bergabung,join
570,sukacita,joy
700,melompat,jump
129,hanya,just
221,terus,keep
576,terus,kept
690,kunci,key
657,membunuh,kill
84,jenis,kind
349,raja,king
344,tahu,knew
189,tahu,know
621,wanita,lady
659,danau,lake
70,tanah,land
399,bahasa,language
66,besar,large
224,lalu,last
240,terlambat,late
379,tertawa,laugh
730,hukum,law
482,berbaring,lay
408,memimpin,lead
213,belajar,learn
610,setidaknya,least
321,meninggalkan,leave
929,dipimpin,led
239,kiri,left
562,kaki,leg
516,panjang,length
474,kurang,less
225,biarkan,let
293,surat,letter
978,tingkat,level
745,kebohongan,lie
248,hidup,life
848,angkat,lift
83,cahaya,light
164,seperti,like
137,baris,line
894,cair,liquid
310,daftar,list
470,mendengarkan,listen
113,sedikit,little
109,hidup,live
777,mencari,locate
895,login,log
561,lone,lone
168,panjang,long
175,melihat,look
635,hilang,lost
687,banyak,lot
662,keras,loud
487,cinta,love
136,rendah,low
411,mesin,machine
108,membuat,made
909,magnet,magnet
273,utama,main
835,utama,major
169,membuat,make
116,pria,man
159,banyak,many
493,peta,map
291,mark,mark
878,pasar,market
932,massa,mass
851,master,master
913,pertandingan,match
550,materi,material
528,peduli,matter
195,mungkin,may
122,saya,me
142,berarti,mean
896,berarti,meant
