number,kinyarwanda,english
33,a,a
422,bashoboye,able
158,hafi,about
307,hejuru,above
77,gukora,act
68,ongeraho,add
917,ubwoba,afraid
111,nyuma,after
91,na none,again
483,kurwanya,against
675,imyaka,age
381,kera,ago
796,byumvikane,agree
55,umwuka,air
151,byose,all
841,emera,allow
57,na,also
287,burigihe,always
541,am,am
400,muri,among
48,an,an
32,na,and
998,uburakari,anger
92,inyamaswa,animal
208,igisubizo,answer
101,icyaricyo cyose,any
491,kugaragara,appear
927,pome,apple
9,ni,are
335,akarere,area
547,ukuboko,arm
968,tegura,arrange
850,shika,arrive
518,ubuhanzi,art
1,nka,as
79,baza,ask
13,kuri,at
786,atom,atom
701,umwana,baby
112,inyuma,back
624,bibi,bad
536,umupira,ball
934,band,band
646,banki,bank
872,bar,bar
264,shingiro,base
944,shingiro,basic
808,bat,bat
12,be,be
592,idubu,bear
746,gukubita,beat
425,ubwiza,beauty
504,uburiri,bed
198,yabaye,been
143,mbere,before
258,yatangiye,began
280,tangira,begin
445,inyuma,behind
509,bizere,believe
815,inzogera,bell
452,byiza,best
454,byiza,better
219,hagati,between
73,binini,big
314,inyoni,bird
731,bit,bit
326,umukara,black
951,guhagarika,block
627,maraso,blood
625,gukubita,blow
359,ubururu,blue
569,ikibaho,board
371,ubwato,boat
316,umubiri,body
792,igufwa,bone
251,igitabo,book
972,yavutse,born
290,byombi,both
689,hepfo,bottom
928,yaguzwe,bought
417,agasanduku,box
146,umuhungu,boy
912,ishami,branch
869,umutsima,bread
620,kuruhuka,break
587,umucyo,bright
393,kuzana,bring
993,mugari,broad
654,yamenetse,broke
505,umuvandimwe,brother
389,yazanye,brought
636,umukara,brown
97,kubaka,build
723,gutwika,burn
368,ahuze,busy
21,ariko,but
706,buy buy,buy
18,na,by
192,hamagara,call
118,yaje,came
969,ingando,camp
36,irashobora,can
751,umurwa mukuru,capital
800,kapiteni,captain
297,imodoka,car
933,ikarita,card
299,ubwitonzi,care
252,gutwara,carry
655,urubanza,case
726,injangwe,cat
565,gufata,catch
781,yafashwe,caught
140,impamvu,cause
508,selire,cell
630,ijana,cent
486,hagati,center
727,ikinyejana,century
405,runaka,certain
753,intebe,chair
979,amahirwe,chance
81,impinduka,change
779,imiterere,character
870,kwishyuza,charge
952,imbonerahamwe,chart
383,kugenzura,check
881,inkoko,chick
829,umukuru,chief
665,umwana,child
279,abana,children
641,hitamo,choose
862,inanga,chord
529,umuzenguruko,circle
227,umujyi,city
999,ikirego,claim
329,icyiciro,class
619,isuku,clean
446,bisobanutse,clear
683,kuzamuka,climb
831,isaha,clock
245,hafi,close
597,umwambaro,clothe
678,igicu,cloud
732,inkombe,coast
931,ikoti,coat
498,imbeho,cold
647,gukusanya,collect
830,ubukoloni,colony
270,ibara,color
986,inkingi,column
180,ngwino,come
372,rusange,common
956,sosiyete,company
812,gereranya,compare
333,byuzuye,complete
940,imiterere,condition
859,guhuza,connect
728,tekereza,consider
667,inyuguti nini,consonant
428,birimo,contain
1000,umugabane,continent
950,komeza,continue
649,kugenzura,control
719,guteka,cook
684,akonje,cool
733,kopi,copy
811,ibigori,corn
773,mfuruka,corner
421,ikosore,correct
634,igiciro,cost
971,ipamba,cotton
178,ashoboye,could
513,kubara,count
206,igihugu,country
354,amasomo,course
215,igifuniko,cover
579,inka,cow
698,igikoma,crease
805,kurema,create
768,imyaka,crop
229,umusaraba,cross
810,imbaga,crowd
409,kurira,cry
847,ikigezweho,current
267,gukata,cut
868,papa,dad
544,kubyina,dance
754,akaga,danger
410,umwijima,dark
177,umunsi,day
843,yapfuye,dead
960,amasezerano,deal
882,nshuti,dear
903,urupfu,death
361,fata umwanzuro,decide
650,icumi,decimal
363,byimbitse,deep
879,impamyabumenyi,degree
816,biterwa,depend
718,sobanura,describe
845,ubutayu,desert
685,igishushanyo,design
973,menya,determine
437,kwiteza imbere,develop
669,inkoranyamagambo,dictionary
181,yakoze,did
609,gupfa,die
138,bitandukanye,differ
763,biragoye,difficult
319,mu buryo butaziguye,direct
921,muganire,discuss
395,kure,distant
532,kugabana,divide
855,amacakubiri,division
41,kora,do
764,umuganga,doctor
51,ikora,does
317,imbwa,dog
921,idorari,dollar
424,byakozwe,done
242,ntukore,don’t
324,umuryango,door
948,kabiri,double
196,hasi,down
238,gushushanya,draw
938,kurota,dream
677,imyambarire,dress
885,kunywa,drink
426,gutwara,drive
539,igitonyanga,drop
377,yumye,dry
876,inkongoro,duck
456,mugihe,during
49,buri umwe,each
651,ugutwi,ear
461,kare,early
99,isi,earth
284,byoroshye,ease
397,iburasirazuba,east
255,kurya,eat
581,inkombe,edge
789,ingaruka,effect
506,amagi,egg
702,umunani,eight
721,cyangwa,either
790,amashanyarazi,electric
770,element,element
652,ikindi,else
60,iherezo,end
883,umwanzi,enemy
501,ingufu,energy
545,moteri,engine
301,bihagije,enough
834,injira,enter
639,bingana,equal
386,kunganya,equate
915,cyane,especially
69,ndetse,even
939,nimugoroba,evening
958,icyabaye,event
308,burigihe,ever
120,buri,every
607,neza,exact
283,urugero,example
613,usibye,except
747,byishimo,excite
563,imyitozo,exercise
791,tegereza,expect
925,uburambe,experience
688,igerageza,experiment
222,ijisho,eye
271,mu maso,face
449,ukuri,fact
645,kurenganura,fair
407,kugwa,fall
318,umuryango,family
820,uzwi,famous
236,kure,far
230,umurima,farm
467,byihuse,fast
863,ibinure,fat
100,se,father
858,ubutoni,favor
823,ubwoba,fear
941,kugaburira,feed
312,umva,feel
298,ibirenge,feet
642,yaguye,fell
534,yumvise,felt
249,bake,few
419,umurima,field
916,fig,fig
744,kurwana,fight
415,ishusho,figure
396,kuzuza,fill
432,finale,final
200,shakisha,find
404,neza,fine
741,urutoki,finger
593,kurangiza,finish
339,umuriro,fire
193,mbere,first
260,amafi,fish
643,bikwiye,fit
458,bitanu,five
694,igorofa,flat
720,hasi,floor
644,gutemba,flow
596,indabyo,flower
406,kuguruka,fly
76,kurikira,follow
216,ibiryo,food
366,ikirenge,foot
7,kuri,for
358,imbaraga,force
552,ishyamba,forest
130,ifishi,form
922,imbere,forward
207,byabonetse,found
218,bine,four
551,agace,fraction
440,ubuntu,free
836,gishya,fresh
257,inshuti,friend
17,kuva,from
429,imbere,front
755,imbuto,fruit
357,byuzuye,full
586,kwishimisha,fun
384,umukino,game
638,ubusitani,garden
588,gaze,gas
980,guterana,gather
433,yatanze,gave
526,rusange,general
798,witonda,gentle
106,kubona,get
303,umukobwa,girl
123,tanga,give
864,ndishimye,glad
577,ikirahure,glass
179,genda,go
373,zahabu,gold
599,yagiye,gone
121,byiza,good
281,yabonye,got
496,kuyobora,govern
535,grand,grand
578,ibyatsi,grass
990,imvi,gray
132,bikomeye,great
434,icyatsi,green
629,yarakuze,grew
464,butaka,ground
286,itsinda,group
210,gukura,grow
801,tekereza,guess
924,umuyobozi,guide
840,imbunda,gun
28,yagize,had
717,umusatsi,hair
336,kimwe cya kabiri,half
64,ukuboko,hand
332,bibaho,happen
594,byishimo,happy
231,bigoye,hard
174,ifite,has
953,ingofero,hat
15,kugira,have
5,we,he
201,umutwe,head
265,umva,hear
451,yumvise,heard
540,umutima,heart
390,ubushyuhe,heat
543,biremereye,heavy
716,byakozwe,held
135,ubufasha,help
167,we,her
71,hano,here
74,muremure,high
724,umusozi,hill
172,we,him
3,ibye,his
788,amateka,history
771,hit,hit
462,komeza,hold
699,umwobo,hole
62,urugo,home
595,ibyiringiro,hope
266,ifarashi,horse
19,ashyushye,hot
387,ashyushye,hot
453,isaha,hour
87,inzu,house
46,gute,how
918,nini,huge
787,muntu,human
457,ijana,hundred
502,guhiga,hunt
828,ihute,hurry
2,i.,i
527,urubura,ice
259,igitekerezo,idea
44,niba,if
794,tekereza,imagine
34,in,in
351,santimetero,inch
531,shyiramo,include
783,erekana,indicate
742,inganda,industry
780,udukoko,insect
877,mukanya,instant
575,igikoresho,instrument
465,inyungu,interest
970,guhanga,invent
691,icyuma,iron
24,nb,is
365,ikirwa,island
25,ni,it
580,akazi,job
617,injira,join
570,umunezero,joy
700,gusimbuka,jump
129,gusa,just
221,komeza,keep
576,kubika,kept
690,urufunguzo,key
657,kwica,kill
84,ubwoko,kind
349,umwami,king
344,yari abizi,knew
189,menya,know
621,umudamu,lady
659,ikiyaga,lake
70,butaka,land
399,ururimi,language
66,binini,large
224,iheruka,last
240,bitinze,late
379,aseka,laugh
730,amategeko,law
482,lay,lay
408,kuyobora,lead
213,wige,learn
610,byibuze,least
321,genda,leave
929,yayoboye,led
239,ibumoso,left
562,ukuguru,leg
516,uburebure,length
474,munsi,less
225,reka,let
293,ibaruwa,letter
978,urwego,level
745,kubeshya,lie
248,ubuzima,life
848,kuzamura,lift
83,urumuri,light
164,nka,like
137,umurongo,line
894,amazi,liquid
310,urutonde,list
470,umva,listen
113,bike,little
109,kubaho,live
777,shakisha,locate
895,log,log
561,wenyine,lone
168,kirekire,long
175,reba,look
635,yazimiye,lost
687,byinshi,lot
662,n’ijwi rirenga,loud
487,urukundo,love
136,hasi,low
411,imashini,machine
108,yakozwe,made
909,rukuruzi,magnet
273,nyamukuru,main
835,major,major
169,gukora,make
116,umuntu,man
159,benshi,many
493,ikarita,map
291,akamenyetso,mark
878,isoko,market
932,misa,mass
851,shobuja,master
913,guhuza,match
550,ibikoresho,material
528,ikibazo,matter
195,gicurasi,may
122,njye,me
142,bivuze,mean
896,bivuze,meant
323,igipimo,measure
817,inyama,meat
704,guhura,meet
601,melody,melody
80,abagabo,men
709,icyuma,metal
672,buryo,method
656,hagati,middle
233,imbaraga,might
295,kilometero,mile
670,amata,milk
591,miliyoni,million
444,ibitekerezo,mind
832,uwanjye,mine
441,umunota,minute
388,miss,miss
631,vanga,mix
769,bigezweho,modern
987,molekile,molecule
660,akanya,moment
489,amafaranga,money
590,ukwezi,month
364,ukwezi,moon
176,byinshi,more
475,mu gitondo,morning
185,byinshi,most
94,nyina,mother
892,icyerekezo,motion
566,mount,mount
261,umusozi,mountain
606,umunwa,mouth
144,kwimuka,move
141,byinshi,much
352,kugwira,multiply
288,umuziki,music
72,igomba,must
187,my,my
126,izina,name
668,igihugu,nation
748,karemano,natural
889,kamere,nature
96,hafi,near
802,ngombwa,necessary
900,ijosi,neck
86,bikenewe,need
806,umuturanyi,neighbor
223,nta na rimwe,never
102,gishya,new
277,ubutaha,next
246,ijoro,night
975,icyenda,nine
184,oya,no
977,urusaku,noise
767,saa sita,noon
947,cyangwa,nor
250,ruguru,north
996,izuru,nose
412,icyitonderwa,note
353,ntacyo,nothing
499,menyesha,notice
418,izina,noun
199,ubungubu,now
182,nimero,number
328,mubare,numeral
360,ikintu,object
664,kwitegereza,observe
886,bibaho,occur
438,inyanja,ocean
30,bya,of
85,kuzimya,off
873,gutanga,offer
603,biro,office
292,kenshi,often
435,yewe,oh
626,amavuta,oil
147,kera,old
8,ku,on
263,rimwe,once
14,imwe,one
114,gusa,only
274,fungura,open
760,gukora,operate
963,bitandukanye,opposite
27,cyangwa,or
338,gahunda,order
673,urugingo,organ
865,umwimerere,original
38,ikindi,other
124,yacu,our
37,hanze,out
188,hejuru,over
203,wenyine,own
901,ogisijeni,oxygen
204,urupapuro,page
398,irangi,paint
530,couple,pair
285,impapuro,paper
