number,uzbek,english
33,a,a
422,qodir,able
158,atrofida,about
307,yuqorida,above
77,ish,act
68,kiritish,add
917,qo’rqqan,afraid
111,so’ng,after
91,yana,again
483,qarshi,against
675,yosh,age
381,ilgari,ago
796,qo’shilaman,agree
55,havo,air
151,hamma,all
841,ruxsat,allow
57,shuningdek,also
287,har doim,always
541,emasman,am
400,orasida,among
48,e’lonni,an
32,va,and
998,g’azab,anger
92,hayvon,animal
208,javob,answer
101,har qanday,any
491,paydo,appear
927,olma,apple
9,bor,are
335,maydon,area
547,qo’l,arm
968,tashkil,arrange
850,yetib,arrive
518,san’at,art
1,sifatida,as
79,so’rarlar,ask
13,da,at
786,atom,atom
701,chaqaloq,baby
112,orqa,back
624,yomon,bad
536,koptok,ball
934,frans,band
646,bank,bank
872,bar,bar
264,asos,base
944,asosiy,basic
808,ko’rshapalak,bat
12,bo’lishi,be
592,qo’pol,bear
746,mag’lub etdi,beat
425,go’zallik,beauty
504,karavot,bed
198,edi,been
143,oldin,before
258,boshladi,began
280,boshlanishi,begin
445,orqasida,behind
509,iymon,believe
815,qo’ng’iroq,bell
452,eng yaxshi,best
454,yaxshiroq,better
219,o’rtasida,between
73,katta,big
314,qush,bird
731,bit,bit
326,qora,black
951,blok,block
627,qon,blood
625,zarba,blow
359,ko’k,blue
569,taxta,board
371,qayiq,boat
316,badan,body
792,suyak,bone
251,kitob,book
972,tug’ma,born
290,har ikkala,both
689,pastki,bottom
928,sotib,bought
417,box,box
146,bola,boy
912,filial,branch
869,non,bread
620,tanaffus,break
587,yorug ’,bright
393,olib,bring
993,keng,broad
654,buzib,broke
505,aka,brother
389,olib,brought
636,jigar rang,brown
97,qurish,build
723,kuyish,burn
368,band,busy
21,lekin,but
706,sotib,buy
18,tomonidan,by
192,chaqirish,call
118,kelgan,came
969,lager,camp
36,mumkin,can
751,kapital,capital
800,kapitan,captain
297,avtomobil,car
933,karta,card
299,g’amxo’rlik,care
252,bajarish,carry
655,hodisa,case
726,mushuk,cat
565,tutmoq,catch
781,qo’lga,caught
140,sabab,cause
508,hujayra,cell
630,foiz,cent
486,markaz,center
727,asr,century
405,aniq,certain
753,stul,chair
979,tasodif,chance
81,o’zgarish,change
779,fe’l,character
870,ayblash,charge
952,sxema,chart
383,nazorat,check
881,jo’ja,chick
829,boshliq,chief
665,yosh bola,child
279,bolalar,children
641,ni tanlang,choose
862,akkord,chord
529,to’garak,circle
227,shahar,city
999,talab,claim
329,class,class
619,toza,clean
446,aniq,clear
683,yuqoriga chiqmok,climb
831,soat,clock
245,yaqin,close
597,kiyintirmoq,clothe
678,bulut,cloud
732,qirg’oq,coast
931,palto,coat
498,sovuq,cold
647,to’plash,collect
830,mustamlaka,colony
270,rang,color
986,ustun,column
180,kelib,come
372,umumiy,common
956,kompaniya,company
812,solishtirish,compare
333,to’la,complete
940,holat,condition
859,ulanish,connect
728,tushunmoq,consider
667,ohangdosh,consonant
428,o’z ichiga olgan,contain
1000,qit’a,continent
950,davom,continue
649,nazorat,control
719,oshpaz,cook
684,salqin,cool
733,nusxa,copy
811,makkajo’xori,corn
773,burchak,corner
421,to’g’ri,correct
634,qiymati,cost
971,paxta,cotton
178,qo’lidan,could
513,hisoblash,count
206,mamlakat,country
354,"albatta,",course
215,qoplama,cover
579,sigir,cow
698,qat,crease
805,yaratish,create
768,hosil,crop
229,kesib,cross
810,to’da,crowd
409,yig’lamoq,cry
847,hozirgi,current
267,kesma,cut
868,dada,dad
544,raqs,dance
754,xavfli,danger
410,qorong’u,dark
177,kun,day
843,o’lgan,dead
960,kelishuv,deal
882,aziz,dear
903,o’lim,death
361,qaror,decide
650,o’nlik,decimal
363,chuqur,deep
879,gradus,degree
816,bog’liq,depend
718,tasvirlab,describe
845,sahro,desert
685,dizayn,design
973,aniqlash,determine
437,rivojlantirish,develop
669,lug’at,dictionary
181,qilgan,did
609,o’lish,die
138,farq,differ
763,murakkab,difficult
319,to’g’ri,direct
921,muhokama,discuss
395,uzoqdagi,distant
532,ajratmoq,divide
855,taqsimlash,division
41,nima,do
764,shifokor,doctor
51,qilsa,does
317,it,dog
921,dollar,dollar
424,qilingan,done
242,bunday qilma,don’t
324,eshik,door
948,ikki hissa,double
196,pastga,down
238,chizish,draw
938,xayol,dream
677,kiyim,dress
885,ichimlik,drink
426,haydash,drive
539,tomchi,drop
377,quruq,dry
876,o’rdak,duck
456,davomida,during
49,har bir,each
651,quloq,ear
461,barvaqt,early
99,yer,earth
284,sukunat,ease
397,sharq,east
255,ovqat,eat
581,chet,edge
789,ta’sir,effect
506,tuxum,egg
702,sakkiz,eight
721,yoki,either
790,elektr,electric
770,element,element
652,yana boshqa,else
60,oxiri,end
883,dushman,enemy
501,quvvat,energy
545,motor,engine
301,yetarli,enough
834,kiritish,enter
639,teng,equal
386,tenglashtirmoq,equate
915,ayniqsa,especially
69,hatto,even
939,kechqurun,evening
958,hodisa,event
308,hech,ever
120,har bir,every
607,aniq,exact
283,misol,example
613,tashqari,except
747,ta’sir qilmoq,excite
563,mashq,exercise
791,kutyapmiz,expect
925,tajriba,experience
688,tajriba,experiment
222,ko’z,eye
271,yuz,face
449,dalil,fact
645,yarmarka,fair
407,kuz,fall
318,oilaviy,family
820,mashhur,famous
236,uzoq,far
230,ferma,farm
467,tez,fast
863,yog ’,fat
100,ota,father
858,muruvvat,favor
823,qo’rqinch,fear
941,yem,feed
312,his,feel
298,fut,feet
642,tushdi,fell
534,his,felt
249,oz,few
419,dala,field
916,anjir,fig
744,jang,fight
415,shakl,figure
396,to’ldirish,fill
432,oxirgi,final
200,topish,find
404,jarima,fine
741,barmoq,finger
593,marra,finish
339,yong’in,fire
193,birinchi,first
260,baliq,fish
643,mos,fit
458,besh,five
694,tekis,flat
720,pol,floor
644,oqim,flow
596,gul,flower
406,chivin,fly
76,rioya,follow
216,ovqat,food
366,oyoq,foot
7,uchun,for
358,kuch,force
552,o’rmon,forest
130,shakl,form
922,olg’a,forward
207,topildi,found
218,to’rt,four
551,kasr,fraction
440,ozod,free
836,yangi,fresh
257,do’st,friend
17,ushbudan boshlab:,from
429,front,front
755,meva,fruit
357,to’liq,full
586,qiziqarli,fun
384,o’yin,game
638,bog ’,garden
588,gaz,gas
980,to’plash,gather
433,berdi,gave
526,umumiy,general
798,yumshoq,gentle
106,olish,get
303,qiz,girl
123,berishi,give
864,xursand,glad
577,shisha,glass
179,borish,go
373,oltin,gold
599,ketganimda,gone
121,yaxshi,good
281,bor,got
496,boshqarmoq,govern
535,grand,grand
578,o’t,grass
990,kul rang,gray
132,buyuk,great
434,yashil,green
629,o’sdi,grew
464,yer,ground
286,guruh,group
210,o’sadi,grow
801,taxmin,guess
924,hidoyat,guide
840,kun,gun
28,bor,had
717,soch,hair
336,yarim,half
64,qo’l,hand
332,sodir,happen
594,baxtli,happy
231,qiyin,hard
174,bor,has
953,shlyapa,hat
15,bor,have
5,u,he
201,bosh,head
265,eshitmoq,hear
451,eshitib,heard
540,yurak,heart
390,issiqlik,heat
543,og’ir,heavy
716,o’tkazilayotgan,held
135,yordam bering,help
167,uning,her
71,bu yerga,here
74,baland,high
724,tepalik,hill
172,uni,him
3,uning,his
788,tarix,history
771,zarba,hit
462,ushlab turing,hold
699,teshik,hole
62,uy,home
595,umid,hope
266,ot,horse
19,issiq,hot
387,issiq,hot
453,soat,hour
87,uy,house
46,qanaqasiga,how
918,ulkan,huge
787,odam,human
457,yuz,hundred
502,ov,hunt
828,shoshilmoq,hurry
2,men,i
527,muz,ice
259,fikr,idea
44,agar,if
794,tasavvur,imagine
34,ichida,in
351,inch,inch
531,o’z ichiga oladi,include
783,ko’rsatadi,indicate
742,sanoat,industry
780,hasharot,insect
877,tez,instant
575,asbob,instrument
465,qiziqish,interest
970,to’qirlar,invent
691,temir,iron
24,hisoblanadi,is
365,orol,island
25,u,it
580,ish,job
617,qo’shilish,join
570,xursandchilik,joy
700,sakramoq,jump
129,faqat,just
221,saqlamoq,keep
576,saqlab,kept
690,kalit,key
657,o’ldirish,kill
84,rahmdil,kind
349,qirol,king
344,bilgan,knew
189,bilaman,know
621,xonim,lady
659,ko’l,lake
70,er,land
399,til,language
66,katta,large
224,oxirgi,last
240,kech,late
379,kulgu,laugh
730,qonun,law
482,yotar,lay
408,qo’rg’oshin,lead
213,o’rganish,learn
610,kamida,least
321,tark,leave
929,led,led
239,chap,left
562,oyoq,leg
516,uzunlik,length
474,ozroq,less
225,ruxsat,let
293,xat,letter
978,daraja,level
745,yolg’on,lie
248,hayot,life
848,lift,lift
83,engil,light
164,kabi,like
137,chiziq,line
894,suyuq,liquid
310,ro’yxat,list
470,tinglash,listen
113,oz,little
109,jonli,live
777,topish,locate
895,log,log
561,yolg’iz,lone
168,uzun,long
175,nazar,look
635,yo’qolgan,lost
687,maydoni,lot
662,baland ovozda,loud
487,sevgi,love
136,past,low
411,mashina,machine
108,qilingan,made
909,magnit,magnet
273,asosiy,main
835,muhim,major
169,olmoq,make
116,odam,man
159,ko’p,many
493,xarita,map
291,belgi,mark
878,bozor,market
932,massa,mass
851,usta,master
913,match,match
550,ashyo,material
528,"qat’i nazar,",matter
195,mumkin,may
122,meni,me
142,degani,mean
896,anglatadi,meant
323,o’lchov,measure
817,go’sht,meat
