number,scots_gaelic,english
33,a,a
422,urrainn,able
158,mu dheidhinn,about
307,gu h-àrd,above
77,achd,act
68,ris,add
917,eagal,afraid
111,an dèidh,after
91,a-rithist,again
483,aghaidh,against
675,aois,age
381,bho chionn,ago
796,aontachadh,agree
55,adhair,air
151,a h-uile,all
841,cheadachadh,allow
57,cuideachd,also
287,an còmhnaidh,always
541,am,am
400,am measg,among
48,an,an
32,agus,and
998,feirg,anger
92,am beathach,animal
208,fhreagairt,answer
101,sam bith,any
491,nochdaidh,appear
927,ubhal,apple
9,tha,are
335,sgìre,area
547,gàirdean,arm
968,a chur air dòigh,arrange
850,a ’tighinn,arrive
518,ealain,art
1,mar,as
79,iarr,ask
13,aig,at
786,dadam,atom
701,naoidhean,baby
112,air ais,back
624,droch,bad
536,ball,ball
934,còmhlan,band
646,banca,bank
872,bar,bar
264,bunait,base
944,bunaiteach,basic
808,ialtag,bat
12,a bhith,be
592,giùlainidh,bear
746,chùis,beat
425,bòidhchead,beauty
504,leabaidh,bed
198,a bhith,been
143,mus,before
258,thòisich,began
280,tòiseachadh,begin
445,air cùlaibh,behind
509,creidsinn,believe
815,clag,bell
452,as fheàrr,best
454,nas fheàrr,better
219,eadar,between
73,mòr,big
314,eun,bird
731,bit,bit
326,dubh,black
951,bacaidh,block
627,fuil,blood
625,blow,blow
359,gorm,blue
569,air a ’bhòrd,board
371,bàta,boat
316,buidheann,body
792,cnàimh,bone
251,leabhar,book
972,rugadh,born
290,an dà chuid,both
689,ìosal,bottom
928,cheannaich,bought
417,bogsa,box
146,gille,boy
912,meur,branch
869,aran,bread
620,fois,break
587,soilleir,bright
393,thoirt,bring
993,farsaing,broad
654,bhris,broke
505,bràthair,brother
389,thug,brought
636,donn,brown
97,togail,build
723,loisgidh,burn
368,trang,busy
21,ach,but
706,cheannach,buy
18,le bhith a ’,by
192,ghairm,call
118,thàinig,came
969,campa,camp
36,urrainn,can
751,calpa,capital
800,sgiobair,captain
297,càr,car
933,cairt,card
299,cùram,care
252,a ghiùlan,carry
655,cùis,case
726,cat,cat
565,a ghlacadh,catch
781,a chaidh a ghlacadh,caught
140,aobhar,cause
508,cealla,cell
630,cheud,cent
486,meadhan,center
727,linn,century
