number,icelandic,english
33,a,a
422,fær,able
158,um,about
307,ofan,above
77,athöfn,act
68,bæta,add
917,hræddur,afraid
111,eftir,after
91,aftur,again
483,gegn,against
675,aldur,age
381,síðan,ago
796,sammála,agree
55,loft,air
151,allt,all
841,leyfa,allow
57,einnig,also
287,alltaf,always
541,am,am
400,meðal,among
48,sem,an
32,og,and
998,reiði,anger
92,dýr,animal
208,svar,answer
101,allir,any
491,birtist,appear
927,epli,apple
9,eru,are
335,svæði,area
547,armur,arm
968,raða,arrange
850,koma,arrive
518,list,art
1,sem,as
79,spyrja,ask
13,á,at
786,atóm,atom
701,barn,baby
112,aftur,back
624,slæmt,bad
536,bolti,ball
934,band,band
646,banka,bank
872,bar,bar
264,stöð,base
944,undirstöðu,basic
808,kylfu,bat
12,vera,be
592,bera,bear
746,slá,beat
425,fegurð,beauty
504,rúm,bed
198,verið,been
143,áður,before
258,byrjaði,began
280,byrja,begin
445,bak,behind
509,trúa,believe
815,bjalla,bell
452,besta,best
454,betur,better
219,milli,between
73,stór,big
314,fugl,bird
731,bita,bit
326,svart,black
951,blokk,block
627,blóð,blood
625,blása,blow
359,blár,blue
569,borð,board
371,bátur,boat
316,líkami,body
792,bein,bone
251,bók,book
972,fædd,born
290,bæði,both
689,botn,bottom
928,keypti,bought
417,kassi,box
146,drengur,boy
912,útibú,branch
869,brauð,bread
620,brjóta,break
587,björt,bright
393,koma,bring
993,breið,broad
654,braut,broke
505,bróðir,brother
389,fært,brought
636,brúnn,brown
97,byggja,build
723,brenna,burn
368,upptekinn,busy
21,en,but
706,kaupa,buy
18,með,by
192,kalla,call
118,kom,came
969,tjaldvagnar,camp
36,getur,can
751,höfuðborg,capital
800,skipstjórinn,captain
297,bíll,car
933,kort,card
299,umönnun,care
252,bera,carry
655,mál,case
726,köttur,cat
565,afli,catch
781,veiddur,caught
140,orsök,cause
508,klefi,cell
630,cent,cent
486,miðstöð,center
727,öld,century
405,víst,certain
753,stóll,chair
979,tækifæri,chance
81,breyting,change
779,eðli,character
870,ákæra,charge
952,mynd,chart
383,athuga,check
881,chick,chick
829,æðstu,chief
665,barn,child
279,börn,children
641,velja,choose
862,hljómurinn,chord
529,hring,circle
227,borg,city
999,krafa,claim
329,flokki,class
619,hreinn,clean
446,ljóst,clear
683,klifra,climb
831,klukka,clock
245,nálægt,close
597,klæða,clothe
678,ský,cloud
732,ströndin,coast
931,frakki,coat
498,kalt,cold
647,safna,collect
830,nýlenda,colony
270,lit,color
986,dálki,column
180,koma,come
372,algengar,common
956,fyrirtæki,company
812,bera,compare
333,heill,complete
940,ástand,condition
859,tengja,connect
728,íhuga,consider
667,samsvari,consonant
428,innihalda,contain
1000,heimsálfu,continent
950,áfram,continue
649,stjórn,control
719,elda,cook
684,kaldur,cool
733,eintak,copy
811,korn,corn
773,horn,corner
421,rétt,correct
634,kostnaður,cost
971,bómull,cotton
178,gat,could
513,telja,count
206,land,country
354,námskeið,course
215,kápa,cover
579,kýr,cow
698,aukning,crease
805,búa,create
768,uppskera,crop
229,yfir,cross
810,fólkið,crowd
409,gráta,cry
847,núverandi,current
267,skera,cut
868,pabbi,dad
544,dans,dance
754,hætta,danger
410,dökk,dark
177,dagur,day
843,dauður,dead
960,samningur,deal
882,kæri,dear
903,dauða,death
361,ákveða,decide
650,aukastaf,decimal
363,djúpt,deep
879,gráðu,degree
816,ráðast,depend
718,lýsa,describe
845,eyðimörk,desert
685,hönnun,design
973,ákvarða,determine
437,þróa,develop
669,orðabók,dictionary
181,gerði,did
609,deyja,die
138,mismunandi,differ
763,erfitt,difficult
319,bein,direct
921,ræða,discuss
395,fjarlæg,distant
532,skipta,divide
855,deild,division
41,gera,do
764,læknir,doctor
51,gerir,does
317,hundur,dog
921,dalur,dollar
424,gert,done
242,ekki,don’t
324,dyr,door
948,tvöfaldur,double
196,niður,down
238,draga,draw
938,draumur,dream
677,mætas,dress
885,drykkur,drink
426,drif,drive
539,falla,drop
377,þurr,dry
876,önd,duck
456,á,during
49,hver,each
651,eyra,ear
461,snemma,early
99,jörð,earth
284,vellíðan,ease
397,austur,east
255,borða,eat
581,brún,edge
789,áhrif,effect
506,egg,egg
702,átta,eight
721,annaðhvort,either
790,rafmagns,electric
770,þáttur,element
652,annað,else
60,enda,end
883,óvinurinn,enemy
501,orka,energy
545,vél,engine
301,nóg,enough
834,sláðu,enter
639,jafnt,equal
386,jafngilda,equate
915,sérstaklega,especially
69,jafnvel,even
939,kvöld,evening
958,atburður,event
308,alltaf,ever
120,hvert,every
607,nákvæm,exact
283,dæmi,example
613,nema,except
747,espa,excite
563,æfing,exercise
791,búast,expect
925,reynsla,experience
688,tilraun,experiment
222,auga,eye
271,andlit,face
449,staðreynd,fact
645,sanngjörn,fair
407,falla,fall
318,fjölskylda,family
820,frægur,famous
236,langt,far
230,bærinn,farm
467,hratt,fast
863,feitur,fat
100,faðir,father
858,favor,favor
823,ótti,fear
941,fæða,feed
312,finnst,feel
298,fætur,feet
642,féll,fell
534,fannst,felt
249,fáir,few
419,sviði,field
916,mynd,fig
744,berjast,fight
415,mynd,figure
396,fylla,fill
432,endanleg,final
200,finna,find
404,fínn,fine
741,fingur,finger
593,ljúka,finish
339,eldur,fire
193,fyrst,first
260,fiskur,fish
643,passa,fit
458,fimm,five
694,íbúð,flat
720,hæð,floor
644,rennsli,flow
596,blóm,flower
406,fljúga,fly
76,fylgja,follow
216,matur,food
366,fótur,foot
7,fyrir,for
358,afl,force
552,skógur,forest
130,mynd,form
922,áfram,forward
207,fann,found
218,fjórir,four
551,brot,fraction
440,frjáls,free
836,ferskur,fresh
257,vinur,friend
17,frá,from
429,framan,front
755,ávöxtur,fruit
357,fullur,full
586,gaman,fun
384,leikur,game
638,garður,garden
588,gas,gas
980,safna,gather
433,gaf,gave
526,almennt,general
798,blíður,gentle
106,fá,get
303,stúlka,girl
123,gefa,give
864,glaður,glad
577,gler,glass
179,fara,go
373,gull,gold
599,farinn,gone
121,gott,good
281,fékk,got
496,stjórna,govern
535,stóra,grand
578,gras,grass
990,grá,gray
132,mikill,great
