number,hungarian,english
33,ügynökség,a
422,képes,able
158,körülbelül,about
307,felett,above
77,felvonás,act
68,hozzáad,add
917,fél,afraid
111,után,after
91,újra,again
483,ellen,against
675,életkor,age
381,ezelőtt,ago
796,egyetért,agree
55,levegő,air
151,minden,all
841,hogy,allow
57,is,also
287,mindig,always
541,am,am
400,között,among
48,egy,an
32,és,and
998,harag,anger
92,állat,animal
208,válasz,answer
101,bármilyen,any
491,jelenik meg,appear
927,alma,apple
9,vannak,are
335,terület,area
547,kar,arm
968,intézkedik,arrange
850,megérkezik,arrive
518,művészet,art
1,mint,as
79,kér,ask
13,meg,at
786,atomnak,atom
701,baba,baby
112,vissza,back
624,rossz,bad
536,labda,ball
934,zenekar,band
646,bankot,bank
872,bár,bar
264,alap,base
944,alapvető,basic
808,denevér,bat
12,lehet,be
592,medve,bear
746,üt,beat
425,szépség,beauty
504,ágy,bed
198,volt,been
143,előtt,before
258,kezdődött,began
280,kezdődik,begin
445,mögött,behind
509,hisz,believe
815,bell,bell
452,legjobb,best
454,jobb,better
219,között,between
73,nagy,big
314,madár,bird
731,bit,bit
326,fekete,black
951,blokk,block
627,vér,blood
625,csapás,blow
359,kék,blue
569,tábla,board
371,hajó,boat
316,test,body
792,csont,bone
251,könyv,book
972,születése,born
290,mindkét,both
689,alsó,bottom
928,vásárolt,bought
417,doboz,box
146,fiú,boy
912,ág,branch
869,kenyér,bread
620,szünet,break
587,fényes,bright
393,hoz,bring
993,széles,broad
654,tört,broke
505,testvér,brother
389,hozott,brought
636,barna,brown
97,épít,build
723,éget,burn
368,elfoglalt,busy
21,de,but
706,vásárolni,buy
18,által,by
192,hívás,call
118,jött,came
969,tábor,camp
36,lehet,can
751,tőke,capital
800,kapitány,captain
297,autó,car
933,kártya,card
299,gondoskodás,care
252,visz,carry
655,ügy,case
726,macska,cat
565,fogás,catch
781,fogott,caught
140,ok,cause
508,sejt,cell
630,cent,cent
486,központ,center
727,század,century
405,bizonyos,certain
753,szék,chair
979,esély,chance
81,változás,change
779,betű,character
870,díj,charge
952,chart,chart
383,ellenőrizze,check
881,csaj,chick
829,főnök,chief
665,gyermek,child
279,gyerekek,children
641,választani,choose
862,akkord,chord
529,kör,circle
227,város,city
999,igény,claim
329,osztály,class
619,tiszta,clean
446,világos,clear
683,mászás,climb
831,óra,clock
245,szoros,close
597,öltöztet,clothe
678,felhő,cloud
732,tengerpart,coast
931,kabát,coat
498,hideg,cold
647,gyűjt,collect
830,kolónia,colony
270,szín,color
986,oszlop,column
180,jön,come
372,közös,common
956,társaság,company
812,összehasonlítása,compare
333,teljes,complete
940,állapot,condition
859,összekapcsol,connect
728,figyelembe,consider
667,mássalhangzó,consonant
428,tartalmaz,contain
1000,kontinens,continent
950,tovább,continue
649,vezérlés,control
719,szakács,cook
684,hűvös,cool
733,másolat,copy
811,kukorica,corn
773,sarok,corner
421,helyes,correct
634,költség,cost
971,pamut,cotton
178,tudott,could
513,számol,count
206,ország,country
354,tanfolyam,course
215,fedél,cover
579,tehén,cow
698,ránc,crease
805,teremt,create
768,termés,crop
229,kereszt,cross
810,tömeg,crowd
409,kiáltás,cry
847,jelenlegi,current
267,vágás,cut
868,apa,dad
544,tánc,dance
754,veszély,danger
410,sötét,dark
177,nap,day
843,halott,dead
960,üzlet,deal
882,kedves,dear
903,halál,death
361,dönt,decide
650,decimális,decimal
363,mély,deep
879,fok,degree
816,függ,depend
718,leírni,describe
845,sivatag,desert
685,tervezés,design
973,határozza meg,determine
437,fejleszt,develop
669,szótár,dictionary
181,tett,did
609,meghal,die
138,különböznek,differ
763,nehéz,difficult
319,közvetlen,direct
921,megvitassák,discuss
395,távoli,distant
532,szakadék,divide
855,osztás,division
41,csinálni,do
764,orvos,doctor
51,nem,does
317,kutya,dog
921,dollárral,dollar
424,kész,done
242,nem,don’t
324,ajtó,door
