number,dutch,english
33,een,a
422,in staat,able
158,over,about
307,boven,above
77,act,act
68,toevoegen,add
917,bang,afraid
111,na,after
91,weer,again
483,tegen,against
675,leeftijd,age
381,geleden,ago
796,instemmen,agree
55,lucht,air
151,alle,all
841,toelaten,allow
57,ook,also
287,altijd,always
541,ben,am
400,onder,among
48,een,an
32,en,and
998,woede,anger
92,dier,animal
208,antwoord,answer
101,een,any
491,verschijnen,appear
927,appel,apple
9,zijn,are
335,gebied,area
547,arm,arm
968,regelen,arrange
850,aankomen,arrive
518,kunst,art
1,als,as
79,vragen,ask
13,bij,at
786,atoom,atom
701,kindje,baby
112,terug,back
624,slecht,bad
536,bal,ball
934,band,band
646,bank,bank
872,bar,bar
264,base,base
944,elementaire,basic
808,vleermuis,bat
12,zijn,be
592,dragen,bear
746,verslaan,beat
425,schoonheid,beauty
504,bedden,bed
198,geweest,been
143,voor,before
258,begon,began
280,beginnen,begin
445,achter,behind
509,geloven,believe
815,bell,bell
452,best,best
454,beter,better
219,tussen,between
73,grote,big
314,vogel,bird
731,beetje,bit
326,zwart,black
951,blokkeren,block
627,bloed,blood
625,klap,blow
359,blauw,blue
569,boord,board
371,boot,boat
316,lichaam,body
792,bot,bone
251,boek,book
972,geboren,born
290,beide,both
689,onderzijde,bottom
928,gekocht,bought
417,doos,box
146,jongen,boy
912,tak,branch
869,brood,bread
620,break,break
587,heldere,bright
393,brengen,bring
993,brede,broad
654,brak,broke
505,broer,brother
389,bracht,brought
636,bruin,brown
97,bouwen,build
723,verbranden,burn
368,drukke,busy
21,maar,but
706,kopen,buy
18,door,by
192,roep,call
118,kwam,came
969,kamp,camp
36,kan,can
751,hoofdstad,capital
800,kapitein,captain
297,auto,car
933,kaart,card
299,zorg,care
252,dragen,carry
655,geval,case
726,kat,cat
565,vangst,catch
781,gevangen,caught
140,oorzaak,cause
508,cel,cell
630,procent,cent
486,centrum,center
727,eeuw,century
405,bepaalde,certain
753,stoel,chair
979,kans,chance
81,verandering,change
779,karakter,character
870,rekenen,charge
952,grafiek,chart
383,controleren,check
881,kuiken,chick
829,chief,chief
665,kind,child
279,kinderen,children
641,kiezen,choose
862,akkoord,chord
529,cirkel,circle
227,stad,city
999,vordering,claim
329,klasse,class
619,schoon,clean
446,duidelijk,clear
683,klimmen,climb
831,klok,clock
245,dicht,close
597,kleden,clothe
678,wolk,cloud
732,kust,coast
931,coat,coat
498,koude,cold
647,verzamelen,collect
830,kolonie,colony
270,kleur,color
986,column,column
180,komen,come
372,gemeenschappelijke,common
956,bedrijf,company
812,vergelijken,compare
333,compleet,complete
940,voorwaarde,condition
859,aansluiten,connect
728,overwegen,consider
667,medeklinker,consonant
428,bevatten,contain
