symbol,percentage,number_of_dates
AAS,-1,0
AAT,-1,0
ABB,-1,0
ACG,-1,0
AGE,-1,0
AIC,-1,0
AMP,-1,0
APH,-1,0
APL,-1,0
ASG,-1,0
AUM,-1,0
BAF,-1,0
BBH,-1,0
BCA,-1,0
BCB,-1,0
BCV,-1,0
BDB,-1,0
BHG,-1,0
BIG,-1,0
BIO,-1,0
BKG,-1,0
BLN,-1,0
BLW,-1,0
BMD,-1,0
BMN,-1,0
BMV,-1,0
BNA,-1,0
BNW,-1,0
BRS,-1,0
BSC,-1,0
BSD,-1,0
BVB,-1,0
BVL,-1,0
BVN,-1,0
CAB,-1,0
CAG,-1,0
CAR,-1,0
CCT,-1,0
CDR,-1,0
CE1,-1,0
CFM,-1,0
CFV,-1,0
CHC,-1,0
CIP,-1,0
CMK,-1,0
CMP,-1,0
CMW,-1,0
CNA,-1,0
CPA,-1,0
CPH,-1,0
CQN,-1,0
CST,-1,0
CVP,-1,0
CX8,-1,0
DAN,-1,0
DBW,-1,0
DCG,-1,0
DCH,-1,0
DDH,-1,0
DFF,-1,0
DHB,-1,0
DKC,-1,0
DLR,-1,0
DMN,-1,0
DNN,-1,0
DPD,-1,0
DSD,-1,0
DSG,-1,0
DTE,-1,0
DTH,-1,0
DTP,-1,0
DUS,-1,0
DVG,-1,0
DVM,-1,0
DVW,-1,0
DWC,-1,0
DWS,-1,0
DXS,-1,0
EPC,-1,0
FBA,-1,0
FBC,-1,0
FCC,-1,0
FCS,-1,0
FGL,-1,0
FHN,-1,0
FSO,-1,0
FTI,-1,0
GE2,-1,0
GEE,-1,0
GER,-1,0
GH3,-1,0
GIC,-1,0
GLC,-1,0
GMA,-1,0
GMH,-1,0
HC1,-1,0
HD6,-1,0
HFX,-1,0
HGT,-1,0
HGW,-1,0
HHC,-1,0
HHN,-1,0
HHR,-1,0
HLR,-1,0
HMG,-1,0
HMR,-1,0
HNR,-1,0
HSV,-1,0
HTW,-1,0
IBN,-1,0
ICI,-1,0
IDP,-1,0
IME,-1,0
IN4,-1,0
IPA,-1,0
IRC,-1,0
JOS,-1,0
KAC,-1,0
KHG,-1,0
KHW,-1,0
KSF,-1,0
KSV,-1,0
KTC,-1,0
L40,-1,0
L62,-1,0
LAW,-1,0
LBC,-1,0
LCC,-1,0
LCD,-1,0
LCW,-1,0
LDW,-1,0
LG9,-1,0
LNC,-1,0
LPT,-1,0
LQN,-1,0
LSG,-1,0
LWS,-1,0
LYF,-1,0
MBN,-1,0
MCI,-1,0
MCM,-1,0
MDA,-1,0
MEF,-1,0
MEL,-1,0
MES,-1,0
MGC,-1,0
MGR,-1,0
MIE,-1,0
MIM,-1,0
MLC,-1,0
MPY,-1,0
MQB,-1,0
MSB,-1,0
MTB,-1,0
MTC,-1,0
MTS,-1,0
NAB,-1,0
NAC,-1,0
NAU,-1,0
NDW,-1,0
NFC,-1,0
NHV,-1,0
NJC,-1,0
NQT,-1,0
NSS,-1,0
NTF,-1,0
NVP,-1,0
NWT,-1,0
NXT,-1,0
OCB,-1,0
ODE,-1,0
ONW,-1,0
PAI,-1,0
PAP,-1,0
PAS,-1,0
PAT,-1,0
PCH,-1,0
PEC,-1,0
PEG,-1,0
PGB,-1,0
PID,-1,0
PLA,-1,0
PLE,-1,0
PND,-1,0
PPT,-1,0
PQN,-1,0
PRC,-1,0
PRE,-1,0
PTD,-1,0
PTG,-1,0
PTN,-1,0
PTO,-1,0
PX1,-1,0
PXC,-1,0
QNT,-1,0
QNW,-1,0
QST,-1,0
RBC,-1,0
SAL,-1,0
SBR,-1,0
SCG,-1,0
SCO,-1,0
SCV,-1,0
SCY,-1,0
SDJ,-1,0
SDX,-1,0
SDY,-1,0
SGB,-1,0
SGI,-1,0
SHX,-1,0
SPD,-1,0
SPH,-1,0
SQC,-1,0
SSB,-1,0
SSF,-1,0
SSH,-1,0
STT,-1,0
SVD,-1,0
SVH,-1,0
SZG,-1,0
TA3,-1,0
TAN,-1,0
TB8,-1,0
TBH,-1,0
TBR,-1,0
TBT,-1,0
TBX,-1,0
TED,-1,0
TET,-1,0
TGP,-1,0
THN,-1,0
THW,-1,0
TIN,-1,0
TKA,-1,0
TKG,-1,0
TNH,-1,0
TOS,-1,0
TQN,-1,0
TQW,-1,0
TR1,-1,0
TS3,-1,0
TTA,-1,0
TTS,-1,0
TV6,-1,0
TVM,-1,0
UDL,-1,0
UEM,-1,0
UMC,-1,0
USC,-1,0
VAB,-1,0
