id,competitionId,competitionTier,season,round,status,date,time,stadium,homeId,homeTeam,homeScore,awayScore,awayId,awayTeam,note
1-DAL-TNI,2,TIER_TWO,2018,1,FINISHED,2018-04-14,15:30,Buôn Ma Thuột,DAL,Đắk Lắk,3,0,TNI,XM Fico - YTL Tây Ninh,
1-HUE-DOT,2,TIER_TWO,2018,1,FINISHED,2018-04-14,15:30,Tự Do,HUE,Huế,1,1,DOT,Đồng Tháp,
1-BIDI-CAND,2,TIER_TWO,2018,1,FINISHED,2018-04-14,16:00,Quy Nhơn,BIDI,Topenland Bình Định,1,0,CAND,Công An Nhân Dân,
1-VTL-HAT,2,TIER_TWO,2018,1,FINISHED,2018-04-14,17:00,Hàng Đẫy,VTL,Viettel,1,1,HAT,Hồng Lĩnh Hà Tĩnh,
1-LAN-BPH,2,TIER_TWO,2018,1,FINISHED,2018-04-14,17:00,Long An,LAN,Long An,1,1,BPH,Bình Phước,
2-DOT-BIDI,2,TIER_TWO,2018,2,FINISHED,2018-04-20,16:00,Đồng Tháp,DOT,Đồng Tháp,2,0,BIDI,Topenland Bình Định,
2-CAND-DAL,2,TIER_TWO,2018,2,FINISHED,2018-04-21,15:30,Pleiku,CAND,Công An Nhân Dân,1,0,DAL,Đắk Lắk,
2-BPH-VTL,2,TIER_TWO,2018,2,FINISHED,2018-04-21,15:30,Bình Phước,BPH,Bình Phước,0,2,VTL,Viettel,
2-TNI-HUE,2,TIER_TWO,2018,2,FINISHED,2018-04-21,16:30,Tây Ninh,TNI,XM Fico - YTL Tây Ninh,2,0,HUE,Huế,
2-HUE-CAND,2,TIER_TWO,2018,2,FINISHED,2018-05-04,15:30,Tự Do,HUE,Huế,2,0,CAND,Công An Nhân Dân,
3-BPH-HAT,2,TIER_TWO,2018,3,FINISHED,2018-05-04,16:03,Bình Phước,BPH,Bình Phước,2,2,HAT,Hồng Lĩnh Hà Tĩnh,
3-VTL-LAN,2,TIER_TWO,2018,3,FINISHED,2018-05-04,17:00,Hàng Đẫy,VTL,Viettel,1,1,LAN,Long An,
3-DAL-DOT,2,TIER_TWO,2018,3,FINISHED,2018-05-05,15:30,Buôn Ma Thuột,DAL,Đắk Lắk,0,0,DOT,Đồng Tháp,
3-TNI-BIDI,2,TIER_TWO,2018,3,FINISHED,2018-05-05,16:30,Tây Ninh,TNI,XM Fico - YTL Tây Ninh,2,0,BIDI,Topenland Bình Định,
3-HAT-LAN,2,TIER_TWO,2018,3,FINISHED,2018-05-08,17:00,Hà Tĩnh,HAT,Hồng Lĩnh Hà Tĩnh,1,1,LAN,Long An,
4-BIDI-VTL,2,TIER_TWO,2018,4,FINISHED,2018-05-18,16:00,Quy Nhơn,BIDI,Topenland Bình Định,0,1,VTL,Viettel,
4-HAT-HUE,2,TIER_TWO,2018,4,FINISHED,2018-05-18,17:00,Hà Tĩnh,HAT,Hồng Lĩnh Hà Tĩnh,0,3,HUE,Huế,
4-CAND-BPH,2,TIER_TWO,2018,4,FINISHED,2018-05-19,15:30,Pleiku,CAND,Công An Nhân Dân,1,1,BPH,Bình Phước,
4-DOT-TNI,2,TIER_TWO,2018,4,FINISHED,2018-05-19,16:00,Đồng Tháp,DOT,Đồng Tháp,1,0,TNI,XM Fico - YTL Tây Ninh,
4-LAN-DAL,2,TIER_TWO,2018,4,FINISHED,2018-05-19,17:00,Long An,LAN,Long An,1,0,DAL,Đắk Lắk,
5-DOT-CAND,2,TIER_TWO,2018,5,FINISHED,2018-05-25,16:00,Đồng Tháp,DOT,Đồng Tháp,1,0,CAND,Công An Nhân Dân,
5-TNI-HAT,2,TIER_TWO,2018,5,FINISHED,2018-05-25,16:30,Tây Ninh,TNI,XM Fico - YTL Tây Ninh,0,2,HAT,Hồng Lĩnh Hà Tĩnh,
5-BIDI-BPH,2,TIER_TWO,2018,5,FINISHED,2018-05-26,16:00,Quy Nhơn,BIDI,Topenland Bình Định,0,0,BPH,Bình Phước,
5-HUE-LAN,2,TIER_TWO,2018,5,FINISHED,2018-05-26,16:30,Tự Do,HUE,Huế,1,1,LAN,Long An,
5-VTL-DAL,2,TIER_TWO,2018,5,FINISHED,2018-05-27,17:00,Hàng Đẫy,VTL,Viettel,2,0,DAL,Đắk Lắk,
6-HAT-BIDI,2,TIER_TWO,2018,6,FINISHED,2018-06-01,17:00,Hà Tĩnh,HAT,Hồng Lĩnh Hà Tĩnh,5,1,BIDI,Topenland Bình Định,
6-LAN-TNI,2,TIER_TWO,2018,6,FINISHED,2018-06-01,17:00,Long An,LAN,Long An,2,1,TNI,XM Fico - YTL Tây Ninh,
6-DAL-HUE,2,TIER_TWO,2018,6,FINISHED,2018-06-02,15:30,Buôn Ma Thuột,DAL,Đắk Lắk,3,3,HUE,Huế,
6-CAND-VTL,2,TIER_TWO,2018,6,FINISHED,2018-06-02,15:30,Pleiku,CAND,Công An Nhân Dân,0,4,VTL,Viettel,
6-BPH-DOT,2,TIER_TWO,2018,6,FINISHED,2018-06-02,16:30,Bình Phước,BPH,Bình Phước,1,0,DOT,Đồng Tháp,
7-BIDI-LAN,2,TIER_TWO,2018,7,FINISHED,2018-06-08,16:00,Quy Nhơn,BIDI,Topenland Bình Định,4,0,LAN,Long An,
7-HUE-VTL,2,TIER_TWO,2018,7,FINISHED,2018-06-08,16:30,Tự Do,HUE,Huế,1,3,VTL,Viettel,
7-TNI-CAND,2,TIER_TWO,2018,7,FINISHED,2018-06-08,16:30,Tây Ninh,TNI,XM Fico - YTL Tây Ninh,1,1,CAND,Công An Nhân Dân,
7-DAL-BPH,2,TIER_TWO,2018,7,FINISHED,2018-06-09,15:30,Buôn Ma Thuột,DAL,Đắk Lắk,5,0,BPH,Bình Phước,
7-HAT-DOT,2,TIER_TWO,2018,7,FINISHED,2018-06-09,17:00,Hà Tĩnh,HAT,Hồng Lĩnh Hà Tĩnh,2,0,DOT,Đồng Tháp,
8-DOT-LAN,2,TIER_TWO,2018,8,FINISHED,2018-06-15,16:00,Đồng Tháp,DOT,Đồng Tháp,3,1,LAN,Long An,
8-BIDI-DAL,2,TIER_TWO,2018,8,FINISHED,2018-06-15,16:00,Quy Nhơn,BIDI,Topenland Bình Định,3,2,DAL,Đắk Lắk,
8-CAND-HAT,2,TIER_TWO,2018,8,FINISHED,2018-06-16,15:30,Pleiku,CAND,Công An Nhân Dân,3,4,HAT,Hồng Lĩnh Hà Tĩnh,
8-BPH-HUE,2,TIER_TWO,2018,8,FINISHED,2018-06-16,15:30,Bình Phước,BPH,Bình Phước,1,1,HUE,Huế,
8-VTL-TNI,2,TIER_TWO,2018,8,FINISHED,2018-06-16,17:00,Hàng Đẫy,VTL,Viettel,5,1,TNI,XM Fico - YTL Tây Ninh,
