issue_share,listing_date,subsector,name,symbol,supersector,market_cap,sector,industry,listed_value
24501817.0,24/09/2015 00:00:00,Transportation Services,Cam Ranh Port Joint Stock Company,CCR,Industrial Goods & Services,305670212500.0,Industrial Transportation,Industrials,24501817.0
28480000.0,30/06/2017 00:00:00,Transportation Services,Can Tho Port Joint Stock Company,CCT,Industrial Goods & Services,310432000000.0,Industrial Transportation,Industrials,28480000.0
99000000.0,30/11/2016 00:00:00,Transportation Services,DaNang Port Joint Stock Company,CDN,Industrial Goods & Services,2633400000000.0,Industrial Transportation,Industrials,99000000.0
36505000.0,28/07/2017 00:00:00,Transportation Services,Cai Lan Port Investment Joint Stock Company,CPI,Industrial Goods & Services,113165500000.0,Industrial Transportation,Industrials,36505000.0
12244495.0,08/07/2008 00:00:00,Marine Transportation,Dong Do Marine Joint Stock Company,DDM,Industrial Goods & Services,47753518800.0,Industrial Transportation,Industrials,12244495.0
6100391.0,10/08/2018 00:00:00,Business Training & Employment Agencies,International Labour and Services Joint Stock Company,ILC,Industrial Goods & Services,50456289300.0,Support Services,Industrials,6100391.0
8800000.0,22/09/2015 00:00:00,Marine Transportation,International Shipping and Labour Cooperation Joint Stock Company,ISG,Industrial Goods & Services,66000000000.0,Industrial Transportation,Industrials,8800000.0
21517200.0,19/07/2016 00:00:00,Transportation Services,Nghe Tinh Port Holding Joint Stock Company,NAP,Industrial Goods & Services,275420160000.0,Industrial Transportation,Industrials,21517200.0
20056000.0,11/01/2011 00:00:00,Marine Transportation,Oriental Shipping and Trading Joint Stock Company,NOS,Industrial Goods & Services,23431118400.0,Industrial Transportation,Industrials,20056000.0
326960000.0,12/08/2015 00:00:00,Transportation Services,Hai Phong Port Joint Stock Company,PHP,Industrial Goods & Services,5432767360000.0,Industrial Transportation,Industrials,326960000.0
216294961.0,25/04/2016 00:00:00,Transportation Services,Sai Gon Port Joint Stock Company,SGP,Industrial Goods & Services,2803398989521.0,Industrial Transportation,Industrials,216294961.0
5000000.0,05/01/2011 00:00:00,Marine Transportation,Seagull Shipping Company,SSG,Industrial Goods & Services,33872092000.0,Industrial Transportation,Industrials,5000000.0
8600000.0,17/12/2007 00:00:00,Trucking,Transport and Trading service Joint Stock Company,TJC,Industrial Goods & Services,174580000000.0,Industrial Transportation,Industrials,8600000.0
4004000.0,17/01/2019 00:00:00,Heavy Construction,Construction Consultation Joint Stock Company For Maritime Building,TVH,Construction & Materials,136136000000.0,Construction & Materials,Industrials,4004000.0
14212130.0,18/09/2015 00:00:00,Trucking,VIMC Logistics Joint Stock Company,VLG,Industrial Goods & Services,67978224000.0,Industrial Transportation,Industrials,14212130.0
9000000.0,20/10/2015 00:00:00,Transportation Services,Vietnam Maritime Development Joint Stock Company,VMS,Industrial Goods & Services,80099982200.0,Industrial Transportation,Industrials,9000000.0
20000000.0,09/09/2008 00:00:00,Marine Transportation,Vinaship Joint Stock Company,VNA,Industrial Goods & Services,673880000000.0,Industrial Transportation,Industrials,20000000.0
140000000.0,08/09/2010 00:00:00,Marine Transportation,Vietnam Ocean Shipping Joint Stock Company,VOS,Industrial Goods & Services,1449000000000.0,Industrial Transportation,Industrials,140000000.0
14096486.0,22/12/2015 00:00:00,Trucking,Vietnam Ocean Shipping Agency Corporation,VSA,Industrial Goods & Services,296026206000.0,Industrial Transportation,Industrials,14096486.0
62999337.0,26/02/2009 00:00:00,Marine Transportation,Viet Nam Sea Transport and Chartering Joint Stock Company,VST,Industrial Goods & Services,245697414300.0,Industrial Transportation,Industrials,62999337.0
