issue_share,listing_date,subsector,name,symbol,supersector,market_cap,sector,industry,listed_value
8200000.0,24/03/2017 00:00:00,Heavy Construction,Thong Nhat Joint Stock Company,BAX,Construction & Materials,599420000000.0,Construction & Materials,Industrials,8200000.0
112500000.0,16/06/2017 00:00:00,Commodity Chemicals,BaRia Rubber Joint Stock Company,BRR,Chemicals,2644200000000.0,Chemicals,Basic Materials,112500000.0
43000000.0,30/11/2007 00:00:00,Commodity Chemicals,Dong Phu Rubber Joint Stock Company,DPR,Chemicals,2399400000000.0,Chemicals,Basic Materials,43000000.0
2200000.0,01/06/2010 00:00:00,Commodity Chemicals,Geru Star Sport Joint Stock Company,GER,Chemicals,23760000000.0,Chemicals,Basic Materials,2200000.0
30206622.0,26/12/2006 00:00:00,Commodity Chemicals,Hoa Binh Rubber Joint Stock Company,HRC,Chemicals,1721777454000.0,Chemicals,Basic Materials,30206622.0
55113595.0,25/02/2011 00:00:00,Forestry,MDF VRG - Quang Tri Wood Joint Stock Company,MDF,Basic Resources,572520024860.0,Forestry & Paper,Basic Materials,55113595.0
135499198.0,18/08/2009 00:00:00,Commodity Chemicals,Phuoc Hoa Rubber Joint Stock Company,PHR,Chemicals,5555467118000.0,Chemicals,Basic Materials,135499198.0
10030308.0,18/02/2016 00:00:00,Commodity Chemicals,Rubber Industry &amp; Import- Export Joint Stock Company,RBC,Chemicals,144594136800.0,Chemicals,Basic Materials,10030308.0
87945000.0,07/11/2016 00:00:00,Commodity Chemicals,Tan Bien Rubber Joint Stock Company,RTB,Chemicals,2192029125000.0,Chemicals,Basic Materials,87945000.0
30000000.0,24/07/2007 00:00:00,Commodity Chemicals,Tay Ninh Rubber Joint Stock Company,TRC,Chemicals,915981250000.0,Chemicals,Basic Materials,30000000.0
