issue_share,listing_date,subsector,name,symbol,supersector,market_cap,sector,industry,listed_value
146912668.0,29/09/2016 00:00:00,Conventional Electricity,Central Hydropower Joint Stock Company,CHP,Utilities,3672816700000.0,Electricity,Utilities,146912668.0
5280000.0,09/09/2010 00:00:00,Conventional Electricity,Tra Vinh Electric Development Joint Stock Corporation,DTV,Utilities,224246400000.0,Electricity,Utilities,5280000.0
9500000.0,15/06/2010 00:00:00,Water,Gia Dinh Wasuco Joint Stock Company,GDW,Utilities,145350000000.0,"Gas, Water & Multi-utilities",Utilities,9500000.0
45000000.0,29/06/2015 00:00:00,Conventional Electricity,IDICO Srok Phu Mieng Hydropower Joint Stock Company,ISH,Utilities,945000000000.0,Electricity,Utilities,45000000.0
26000000.0,20/02/2017 00:00:00,Water,Khanh Hoa Water Supply And Sewerage Joint Stock Company,KHW,Utilities,414699942000.0,"Gas, Water & Multi-utilities",Utilities,26000000.0
12865500.0,06/08/2009 00:00:00,Conventional Electricity,Ninh Binh Thermal Power Joint-Stock Company,NBP,Utilities,174970800000.0,Electricity,Utilities,12865500.0
10900000.0,04/05/2010 00:00:00,Water,Nha Be Water Supply Joint Stock Company,NBW,Utilities,282310000000.0,"Gas, Water & Multi-utilities",Utilities,10900000.0
326235000.0,26/01/2007 00:00:00,Conventional Electricity,Pha Lai Thermal Power Joint Stock Company,PPC,Utilities,4616827977600.0,Electricity,Utilities,326235000.0
124225000.0,07/06/2018 00:00:00,Conventional Electricity,Song Ba Ha Hydro Power Joint Stock Company,SBH,Utilities,4969000000000.0,Electricity,Utilities,124225000.0
60000000.0,11/05/2015 00:00:00,Real Estate Holding & Development,Saigon Real Estate Group Joint Stock Company,SGR,Real Estate,974999821250.0,Real Estate Investment & Services,Financials,60000000.0
63500000.0,19/10/2009 00:00:00,Conventional Electricity,Thac Ba Hydropower Joint Stock Company,TBC,Utilities,1917700000000.0,Electricity,Utilities,63500000.0
8500000.0,11/11/2010 00:00:00,Water,Thu Duc Water Supply Joint Stock Company,TDW,Utilities,367625000000.0,"Gas, Water & Multi-utilities",Utilities,8500000.0
70000000.0,18/06/2009 00:00:00,Conventional Electricity,Thac Mo Hydropower Joint Stock Company,TMP,Utilities,3703000000000.0,Electricity,Utilities,70000000.0
75000000.0,23/11/2016 00:00:00,Water,Song Da Water Investment Joint Stock Company,VCW,Utilities,3375000000000.0,"Gas, Water & Multi-utilities",Utilities,75000000.0
236241246.0,18/07/2006 00:00:00,Conventional Electricity,Vinh Son - Song Hinh Hydropower Joint Stock Company,VSH,Utilities,8055826488600.0,Electricity,Utilities,236241246.0
