issue_share,listing_date,subsector,name,symbol,supersector,market_cap,sector,industry,listed_value
8353620.0,14/12/2006 00:00:00,Heavy Construction,Song Da Mechanical Assembiling Joint Stock Company,MEC,Construction & Materials,45944910000.0,Construction & Materials,Industrials,8353620.0
5801924.0,14/10/2022 00:00:00,Real Estate Holding & Development,Khanh Hoa House Development Joint Stock Company,PTN,Real Estate,65753204692.0,Real Estate Investment & Services,Financials,5801924.0
5000000.0,16/01/2008 00:00:00,Heavy Construction,Song Da No 12 Joint Stock Company,S12,Construction & Materials,13000000000.0,Construction & Materials,Industrials,5000000.0
1572833.0,16/09/2010 00:00:00,Heavy Construction,Song Da 27 Joint Stock Company,S27,Construction & Materials,4561215700.0,Construction & Materials,Industrials,1572833.0
14423536.0,30/11/2007 00:00:00,Heavy Construction,Song Da 2 Joint Stock Company,SD2,Construction & Materials,72117680000.0,Construction & Materials,Industrials,14423536.0
15999356.0,25/12/2006 00:00:00,Heavy Construction,Song Da 3 Joint Stock Company,SD3,Construction & Materials,52797874800.0,Construction & Materials,Industrials,15999356.0
10300000.0,25/06/2008 00:00:00,Heavy Construction,Song Da 4 Joint Stock Company,SD4,Construction & Materials,43260000000.0,Construction & Materials,Industrials,10300000.0
25999848.0,27/12/2006 00:00:00,Heavy Construction,Song Da No5 Joint Stock Company,SD5,Construction & Materials,215798738400.0,Construction & Materials,Industrials,25999848.0
34771611.0,25/12/2006 00:00:00,Heavy Construction,Song Da Joint Stock Company No 6,SD6,Construction & Materials,100837671900.0,Construction & Materials,Industrials,34771611.0
34234000.0,20/12/2006 00:00:00,Heavy Construction,Song Da No9 Joint Stock Company,SD9,Construction & Materials,239638000000.0,Construction & Materials,Industrials,34234000.0
2609710.0,25/12/2006 00:00:00,Business Support Services,Song Da Consulting Joint Stock Company,SDC,Industrial Goods & Services,21921043200.0,Support Services,Industrials,2609710.0
42732311.0,14/12/2006 00:00:00,Heavy Construction,Song Da No 10 Joint Stock Company,SDT,Construction & Materials,132470164100.0,Construction & Materials,Industrials,42732311.0
20000000.0,28/09/2009 00:00:00,Heavy Construction,Song Da Urban Investment Construction And Development Joint Stock Company,SDU,Construction & Materials,630000000000.0,Construction & Materials,Industrials,20000000.0
2250000.0,24/09/2015 00:00:00,Heavy Construction,Song Da Investment Construction and Fire Prevention Joint Stock Company,SDX,Construction & Materials,9250000000.0,Construction & Materials,Industrials,2250000.0
68998620.0,25/12/2006 00:00:00,Conventional Electricity,Can Don Hydropower Joint Stock Company,SJD,Utilities,1100527989000.0,Electricity,Utilities,68998620.0
114855540.0,06/07/2006 00:00:00,Real Estate Holding & Development,Song Da Urban &amp; Industrial Zone Investment and Development Joint Stock Company,SJS,Real Estate,6833848800000.0,Real Estate Investment & Services,Financials,114855540.0
