issue_share,listing_date,subsector,name,symbol,supersector,market_cap,sector,industry,listed_value
27299999.0,21/12/2006 00:00:00,Steel,VNSTEEL - Ho Chi Minh City Metal Corporation,HMC,Basic Resources,272999990000.0,Industrial Metals & Mining,Basic Materials,27299999.0
9000000.0,09/09/2016 00:00:00,Steel,VNSTEEL - Hanoi Steel Corporation,HMG,Basic Resources,117900000000.0,Industrial Metals & Mining,Basic Materials,9000000.0
9846562.0,10/08/2009 00:00:00,Steel,Central Vietnam Metal Corporation,KMT,Basic Resources,79757152200.0,Industrial Metals & Mining,Basic Materials,9846562.0
2600000.0,28/10/2010 00:00:00,Industrial Machinery,Mechanical Engineering and Metallurgy Joint - Stock Company,SDK,Industrial Goods & Services,68120000000.0,Industrial Engineering,Industrials,2600000.0
12225393.0,06/10/2011 00:00:00,Steel,VNSTEEL - Thu Duc Steel Joint Stock Company,TDS,Basic Resources,195606288000.0,Industrial Metals & Mining,Basic Materials,12225393.0
184000000.0,24/03/2011 00:00:00,Steel,Thai Nguyen Iron and Steel Joint Stock Corporation,TIS,Basic Resources,896025943000.0,Industrial Metals & Mining,Basic Materials,184000000.0
11500000.0,16/04/2010 00:00:00,Steel,VNSTEEL - Nha Be Steel Joint Stock Company,TNB,Basic Resources,217348155000.0,Industrial Metals & Mining,Basic Materials,11500000.0
20000000.0,06/01/2017 00:00:00,Steel,Thongnhat Flat Steel Joint Stock Company,TNS,Basic Resources,63340000000.0,Industrial Metals & Mining,Basic Materials,20000000.0
11000000.0,16/03/2017 00:00:00,Building Materials & Fixtures,RedstarCera Joint Stock Company,TRT,Construction & Materials,175564288000.0,Construction & Materials,Industrials,11000000.0
15187322.0,21/02/2011 00:00:00,Steel,VNSTEEL - VICASA Joint Stock Company,VCA,Basic Resources,153391952200.0,Industrial Metals & Mining,Basic Materials,15187322.0
1965440.0,01/03/2011 00:00:00,Steel,Binh Tay Steel Netting Joint Stock Company,VDT,Basic Resources,68986944000.0,Industrial Metals & Mining,Basic Materials,1965440.0
9325155.0,15/08/2016 00:00:00,Steel,Vingal Industries Joint Stock Company,VGL,Basic Resources,194895739500.0,Industrial Metals & Mining,Basic Materials,9325155.0
25500000.0,04/09/2014 00:00:00,Transportation Services,VINATRANS,VIN,Industrial Goods & Services,510000000000.0,Industrial Transportation,Industrials,25500000.0
