issue_share,listing_date,subsector,name,symbol,supersector,market_cap,sector,industry,listed_value
5292000.0,25/12/2018 00:00:00,Clothing & Accessories,Binh Minh Garment Joint Stock Company,BMG,Personal & Household Goods,80438400000.0,Personal Goods,Consumer Goods,5292000.0
6825000.0,14/12/2018 00:00:00,Clothing & Accessories,DapCau Garment Corporation Joint Stock Company,DCG,Personal & Household Goods,150149912000.0,Personal Goods,Consumer Goods,6825000.0
15224701.0,21/01/2010 00:00:00,Clothing & Accessories,Hue Textile Garment Joint Stock Company,HDM,Personal & Household Goods,302210314850.0,Personal Goods,Consumer Goods,15224701.0
11890000.0,12/12/2017 00:00:00,Clothing & Accessories,Huu Nghi Garment Joint Stock Company,HNI,Personal & Household Goods,651511720000.0,Personal Goods,Consumer Goods,11890000.0
30003075.0,14/06/2017 00:00:00,Clothing & Accessories,Hoa Tho Textile - Garment Joint Sock Corporation,HTG,Personal & Household Goods,926945002125.0,Personal Goods,Consumer Goods,30003075.0
16259725.0,18/12/2017 00:00:00,Clothing & Accessories,Hung Yen Garment Corporation - Joint Stock Company,HUG,Personal & Household Goods,650389000000.0,Personal Goods,Consumer Goods,16259725.0
30240000.0,10/01/2018 00:00:00,Clothing & Accessories,Garment 10 Corporation - Joint Stock Company,M10,Personal & Household Goods,595723193200.0,Personal Goods,Consumer Goods,30240000.0
8999622.0,06/11/2017 00:00:00,Clothing & Accessories,Duc Giang Corporation,MGG,Personal & Household Goods,271914579108.0,Personal Goods,Consumer Goods,8999622.0
18200000.0,24/04/2018 00:00:00,Clothing & Accessories,Nha Be Garment Corporation - Joint Stock Company,MNB,Personal & Household Goods,371280000000.0,Personal Goods,Consumer Goods,18200000.0
15639976.0,11/09/2018 00:00:00,Clothing & Accessories,Nam Dinh Textile Garment Joint Stock Corporation,NDT,Personal & Household Goods,141150783400.0,Personal Goods,Consumer Goods,15639976.0
3000000.0,23/12/2020 00:00:00,Clothing & Accessories,Nam Dinh Garment Joint Stock Company,NJC,Personal & Household Goods,81900000000.0,Personal Goods,Consumer Goods,3000000.0
74670891.0,23/08/2017 00:00:00,Clothing & Accessories,Phong Phu Corporation,PPH,Personal & Household Goods,1714294315578.0,Personal Goods,Consumer Goods,74670891.0
9500000.0,17/10/2016 00:00:00,Clothing & Accessories,Phu Bai Spinning Joint Stock Company,SPB,Personal & Household Goods,361000000000.0,Personal Goods,Consumer Goods,9500000.0
21000000.0,17/07/2017 00:00:00,Clothing & Accessories,Viet Thang Corporation - JSC,TVT,Personal & Household Goods,535500000000.0,Personal Goods,Consumer Goods,21000000.0
2993910.0,15/07/2010 00:00:00,Clothing & Accessories,Vinatex Da Nang Joint Stock Company,VDN,Personal & Household Goods,56354697000.0,Personal Goods,Consumer Goods,2993910.0
44100000.0,10/03/2016 00:00:00,Clothing & Accessories,Viet Tien Garment Corporation,VGG,Personal & Household Goods,1536885000000.0,Personal Goods,Consumer Goods,44100000.0
3500000.0,17/12/2010 00:00:00,Clothing & Accessories,Textile - Garment Import - Export and Production Joint Stock Company,VTI,Personal & Household Goods,23110720200.0,Personal Goods,Consumer Goods,3500000.0
