issue_share,listing_date,subsector,name,symbol,supersector,market_cap,sector,industry,listed_value
4159600.0,16/04/2018 00:00:00,Gas Distribution,Dong Nai Building Material and Fuel Joint Stock Company,BMF,Utilities,105653840000.0,"Gas, Water & Multi-utilities",Utilities,4159600.0
36473833.0,22/06/2018 00:00:00,Travel & Tourism,Kien Giang Trading Joint Stock Company,KTC,Travel & Leisure,310027580500.0,Travel & Leisure,Consumer Services,36473833.0
11500000.0,14/11/2017 00:00:00,Heavy Construction,Petrolimex Construction 1 Joint Stock Company Group,PCC,Construction & Materials,227700000000.0,Construction & Materials,Industrials,11500000.0
5000000.0,25/09/2014 00:00:00,Heavy Construction,Petrolimex Installation No.3 joint stock company,PEN,Construction & Materials,43000000000.0,Construction & Materials,Industrials,5000000.0
300000000.0,24/12/2020 00:00:00,Banks,Petrolimex Group Commercial Joint Stock Bank,PGB,Banks,5269200000000.0,Banks,Banks,300000000.0
60342638.0,24/11/2006 00:00:00,Gas Distribution,Petrolimex Gas Corporation - Joint Stock Company,PGC,Utilities,1074039273000.0,"Gas, Water & Multi-utilities",Utilities,60342638.0
110896796.0,29/07/2011 00:00:00,Property & Casualty Insurance,Petrolimex Insurance Corporation,PGI,Insurance,3160558686000.0,Nonlife Insurance,Financials,110896796.0
80798839.0,27/12/2006 00:00:00,Specialty Chemicals,Petrolimex Petrochemical Corporation,PLC,Chemicals,1648270346400.0,Chemicals,Basic Materials,80798839.0
7227662.0,04/11/2003 00:00:00,Industrial Machinery,Petroleum Mechanical Joint Stock Company,PMS,Industrial Goods & Services,162760047200.0,Industrial Engineering,Industrials,7227662.0
15076177.0,27/01/2016 00:00:00,Marine Transportation,VP Petrochemical Transport Joint Stock Company,VPA,Industrial Goods & Services,45228531000.0,Industrial Transportation,Industrials,15076177.0
8937250.0,10/10/2018 00:00:00,Transportation Services,Vietnam Expressway Services Joint Stock Company,VSE,Industrial Goods & Services,70514902500.0,Industrial Transportation,Industrials,8937250.0
