issue_share,listing_date,subsector,name,symbol,supersector,market_cap,sector,industry,listed_value
2000000.0,12/01/2018 00:00:00,Containers & Packaging,Beer - Alcohol - Beverage Packaging Joint Stock Company,BAL,Industrial Goods & Services,14000000000.0,General Industrials,Industrials,2000000.0
2000000.0,05/01/2018 00:00:00,Brewers,Ha Noi - Nam Dinh Beer Joint Stock Company,BBM,Food & Beverage,18800000000.0,Beverages,Consumer Goods,2000000.0
3986000.0,05/04/2018 00:00:00,Brewers,Ha Noi - Kim Bai Beer Joint Stock Company,BHK,Food & Beverage,48629200000.0,Beverages,Consumer Goods,3986000.0
9179290.0,21/01/2013 00:00:00,Brewers,Ha Noi - Hai Phong Beer Joint Stock Company,BHP,Food & Beverage,73434320000.0,Beverages,Consumer Goods,9179290.0
5800000.0,09/01/2018 00:00:00,Brewers,Hanoi - Quang Binh Beer Joint Stock Company,BQB,Food & Beverage,21460000000.0,Beverages,Consumer Goods,5800000.0
7691226.0,12/01/2017 00:00:00,Brewers,Ha Noi - Thai Binh Beer Joint Stock Company,BTB,Food & Beverage,53069459400.0,Beverages,Consumer Goods,7691226.0
4000000.0,27/10/2009 00:00:00,Brewers,Hanoi - Haiduong Beer Joint Stock Company,HAD,Food & Beverage,64000000000.0,Beverages,Consumer Goods,4000000.0
3123000.0,29/10/2010 00:00:00,Brewers,Hanoi Beer Trading Joint Stock Company,HAT,Food & Beverage,74952000000.0,Beverages,Consumer Goods,3123000.0
16000000.0,10/08/2017 00:00:00,Brewers,HABECO - Hai Phong Joint Stock Company,HBH,Food & Beverage,132800000000.0,Beverages,Consumer Goods,16000000.0
20000000.0,08/06/2018 00:00:00,Distillers & Vintners,Hanoi Liquor And Beverage Joint Stock Company,HNR,Food & Beverage,240000000000.0,Beverages,Consumer Goods,20000000.0
6338400.0,06/11/2017 00:00:00,Real Estate Holding & Development,Harec Investment and Trade Joint Stock Company,HRB,Real Estate,167967600000.0,Real Estate Investment & Services,Financials,6338400.0
11424570.0,19/11/2008 00:00:00,Brewers,Ha Noi - Thanh Hoa Beer Joint Stock Company,THB,Food & Beverage,148519410000.0,Beverages,Consumer Goods,11424570.0
