issue_share,listing_date,subsector,name,symbol,supersector,market_cap,sector,industry,listed_value
50000000.0,17/11/2010 00:00:00,Heavy Construction,Petroleum Dong Do Joint Stock Company,PFL,Construction & Materials,223150000000.0,Construction & Materials,Industrials,50000000.0
4000000.0,22/11/2012 00:00:00,Heavy Construction,Petroleum Interior Decoration Joint Stock Company,PID,Construction & Materials,15600000000.0,Construction & Materials,Industrials,4000000.0
35000000.0,15/03/2011 00:00:00,Heavy Construction,Saigon Petroleum Construction and Investment Joint Stock Company,PSG,Construction & Materials,87500000000.0,Construction & Materials,Industrials,35000000.0
100000000.0,22/09/2010 00:00:00,Real Estate Holding & Development,Victory Capital Joint Stock Company,PTL,Real Estate,424131193200.0,Real Estate Investment & Services,Financials,100000000.0
21846000.0,12/12/2008 00:00:00,Heavy Construction,PetroVietnam - Nghe An Construction Joint Stock Corporation,PVA,Construction & Materials,34953600000.0,Construction & Materials,Industrials,21846000.0
25000000.0,02/01/2008 00:00:00,Oil Equipment & Services,PetroVietnam Engineering Corporation,PVE,Oil & Gas,67500000000.0,"Oil Equipment, Services & Distribution",Oil & Gas,25000000.0
21000000.0,19/05/2017 00:00:00,Heavy Construction,Thanh Hoa Petroleum Construction Joint Stock Company,PVH,Construction & Materials,52500000000.0,Construction & Materials,Industrials,21000000.0
28068900.0,09/02/2017 00:00:00,Real Estate Holding & Development,Petrovietnam Urban Develoment Joint Stock Company,PXC,Real Estate,14034450000.0,Real Estate Investment & Services,Financials,28068900.0
30000000.0,21/06/2010 00:00:00,Heavy Construction,Petroleum Industrial and Civil Construction Joint Stock Company,PXI,Construction & Materials,81030000000.0,Construction & Materials,Industrials,30000000.0
15000000.0,21/06/2010 00:00:00,Heavy Construction,Mientrung Petroleum Construction Joint Stock Company,PXM,Construction & Materials,15000000000.0,Construction & Materials,Industrials,15000000.0
60000000.0,02/06/2010 00:00:00,Heavy Construction,Petroleum Equipment Assembly And Metal Structure Joint Stock Company,PXS,Construction & Materials,253259991558.0,Construction & Materials,Industrials,60000000.0
20000000.0,15/06/2010 00:00:00,Heavy Construction,Petroleum Pipeline And Tank Construction Joint Stock Company,PXT,Construction & Materials,74320000000.0,Construction & Materials,Industrials,20000000.0
